Age,Gender,Occupations,Weight,Education,Choosed
94,male,programmer,47,master,no
90,female,salesman,87,doctor,no
78,male,singer,65,doctor,no
11,third,singer,62,master,no
41,third,programmer,60,senior high,no
64,male,programmer,73,doctor,no
85,third,singer,77,university,no
70,male,singer,55,primary,no
48,female,neet,36,doctor,no
58,male,singer,99,senior high,no
78,third,teacher,47,university,no
16,male,programmer,86,university,yes
72,female,engineer,56,senior high,no
25,male,chef,43,university,yes
52,female,engineer,47,university,no
53,third,programmer,85,senior high,no
86,third,programmer,54,university,no
26,third,student,56,senior high,no
68,female,engineer,55,master,no
17,third,student,46,senior high,no
12,male,singer,52,master,no
59,female,student,74,junior high,no
9,male,scientest,58,senior high,no
20,third,salesman,88,university,no
33,male,chef,48,junior high,yes
51,third,engineer,93,university,no
97,female,salesman,97,senior high,no
0,third,programmer,94,junior high,no
0,third,chef,94,senior high,no
95,third,scientest,48,university,no
24,third,scientest,67,senior high,yes
28,female,teacher,65,senior high,no
17,male,chef,49,junior high,no
81,male,teacher,52,master,no
42,female,salesman,43,junior high,no
19,female,scientest,43,master,yes
25,male,neet,92,university,no
37,third,teacher,72,senior high,no
39,third,neet,71,master,no
44,male,student,78,doctor,no
65,female,singer,54,senior high,no
95,male,programmer,85,primary,no
10,third,neet,71,master,no
13,female,salesman,53,doctor,no
79,female,student,49,primary,no
82,male,programmer,86,senior high,no
33,female,singer,80,junior high,no
65,male,teacher,72,primary,no
6,third,chef,99,primary,no
58,third,programmer,79,university,no
58,male,programmer,79,primary,no
35,female,chef,51,primary,yes
54,third,salesman,93,senior high,no
25,third,programmer,62,university,no
30,male,engineer,93,master,yes
58,third,teacher,85,senior high,no
1,third,neet,95,junior high,no
25,female,singer,97,doctor,no
78,female,engineer,36,senior high,no
40,female,chef,88,junior high,yes
84,third,salesman,36,master,no
51,female,scientest,99,senior high,no
95,female,student,80,primary,no
91,male,student,40,university,no
70,female,chef,44,primary,no
42,male,student,59,junior high,no
44,female,salesman,63,master,no
15,female,salesman,44,primary,yes
35,male,student,74,master,yes
49,third,student,83,university,no
29,male,salesman,77,senior high,yes
97,female,singer,47,junior high,no
22,third,student,61,primary,no
86,female,chef,64,senior high,no
67,male,chef,46,doctor,no
59,female,student,98,doctor,no
6,female,engineer,75,junior high,no
52,third,neet,93,primary,no
83,third,neet,60,doctor,no
60,female,singer,76,university,no
96,third,salesman,60,doctor,no
67,male,engineer,40,master,no
0,male,scientest,98,senior high,no
10,female,chef,84,primary,no
31,female,engineer,84,primary,no
8,male,chef,82,master,no
76,third,neet,93,senior high,no
96,third,engineer,38,doctor,no
34,male,teacher,81,master,yes
64,third,salesman,46,senior high,no
61,female,neet,35,master,no
4,third,salesman,79,primary,no
4,male,engineer,51,doctor,no
28,female,engineer,67,senior high,no
57,third,scientest,79,junior high,no
11,male,chef,61,junior high,no
73,third,student,92,master,no
81,male,salesman,83,primary,no
20,male,student,36,primary,yes
50,female,engineer,75,junior high,no
69,female,scientest,42,senior high,no
1,female,neet,63,doctor,no
35,third,salesman,51,doctor,no
97,female,teacher,44,university,no
74,male,singer,36,senior high,no
73,third,scientest,55,university,no
98,male,student,92,junior high,no
32,third,programmer,87,university,no
30,male,salesman,98,senior high,no
84,male,teacher,42,senior high,no
56,male,teacher,93,primary,no
71,third,chef,60,doctor,no
79,female,singer,64,senior high,no
76,male,student,62,junior high,no
0,male,teacher,56,junior high,no
70,third,singer,62,senior high,no
91,female,chef,57,senior high,no
73,female,singer,81,primary,no
11,female,singer,52,doctor,no
4,female,neet,96,primary,no
69,male,engineer,76,senior high,no
82,female,neet,82,university,no
23,third,scientest,84,junior high,no
23,male,engineer,66,master,yes
56,female,neet,86,university,no
99,male,student,65,doctor,no
45,third,teacher,37,doctor,no
44,female,engineer,61,doctor,yes
92,male,chef,35,senior high,no
58,female,chef,51,primary,no
69,male,programmer,81,primary,no
97,female,scientest,35,senior high,no
17,female,programmer,38,senior high,yes
61,third,teacher,42,senior high,no
88,female,student,78,senior high,no
21,female,neet,55,senior high,no
1,third,student,50,senior high,no
21,third,student,89,senior high,no
84,male,salesman,92,junior high,no
95,third,scientest,73,master,no
76,female,engineer,83,primary,no
33,male,scientest,51,primary,yes
87,male,chef,43,master,no
80,male,neet,40,university,no
20,male,programmer,54,master,no
3,male,student,69,primary,no
80,male,scientest,62,junior high,no
38,third,programmer,37,master,yes
49,third,singer,82,junior high,no
87,third,neet,56,doctor,no
67,male,programmer,84,senior high,no
25,male,singer,99,doctor,no
23,female,student,57,doctor,no
39,female,chef,86,master,yes
38,third,chef,87,master,yes
70,female,teacher,91,master,no
12,male,engineer,50,junior high,yes
99,male,programmer,37,junior high,no
99,female,singer,81,senior high,no
91,male,student,39,doctor,no
74,female,student,62,junior high,no
62,male,teacher,49,primary,no
9,male,singer,78,senior high,no
49,male,scientest,48,university,no
16,female,engineer,74,junior high,no
98,third,teacher,62,junior high,no
49,male,scientest,45,university,no
11,female,scientest,41,senior high,yes
21,female,chef,92,master,yes
77,female,salesman,99,master,no
35,female,student,81,senior high,no
0,third,teacher,82,doctor,no
22,male,salesman,97,junior high,no
38,third,teacher,73,doctor,yes
85,male,student,90,primary,no
52,male,programmer,66,doctor,no
10,male,salesman,82,primary,no
15,female,chef,68,university,no
37,female,student,75,junior high,no
22,third,student,51,university,no
62,male,singer,79,doctor,no
61,third,engineer,57,university,no
80,male,chef,76,doctor,no
38,male,programmer,91,senior high,yes
20,third,neet,96,primary,no
95,female,neet,88,senior high,no
2,female,programmer,93,senior high,no
75,male,teacher,76,university,no
27,third,neet,38,senior high,no
15,male,programmer,62,master,no
91,third,neet,38,master,no
7,male,singer,73,primary,no
90,female,teacher,58,university,no
2,male,neet,90,primary,no
21,male,scientest,46,junior high,no
79,female,salesman,56,junior high,no
27,female,singer,61,university,yes
51,third,student,51,senior high,no
21,male,student,74,senior high,yes
0,female,student,37,primary,no
31,male,singer,86,junior high,yes
64,third,neet,44,primary,no
85,female,salesman,38,doctor,no
72,male,salesman,86,master,no
21,female,singer,63,master,no
20,female,engineer,93,senior high,no
60,third,engineer,77,junior high,no
72,male,student,68,master,no
27,third,engineer,92,master,yes
33,third,neet,50,doctor,yes
51,female,scientest,47,senior high,no
96,third,engineer,55,doctor,no
8,male,salesman,49,doctor,yes
17,third,chef,85,senior high,yes
65,third,engineer,78,master,no
49,female,singer,94,primary,no
48,female,teacher,84,primary,no
20,female,scientest,56,primary,yes
10,female,student,44,primary,yes
17,female,teacher,51,senior high,no
61,male,programmer,56,university,no
68,female,engineer,69,junior high,no
8,male,neet,71,senior high,no
79,female,engineer,66,junior high,no
8,male,student,78,doctor,no
18,male,student,86,primary,no
61,third,student,53,senior high,no
78,male,teacher,37,senior high,no
39,male,programmer,78,primary,no
96,female,student,93,junior high,no
40,male,neet,45,doctor,no
82,male,chef,82,university,no
66,third,programmer,94,master,no
42,female,salesman,41,junior high,no
54,male,student,93,university,no
8,male,engineer,50,master,yes
36,male,programmer,38,master,yes
14,female,engineer,83,senior high,no
17,third,singer,91,primary,yes
97,male,programmer,49,master,no
7,female,scientest,83,master,no
23,male,programmer,82,master,yes
80,male,engineer,98,master,no
40,third,neet,39,senior high,no
34,female,programmer,47,senior high,yes
43,female,scientest,59,primary,no
67,third,programmer,72,doctor,no
13,third,salesman,45,primary,no
2,third,singer,46,master,no
13,male,student,88,master,no
1,male,chef,71,master,no
88,male,teacher,92,primary,no
30,male,teacher,50,university,no
46,third,chef,47,master,yes
93,third,teacher,51,university,no
23,male,singer,87,senior high,no
29,female,salesman,87,master,yes
11,third,singer,95,senior high,no
73,third,chef,67,senior high,no
54,male,neet,42,doctor,no
46,male,teacher,87,doctor,no
62,male,singer,65,doctor,no
19,female,salesman,91,master,no
33,male,neet,54,doctor,no
65,male,salesman,71,master,no
82,female,singer,82,primary,no
66,third,programmer,59,university,no
68,male,scientest,81,university,no
67,female,engineer,74,university,no
13,third,student,50,university,no
81,female,neet,84,doctor,no
98,male,engineer,93,master,no
35,female,programmer,87,university,yes
21,female,chef,50,master,yes
93,third,singer,52,senior high,no
34,male,salesman,82,master,no
20,female,singer,71,junior high,no
61,male,singer,39,senior high,no
63,male,neet,99,university,no
1,male,scientest,80,junior high,no
90,female,neet,77,university,no
29,male,neet,74,senior high,no
2,third,singer,78,university,no
19,male,salesman,55,senior high,no
46,male,salesman,69,junior high,no
83,third,singer,81,university,no
94,third,scientest,45,primary,no
20,male,scientest,57,doctor,no
26,third,chef,70,doctor,yes
43,male,neet,42,junior high,no
70,female,chef,51,senior high,no
47,male,salesman,78,doctor,no
12,third,chef,75,junior high,no
46,male,scientest,46,doctor,yes
48,third,singer,73,junior high,no
85,female,engineer,56,primary,no
3,male,singer,48,doctor,no
54,third,neet,98,senior high,no
99,male,salesman,65,primary,no
3,male,chef,36,doctor,no
90,female,singer,81,doctor,no
48,female,engineer,98,primary,no
64,male,singer,49,university,no
27,third,salesman,65,master,no
29,male,engineer,47,master,yes
46,male,scientest,79,senior high,no
96,male,teacher,74,university,no
62,male,engineer,81,senior high,no
81,female,engineer,70,junior high,no
64,female,singer,89,university,no
39,third,singer,91,senior high,no
37,third,programmer,95,university,no
37,female,neet,88,senior high,no
65,third,student,96,senior high,no
17,third,salesman,84,primary,no
95,female,teacher,64,junior high,no
96,female,chef,65,doctor,no
35,third,scientest,99,master,yes
14,female,chef,73,university,no
69,female,salesman,51,senior high,no
75,third,teacher,96,junior high,no
78,female,singer,78,doctor,no
44,female,programmer,41,primary,no
69,male,scientest,43,master,no
70,female,singer,81,senior high,no
73,female,singer,70,junior high,no
8,third,teacher,40,university,no
41,male,programmer,74,primary,no
93,female,neet,91,master,no
0,female,salesman,74,doctor,no
96,third,programmer,73,junior high,no
61,male,teacher,77,primary,no
2,female,teacher,98,senior high,no
9,third,programmer,62,doctor,no
94,male,salesman,99,master,no
32,male,neet,54,primary,no
88,third,salesman,97,doctor,no
90,third,neet,72,senior high,no
92,female,programmer,79,university,no
49,third,teacher,96,university,no
30,male,scientest,44,doctor,yes
88,third,chef,66,junior high,no
13,male,singer,61,master,no
17,male,neet,62,junior high,no
40,third,salesman,35,doctor,no
65,third,salesman,56,primary,no
42,third,teacher,45,doctor,no
11,female,singer,54,doctor,no
59,female,salesman,38,junior high,no
1,female,neet,58,doctor,no
54,female,scientest,86,doctor,no
26,third,student,79,senior high,no
28,female,engineer,70,university,no
97,female,engineer,91,master,no
28,male,student,66,junior high,no
72,male,neet,75,junior high,no
25,female,programmer,50,master,yes
78,male,engineer,44,senior high,no
74,third,teacher,61,university,no
33,third,engineer,48,primary,no
96,female,engineer,38,doctor,no
91,female,teacher,91,junior high,no
40,male,student,67,senior high,no
15,third,chef,42,doctor,no
86,female,teacher,72,university,no
82,third,singer,97,master,no
74,female,engineer,46,university,no
25,third,salesman,65,doctor,no
34,male,student,37,doctor,yes
2,male,scientest,62,doctor,no
90,female,neet,66,senior high,no
60,third,salesman,64,doctor,no
1,male,salesman,69,university,no
34,male,neet,38,doctor,yes
97,female,scientest,79,primary,no
64,third,programmer,96,university,no
43,female,chef,83,primary,yes
43,third,scientest,68,university,no
33,female,teacher,84,doctor,no
90,third,teacher,57,doctor,no
72,female,teacher,89,university,no
75,female,student,44,university,no
93,female,engineer,38,doctor,no
42,third,salesman,47,university,no
25,third,neet,85,university,yes
72,third,engineer,85,senior high,no
14,third,neet,79,university,no
99,female,programmer,66,senior high,no
32,third,programmer,94,primary,no
96,female,singer,51,junior high,no
85,female,neet,74,doctor,no
63,female,chef,45,university,no
23,male,student,88,doctor,yes
1,third,singer,53,university,no
48,third,programmer,92,junior high,no
75,female,singer,62,junior high,no
88,female,engineer,53,senior high,no
34,male,singer,58,master,yes
25,third,teacher,77,primary,no
6,female,singer,97,senior high,no
91,third,scientest,53,master,no
47,third,student,79,junior high,no
83,female,salesman,51,master,no
6,female,scientest,85,senior high,no
1,male,scientest,56,senior high,no
40,female,engineer,61,university,yes
82,third,engineer,57,junior high,no
57,third,singer,86,junior high,no
44,male,chef,37,doctor,yes
44,female,engineer,88,master,yes
49,male,engineer,67,senior high,no
60,female,teacher,60,senior high,no
90,female,programmer,91,senior high,no
44,third,salesman,70,master,no
59,female,student,73,doctor,no
87,male,neet,71,primary,no
97,third,salesman,64,master,no
22,third,scientest,95,senior high,no
34,male,scientest,89,senior high,no
58,third,student,77,university,no
77,male,student,66,junior high,no
0,male,teacher,68,university,no
9,male,singer,37,doctor,yes
81,third,scientest,84,university,no
30,male,engineer,65,doctor,yes
8,third,chef,46,doctor,no
2,female,student,82,master,no
72,male,singer,58,university,no
86,male,chef,91,junior high,no
36,male,neet,44,master,no
62,female,teacher,58,doctor,no
14,male,chef,38,junior high,no
8,third,student,63,junior high,no
5,third,programmer,41,junior high,no
40,male,programmer,62,university,yes
38,third,chef,66,university,yes
42,female,student,89,master,no
90,third,scientest,77,doctor,no
76,third,programmer,40,master,no
21,female,scientest,53,university,yes
35,male,engineer,37,primary,yes
5,female,salesman,69,university,no
82,male,programmer,77,primary,no
17,female,programmer,45,junior high,yes
71,third,singer,67,senior high,no
96,female,teacher,37,senior high,no
31,male,teacher,62,university,no
93,third,singer,93,primary,no
8,third,programmer,39,junior high,no
91,third,chef,90,master,no
64,female,neet,85,junior high,no
85,male,singer,45,university,no
99,third,salesman,42,master,no
88,third,neet,84,junior high,no
11,third,engineer,93,junior high,no
94,male,neet,73,master,no
2,third,teacher,37,doctor,no
54,male,teacher,88,master,no
52,third,programmer,37,university,no
96,male,chef,82,doctor,no
30,male,teacher,96,master,no
32,female,chef,52,primary,yes
69,female,salesman,93,primary,no
43,male,salesman,92,university,no
25,female,chef,99,senior high,yes
58,male,chef,50,doctor,no
4,female,student,92,doctor,no
36,male,chef,84,doctor,yes
82,third,salesman,50,senior high,no
45,third,teacher,81,master,no
85,third,scientest,64,doctor,no
21,female,programmer,71,master,no
36,female,teacher,83,primary,yes
52,male,singer,91,doctor,no
82,male,singer,76,junior high,no
52,female,student,60,doctor,no
50,female,neet,36,doctor,no
61,male,teacher,89,master,no
31,female,chef,38,primary,yes
22,male,singer,69,junior high,no
28,third,student,91,primary,no
16,male,scientest,83,primary,no
76,female,programmer,35,doctor,no
60,female,chef,48,senior high,no
61,male,programmer,78,junior high,no
51,third,singer,50,master,no
17,female,salesman,82,junior high,no
60,male,singer,93,junior high,no
12,third,engineer,49,primary,no
55,third,engineer,54,senior high,no
62,male,teacher,49,doctor,no
49,male,engineer,97,university,no
41,third,scientest,86,primary,no
61,third,chef,53,doctor,no
97,third,engineer,93,university,no
99,third,singer,35,primary,no
17,third,student,64,doctor,no
33,third,salesman,83,senior high,no
36,third,engineer,96,primary,no
79,male,engineer,95,master,no
17,male,teacher,81,senior high,no
28,third,singer,68,senior high,yes
84,third,teacher,72,master,no
11,male,singer,82,master,no
69,female,salesman,43,junior high,no
17,male,student,94,master,no
74,female,student,63,senior high,no
15,male,chef,71,doctor,no
57,third,singer,85,university,no
20,female,student,67,junior high,yes
70,male,salesman,77,primary,no
7,female,singer,52,senior high,no
21,female,teacher,68,university,no
3,male,scientest,99,junior high,no
96,third,scientest,44,primary,no
33,third,engineer,35,senior high,yes
74,male,engineer,82,master,no
89,female,salesman,92,master,no
62,third,salesman,40,junior high,no
55,female,chef,93,senior high,no
61,female,engineer,98,senior high,no
15,female,engineer,54,senior high,no
18,third,salesman,52,senior high,no
28,third,engineer,45,university,yes
26,third,student,61,junior high,yes
46,female,engineer,51,university,no
43,female,singer,50,university,no
91,female,teacher,38,senior high,no
49,male,singer,39,master,no
23,third,salesman,48,primary,no
6,third,teacher,90,senior high,no
71,female,engineer,70,master,no
83,third,engineer,58,doctor,no
48,third,teacher,84,university,no
26,female,neet,57,senior high,no
90,female,salesman,57,junior high,no
7,female,engineer,95,primary,no
45,third,chef,71,master,yes
97,third,programmer,65,senior high,no
58,male,singer,51,senior high,no
50,third,engineer,65,junior high,no
54,female,chef,96,master,no
77,third,teacher,80,junior high,no
19,male,student,75,master,no
35,male,student,88,university,no
22,female,chef,59,doctor,yes
82,female,teacher,37,master,no
44,third,engineer,96,senior high,no
99,male,neet,41,primary,no
83,third,student,42,senior high,no
28,third,student,93,master,no
41,female,teacher,73,doctor,no
68,third,student,93,primary,no
25,third,student,80,senior high,no
17,female,engineer,85,senior high,yes
58,female,singer,40,university,no
79,third,programmer,74,master,no
62,female,scientest,64,doctor,no
42,female,neet,90,senior high,no
40,female,student,75,university,no
16,male,student,84,primary,no
72,male,neet,43,senior high,no
39,third,neet,74,university,no
15,male,scientest,46,master,no
98,male,chef,40,doctor,no
76,third,engineer,51,doctor,no
8,third,chef,54,doctor,no
92,female,salesman,98,doctor,no
76,male,salesman,89,doctor,no
96,male,programmer,57,senior high,no
9,male,salesman,67,doctor,no
98,third,teacher,64,junior high,no
33,male,scientest,38,doctor,yes
42,female,programmer,35,university,no
69,third,singer,44,university,no
22,male,programmer,71,university,no
73,female,student,67,master,no
32,male,chef,75,senior high,yes
33,third,engineer,85,primary,no
82,third,neet,49,senior high,no
90,third,student,66,senior high,no
72,male,engineer,35,senior high,no
8,third,salesman,81,junior high,no
65,female,chef,62,university,no
98,female,neet,54,junior high,no
36,female,scientest,53,university,no
24,third,chef,43,doctor,yes
77,female,student,42,senior high,no
79,female,singer,42,university,no
42,male,scientest,74,primary,no
