Age,Gender,Occupations,Blood group,Weight,Education,Revenue,Choosed
23,female,programmer,AB,55,master,38,yes
94,male,programmer,B,43,doctor,8900,no
24,male,chef,A,97,university,50,yes
42,third,scientest,B,97,senior high,3500,no
22,third,scientest,A,42,senior high,800,no
2,female,student,AB,58,university,7300,no
41,third,teacher,AB,79,doctor,25,no
2,male,scientest,AB,61,doctor,210,no
15,female,scientest,AB,91,university,1000,no
44,female,neet,O,81,junior high,9400,no
88,third,programmer,B,65,master,870,no
78,male,teacher,A,36,master,95,no
61,male,singer,O,68,junior high,22,no
41,male,chef,AB,81,university,9400,yes
99,third,teacher,B,65,junior high,25,no
3,female,singer,AB,94,master,3000,no
67,male,neet,O,54,doctor,3900,no
18,female,teacher,AB,98,doctor,510,no
43,third,chef,B,38,senior high,180,yes
53,male,engineer,AB,93,doctor,200,no
11,male,student,AB,81,doctor,520,no
21,female,programmer,AB,85,primary,580,no
17,third,teacher,O,45,senior high,23,yes
60,male,neet,O,79,primary,850,no
34,male,chef,A,76,university,940,yes
2,third,neet,AB,85,junior high,220,no
20,female,programmer,A,70,primary,99,no
63,male,neet,O,76,university,1000,no
93,female,singer,A,47,university,2700,no
51,third,chef,A,38,doctor,6500,no
67,female,student,B,77,university,4700,no
91,male,teacher,AB,73,primary,20,no
78,third,neet,AB,38,master,19,no
16,male,chef,AB,88,junior high,10,no
46,third,neet,B,77,master,2100,no
37,third,teacher,O,90,junior high,210,yes
41,male,teacher,O,47,doctor,5000,no
11,female,teacher,AB,70,primary,1,no
72,male,engineer,B,52,junior high,1700,no
62,male,engineer,AB,76,primary,210,no
90,female,student,O,84,primary,64,no
69,third,teacher,A,58,doctor,71,no
66,third,programmer,B,60,primary,740,no
91,third,engineer,O,91,master,40,no
67,third,engineer,B,41,primary,67,no
11,third,chef,O,68,master,210,no
90,third,singer,B,61,junior high,700,no
71,male,singer,A,96,doctor,5300,no
21,male,scientest,AB,77,master,7000,no
10,male,scientest,B,60,senior high,45,no
9,female,chef,B,54,junior high,230,no
46,third,student,A,99,doctor,9900,no
56,female,engineer,A,66,senior high,9300,no
42,female,neet,AB,91,primary,100,no
41,female,neet,AB,67,senior high,18,no
91,female,singer,B,74,junior high,9100,no
86,female,singer,B,47,senior high,51,no
21,male,chef,O,38,university,32,yes
42,male,engineer,B,62,master,900,yes
2,female,scientest,AB,68,doctor,56,no
27,female,scientest,B,69,doctor,42,yes
28,male,chef,O,70,junior high,330,yes
50,female,engineer,A,47,senior high,610,no
16,female,programmer,A,98,junior high,2100,no
52,third,engineer,B,75,university,3400,no
24,third,student,AB,81,university,38,no
44,male,engineer,B,59,master,950,yes
22,male,teacher,AB,85,primary,7800,no
29,male,scientest,B,85,junior high,61,no
49,male,scientest,O,47,university,650,no
38,male,teacher,B,92,doctor,480,no
11,male,teacher,B,87,primary,140,no
55,third,teacher,O,90,junior high,990,no
79,female,singer,A,41,university,2100,no
27,male,singer,A,67,senior high,8700,no
33,male,scientest,AB,55,junior high,420,no
43,third,chef,O,36,doctor,910,yes
95,male,student,B,63,junior high,6400,no
46,male,scientest,AB,79,junior high,900,no
84,third,student,B,62,senior high,6700,no
20,third,scientest,AB,90,university,7000,no
17,third,teacher,B,88,primary,870,no
42,third,programmer,A,95,master,6400,yes
37,third,scientest,AB,96,senior high,85,no
46,male,singer,B,55,primary,30,no
39,male,salesman,B,84,university,40,no
21,third,salesman,B,91,junior high,290,no
12,female,salesman,AB,77,senior high,78,no
33,third,student,B,77,master,630,no
23,female,neet,AB,95,junior high,4600,no
8,third,salesman,A,70,university,60,no
1,female,scientest,A,68,junior high,8300,no
39,male,chef,O,90,university,250,yes
93,male,programmer,B,63,primary,82,no
61,third,neet,AB,68,university,85,no
38,male,scientest,AB,42,junior high,330,no
87,third,salesman,B,85,senior high,6400,no
73,male,salesman,A,43,doctor,59,no
7,female,engineer,A,50,primary,48,no
26,female,programmer,AB,65,senior high,480,no
23,male,programmer,O,45,primary,10,yes
9,female,salesman,O,93,master,280,no
16,male,neet,A,79,doctor,97,no
32,female,neet,A,59,primary,1700,no
97,male,student,AB,44,senior high,50,no
18,male,programmer,B,35,doctor,210,no
31,third,chef,O,77,primary,3200,yes
55,female,teacher,A,91,university,38,no
40,male,salesman,AB,56,university,79,no
49,third,singer,A,79,junior high,63,no
57,male,engineer,AB,35,doctor,4900,no
26,male,student,O,92,doctor,22,yes
68,male,engineer,B,50,junior high,820,no
76,third,chef,B,88,primary,72,no
65,male,scientest,B,55,university,930,no
87,third,neet,AB,44,primary,56,no
43,third,salesman,O,47,junior high,760,no
44,third,teacher,O,87,university,70,no
41,male,student,O,80,junior high,8800,no
52,male,scientest,AB,40,master,37,no
92,male,engineer,A,40,doctor,300,no
11,male,teacher,A,38,university,330,yes
40,third,salesman,O,39,primary,760,yes
34,third,engineer,AB,99,university,400,no
50,female,singer,O,49,master,19,no
89,third,teacher,AB,79,senior high,390,no
27,female,student,B,79,senior high,370,no
58,male,salesman,AB,48,primary,1100,no
51,third,programmer,AB,90,doctor,7000,no
26,third,chef,AB,46,junior high,7000,yes
68,third,neet,O,96,junior high,8900,no
6,male,engineer,B,90,master,37,no
89,third,programmer,O,71,senior high,6700,no
63,third,engineer,AB,62,doctor,69,no
33,female,singer,AB,57,university,20,no
35,female,singer,O,35,doctor,300,yes
72,male,singer,A,95,master,9600,no
19,male,salesman,B,72,doctor,330,no
84,third,chef,B,97,master,3500,no
73,female,scientest,B,58,doctor,970,no
35,female,teacher,O,36,primary,9900,yes
5,female,programmer,AB,91,junior high,40,no
39,third,programmer,O,67,senior high,8100,yes
14,male,singer,B,35,primary,8700,no
91,female,teacher,AB,96,senior high,5900,no
1,female,scientest,AB,79,primary,59,no
45,male,engineer,A,91,doctor,26,yes
44,male,singer,O,78,doctor,8800,no
92,male,scientest,A,76,junior high,5300,no
17,female,programmer,A,75,senior high,2100,no
16,male,salesman,B,82,university,13,no
94,third,chef,O,40,university,440,no
96,third,teacher,A,59,master,94,no
56,female,singer,O,52,master,38,no
72,third,chef,B,84,junior high,320,no
11,female,singer,A,76,senior high,7400,no
93,female,programmer,B,48,junior high,70,no
84,third,engineer,AB,42,primary,48,no
93,female,singer,O,99,master,2100,no
83,female,teacher,O,46,senior high,50,no
7,third,programmer,AB,51,university,9700,no
76,male,programmer,B,89,master,2900,no
45,male,neet,B,84,senior high,80,no
32,female,teacher,AB,95,university,8900,no
14,female,teacher,B,69,doctor,8200,no
33,third,teacher,O,81,university,800,yes
55,third,neet,AB,57,senior high,60,no
86,female,chef,B,77,junior high,37,no
49,female,singer,A,50,doctor,650,no
8,female,teacher,B,37,university,140,no
13,male,chef,B,79,junior high,680,no
73,female,neet,B,42,junior high,23,no
70,third,chef,O,38,primary,500,no
95,third,teacher,O,82,primary,340,no
75,male,singer,A,52,senior high,70,no
0,third,singer,B,65,doctor,920,no
83,third,neet,A,50,junior high,95,no
85,female,chef,O,86,junior high,8700,no
90,third,programmer,B,36,junior high,8700,no
48,third,neet,AB,77,master,9400,no
27,male,scientest,B,90,university,80,no
67,third,programmer,B,51,doctor,7000,no
99,female,singer,O,76,master,5,no
32,female,neet,AB,89,master,77,no
77,male,scientest,O,66,doctor,340,no
66,third,programmer,B,42,primary,82,no
29,male,student,A,60,doctor,40,no
49,male,scientest,AB,60,university,460,no
11,third,student,AB,63,university,920,no
50,male,programmer,A,72,master,6000,yes
28,male,programmer,B,84,primary,100,no
21,female,salesman,AB,35,master,31,no
71,male,salesman,AB,58,junior high,56,no
80,female,programmer,AB,50,primary,270,no
38,female,scientest,A,98,master,6400,yes
73,female,chef,B,92,senior high,1,no
56,male,salesman,A,67,junior high,100,no
86,female,chef,O,50,primary,17,no
7,male,neet,AB,87,primary,310,no
70,third,neet,AB,99,master,2800,no
59,female,programmer,O,53,university,3300,no
29,female,chef,O,90,university,14,yes
38,male,singer,B,67,primary,740,no
64,female,teacher,O,61,doctor,91,no
64,female,chef,AB,36,primary,78,no
39,female,programmer,A,77,junior high,60,no
27,female,teacher,B,84,senior high,70,no
6,female,programmer,AB,96,senior high,320,no
49,male,chef,AB,42,university,82,yes
73,male,chef,O,59,primary,80,no
69,male,teacher,B,49,university,8300,no
66,third,teacher,B,59,doctor,940,no
64,male,teacher,AB,38,doctor,9700,no
65,male,chef,AB,99,doctor,2100,no
56,third,singer,O,53,doctor,700,no
80,female,salesman,A,67,university,460,no
25,male,neet,O,72,doctor,83,yes
66,male,teacher,A,70,master,1300,no
54,male,chef,A,47,master,2400,no
55,third,teacher,O,79,university,5600,no
7,male,teacher,B,88,senior high,2000,no
25,female,neet,A,96,university,650,no
16,male,singer,O,68,doctor,21,yes
8,female,student,O,87,senior high,54,no
97,female,student,B,48,senior high,88,no
93,male,scientest,A,61,master,840,no
96,third,salesman,O,75,master,250,no
88,female,neet,AB,42,junior high,390,no
1,female,student,B,43,primary,91,no
35,female,singer,B,47,university,33,no
78,female,singer,AB,52,primary,1800,no
30,female,neet,B,37,university,300,no
24,third,teacher,B,60,primary,50,no
59,third,student,B,90,primary,200,no
61,female,teacher,B,76,doctor,1600,no
83,male,salesman,A,86,junior high,820,no
62,female,scientest,B,65,senior high,380,no
74,female,programmer,AB,72,senior high,22,no
47,female,chef,B,90,junior high,5800,yes
42,third,chef,O,57,senior high,870,yes
72,female,singer,AB,57,doctor,35,no
38,female,engineer,O,50,master,6400,yes
53,third,chef,A,99,master,400,no
64,female,teacher,AB,62,junior high,940,no
13,male,singer,B,51,primary,1900,no
22,male,chef,B,71,master,750,yes
8,third,teacher,O,40,doctor,27,no
51,third,neet,B,40,senior high,28,no
90,third,student,O,52,junior high,8700,no
60,third,student,A,76,doctor,7500,no
3,female,teacher,B,95,master,3200,no
85,female,chef,B,52,doctor,7600,no
72,female,singer,A,65,junior high,6400,no
67,third,salesman,B,93,master,9300,no
24,male,chef,A,51,master,360,yes
91,male,engineer,AB,70,senior high,97,no
95,male,teacher,AB,73,junior high,350,no
54,male,programmer,O,78,university,59,no
60,third,student,B,87,senior high,420,no
15,male,salesman,O,52,senior high,59,no
15,third,programmer,AB,39,master,3200,no
50,third,neet,AB,57,master,28,no
7,male,neet,A,48,university,7600,no
61,female,chef,O,96,university,390,no
19,male,chef,AB,91,junior high,1600,yes
50,third,teacher,B,40,master,55,no
27,third,student,O,39,doctor,62,yes
79,third,teacher,AB,58,senior high,210,no
39,third,salesman,A,83,junior high,390,no
9,female,salesman,AB,43,doctor,7200,no
94,male,programmer,AB,77,junior high,510,no
25,male,singer,A,46,junior high,15,no
24,female,scientest,O,78,master,400,yes
23,third,singer,O,82,senior high,220,yes
96,female,singer,O,62,doctor,17,no
74,male,student,A,87,master,6600,no
58,male,student,B,35,doctor,9100,no
68,male,chef,O,90,master,3400,no
94,third,salesman,A,60,doctor,68,no
41,third,student,B,37,junior high,1,no
13,female,scientest,B,52,doctor,710,no
27,female,scientest,AB,40,junior high,7600,no
69,male,teacher,AB,43,master,900,no
97,male,teacher,O,38,primary,32,no
59,female,singer,AB,66,master,350,no
57,male,chef,B,35,university,1600,no
86,male,teacher,A,36,master,1400,no
41,male,salesman,A,56,university,350,no
94,male,programmer,B,47,master,4900,no
90,female,salesman,A,87,doctor,130,no
78,male,singer,O,65,doctor,520,no
11,third,singer,B,62,master,580,no
41,third,programmer,A,60,senior high,5000,no
64,male,programmer,AB,73,doctor,49,no
85,third,singer,AB,77,university,1800,no
70,male,singer,AB,55,primary,6000,no
48,female,neet,AB,36,doctor,38,no
58,male,singer,AB,99,senior high,78,no
78,third,teacher,O,47,university,64,no
16,male,programmer,O,86,university,34,yes
72,female,engineer,B,56,senior high,52,no
25,male,chef,O,43,university,73,yes
52,female,engineer,B,47,university,38,no
53,third,programmer,AB,85,senior high,40,no
86,third,programmer,A,54,university,600,no
26,third,student,B,56,senior high,560,no
68,female,engineer,O,55,master,600,no
17,third,student,B,46,senior high,710,no
12,male,singer,A,52,master,45,no
59,female,student,A,74,junior high,3100,no
9,male,scientest,O,58,senior high,3900,no
20,third,salesman,AB,88,university,700,no
33,male,chef,B,48,junior high,18,yes
51,third,engineer,A,93,university,9800,no
97,female,salesman,B,97,senior high,7800,no
0,third,programmer,A,94,junior high,8600,no
0,third,chef,A,94,senior high,3400,no
95,third,scientest,A,48,university,310,no
24,third,scientest,O,67,senior high,52,yes
28,female,teacher,A,65,senior high,96,no
17,male,chef,A,49,junior high,77,no
81,male,teacher,AB,52,master,140,no
42,female,salesman,O,43,junior high,7400,no
19,female,scientest,O,43,master,390,yes
25,male,neet,A,92,university,4500,no
37,third,teacher,A,72,senior high,970,no
39,third,neet,B,71,master,73,no
44,male,student,B,78,doctor,840,no
65,female,singer,O,54,senior high,54,no
95,male,programmer,AB,85,primary,570,no
10,third,neet,O,71,master,22,no
13,female,salesman,A,53,doctor,680,no
79,female,student,O,49,primary,14,no
82,male,programmer,A,86,senior high,77,no
33,female,singer,A,80,junior high,36,no
65,male,teacher,B,72,primary,200,no
6,third,chef,O,99,primary,44,no
58,third,programmer,AB,79,university,98,no
58,male,programmer,O,79,primary,6800,no
35,female,chef,A,51,primary,72,yes
54,third,salesman,B,93,senior high,50,no
25,third,programmer,AB,62,university,140,no
30,male,engineer,AB,93,master,45,yes
58,third,teacher,A,85,senior high,7,no
1,third,neet,B,95,junior high,8300,no
25,female,singer,A,97,doctor,6500,no
78,female,engineer,O,36,senior high,5,no
40,female,chef,AB,88,junior high,410,yes
84,third,salesman,AB,36,master,6300,no
51,female,scientest,A,99,senior high,13,no
95,female,student,O,80,primary,720,no
91,male,student,A,40,university,75,no
70,female,chef,B,44,primary,39,no
42,male,student,A,59,junior high,8700,no
44,female,salesman,A,63,master,10000,no
15,female,salesman,O,44,primary,2400,yes
35,male,student,O,74,master,2900,yes
49,third,student,AB,83,university,460,no
29,male,salesman,O,77,senior high,110,yes
97,female,singer,A,47,junior high,20,no
22,third,student,B,61,primary,90,no
86,female,chef,A,64,senior high,74,no
67,male,chef,A,46,doctor,50,no
59,female,student,O,98,doctor,2100,no
6,female,engineer,B,75,junior high,400,no
52,third,neet,B,93,primary,26,no
83,third,neet,B,60,doctor,85,no
60,female,singer,AB,76,university,2,no
96,third,salesman,B,60,doctor,8,no
67,male,engineer,AB,40,master,4800,no
0,male,scientest,A,98,senior high,27,no
10,female,chef,B,84,primary,60,no
31,female,engineer,AB,84,primary,45,no
8,male,chef,AB,82,master,830,no
76,third,neet,O,93,senior high,12,no
96,third,engineer,A,38,doctor,7900,no
34,male,teacher,O,81,master,4200,yes
64,third,salesman,A,46,senior high,91,no
61,female,neet,B,35,master,15,no
4,third,salesman,A,79,primary,610,no
4,male,engineer,O,51,doctor,480,no
28,female,engineer,A,67,senior high,300,no
57,third,scientest,B,79,junior high,470,no
11,male,chef,O,61,junior high,8800,no
73,third,student,B,92,master,280,no
81,male,salesman,AB,83,primary,31,no
20,male,student,O,36,primary,120,yes
50,female,engineer,B,75,junior high,280,no
69,female,scientest,B,42,senior high,290,no
1,female,neet,A,63,doctor,330,no
35,third,salesman,B,51,doctor,59,no
97,female,teacher,AB,44,university,39,no
74,male,singer,O,36,senior high,7900,no
73,third,scientest,AB,55,university,210,no
98,male,student,AB,92,junior high,2400,no
32,third,programmer,A,87,university,59,no
30,male,salesman,AB,98,senior high,49,no
84,male,teacher,O,42,senior high,31,no
56,male,teacher,O,93,primary,430,no
71,third,chef,B,60,doctor,980,no
79,female,singer,AB,64,senior high,7700,no
76,male,student,B,62,junior high,6200,no
0,male,teacher,O,56,junior high,1800,no
70,third,singer,O,62,senior high,700,no
91,female,chef,A,57,senior high,5200,no
73,female,singer,A,81,primary,630,no
11,female,singer,A,52,doctor,290,no
4,female,neet,AB,96,primary,220,no
69,male,engineer,O,76,senior high,95,no
82,female,neet,A,82,university,1700,no
23,third,scientest,AB,84,junior high,540,no
23,male,engineer,AB,66,master,400,yes
56,female,neet,A,86,university,330,no
99,male,student,O,65,doctor,66,no
45,third,teacher,O,37,doctor,2500,no
44,female,engineer,B,61,doctor,5700,yes
92,male,chef,AB,35,senior high,7300,no
58,female,chef,B,51,primary,12,no
69,male,programmer,AB,81,primary,400,no
97,female,scientest,AB,35,senior high,930,no
17,female,programmer,A,38,senior high,2400,yes
61,third,teacher,O,42,senior high,90,no
88,female,student,AB,78,senior high,350,no
21,female,neet,B,55,senior high,950,no
1,third,student,A,50,senior high,630,no
21,third,student,B,89,senior high,10000,no
84,male,salesman,AB,92,junior high,530,no
95,third,scientest,O,73,master,870,no
76,female,engineer,AB,83,primary,71,no
33,male,scientest,O,51,primary,350,yes
87,male,chef,AB,43,master,970,no
80,male,neet,AB,40,university,5400,no
20,male,programmer,AB,54,master,85,no
3,male,student,A,69,primary,530,no
80,male,scientest,O,62,junior high,62,no
38,third,programmer,B,37,master,4200,yes
49,third,singer,AB,82,junior high,610,no
87,third,neet,B,56,doctor,3000,no
67,male,programmer,A,84,senior high,440,no
25,male,singer,AB,99,doctor,910,no
23,female,student,AB,57,doctor,5100,no
39,female,chef,O,86,master,300,yes
38,third,chef,O,87,master,990,yes
70,female,teacher,AB,91,master,55,no
12,male,engineer,AB,50,junior high,9100,yes
99,male,programmer,A,37,junior high,17,no
99,female,singer,AB,81,senior high,8100,no
91,male,student,A,39,doctor,700,no
74,female,student,A,62,junior high,840,no
62,male,teacher,B,49,primary,23,no
9,male,singer,O,78,senior high,900,no
49,male,scientest,AB,48,university,840,no
16,female,engineer,AB,74,junior high,68,no
98,third,teacher,A,62,junior high,680,no
49,male,scientest,B,45,university,26,no
11,female,scientest,B,41,senior high,520,yes
21,female,chef,A,92,master,920,yes
77,female,salesman,AB,99,master,30,no
35,female,student,B,81,senior high,7600,no
0,third,teacher,O,82,doctor,760,no
22,male,salesman,B,97,junior high,1100,no
38,third,teacher,O,73,doctor,300,yes
85,male,student,A,90,primary,5700,no
52,male,programmer,A,66,doctor,430,no
10,male,salesman,A,82,primary,40,no
15,female,chef,O,68,university,97,no
37,female,student,AB,75,junior high,18,no
22,third,student,B,51,university,5500,no
62,male,singer,O,79,doctor,94,no
61,third,engineer,O,57,university,4000,no
80,male,chef,O,76,doctor,20,no
38,male,programmer,O,91,senior high,520,yes
20,third,neet,A,96,primary,420,no
95,female,neet,AB,88,senior high,3400,no
2,female,programmer,A,93,senior high,66,no
75,male,teacher,B,76,university,1800,no
27,third,neet,AB,38,senior high,930,no
15,male,programmer,AB,62,master,9300,no
91,third,neet,B,38,master,190,no
7,male,singer,AB,73,primary,77,no
90,female,teacher,B,58,university,9,no
2,male,neet,B,90,primary,87,no
21,male,scientest,AB,46,junior high,1400,no
79,female,salesman,O,56,junior high,720,no
27,female,singer,O,61,university,5600,yes
51,third,student,O,51,senior high,13,no
21,male,student,O,74,senior high,38,yes
0,female,student,O,37,primary,22,no
31,male,singer,O,86,junior high,93,yes
64,third,neet,AB,44,primary,71,no
85,female,salesman,A,38,doctor,7200,no
72,male,salesman,O,86,master,2800,no
21,female,singer,B,63,master,4200,no
20,female,engineer,A,93,senior high,88,no
60,third,engineer,O,77,junior high,60,no
72,male,student,A,68,master,3100,no
27,third,engineer,O,92,master,970,yes
33,third,neet,O,50,doctor,780,yes
51,female,scientest,A,47,senior high,510,no
96,third,engineer,AB,55,doctor,9300,no
8,male,salesman,O,49,doctor,550,yes
17,third,chef,O,85,senior high,85,yes
65,third,engineer,B,78,master,31,no
49,female,singer,B,94,primary,89,no
48,female,teacher,A,84,primary,6400,no
20,female,scientest,O,56,primary,61,yes
10,female,student,B,44,primary,87,yes
17,female,teacher,AB,51,senior high,470,no
61,male,programmer,B,56,university,12,no
68,female,engineer,B,69,junior high,76,no
8,male,neet,AB,71,senior high,72,no
79,female,engineer,O,66,junior high,7100,no
8,male,student,A,78,doctor,97,no
18,male,student,AB,86,primary,18,no
61,third,student,O,53,senior high,12,no
78,male,teacher,B,37,senior high,26,no
39,male,programmer,AB,78,primary,490,no
96,female,student,AB,93,junior high,690,no
40,male,neet,A,45,doctor,12,no
82,male,chef,A,82,university,24,no
66,third,programmer,O,94,master,72,no
42,female,salesman,A,41,junior high,21,no
54,male,student,A,93,university,71,no
8,male,engineer,O,50,master,37,yes
36,male,programmer,B,38,master,9300,yes
14,female,engineer,AB,83,senior high,62,no
17,third,singer,O,91,primary,4900,yes
97,male,programmer,A,49,master,430,no
7,female,scientest,B,83,master,760,no
23,male,programmer,AB,82,master,78,yes
80,male,engineer,AB,98,master,8900,no
40,third,neet,AB,39,senior high,6,no
34,female,programmer,O,47,senior high,7400,yes
43,female,scientest,A,59,primary,460,no
67,third,programmer,O,72,doctor,70,no
13,third,salesman,AB,45,primary,150,no
2,third,singer,AB,46,master,26,no
13,male,student,AB,88,master,9800,no
1,male,chef,AB,71,master,15,no
88,male,teacher,O,92,primary,42,no
30,male,teacher,B,50,university,78,no
46,third,chef,B,47,master,560,yes
93,third,teacher,B,51,university,71,no
23,male,singer,B,87,senior high,41,no
29,female,salesman,O,87,master,3600,yes
11,third,singer,AB,95,senior high,29,no
73,third,chef,O,67,senior high,54,no
54,male,neet,O,42,doctor,1700,no
46,male,teacher,A,87,doctor,95,no
62,male,singer,O,65,doctor,44,no
19,female,salesman,AB,91,master,90,no
33,male,neet,AB,54,doctor,500,no
65,male,salesman,A,71,master,30,no
82,female,singer,AB,82,primary,20,no
66,third,programmer,AB,59,university,40,no
68,male,scientest,O,81,university,50,no
67,female,engineer,B,74,university,85,no
13,third,student,A,50,university,4400,no
81,female,neet,B,84,doctor,8300,no
98,male,engineer,A,93,master,29,no
35,female,programmer,O,87,university,31,yes
21,female,chef,A,50,master,9000,yes
93,third,singer,A,52,senior high,66,no
34,male,salesman,A,82,master,4000,no
20,female,singer,B,71,junior high,2400,no
61,male,singer,O,39,senior high,81,no
63,male,neet,A,99,university,660,no
1,male,scientest,A,80,junior high,440,no
90,female,neet,AB,77,university,1400,no
29,male,neet,B,74,senior high,6800,no
2,third,singer,AB,78,university,62,no
19,male,salesman,B,55,senior high,600,no
46,male,salesman,B,69,junior high,600,no
83,third,singer,O,81,university,9000,no
94,third,scientest,B,45,primary,47,no
20,male,scientest,AB,57,doctor,30,no
26,third,chef,A,70,doctor,680,yes
43,male,neet,O,42,junior high,26,no
70,female,chef,AB,51,senior high,6100,no
47,male,salesman,AB,78,doctor,1900,no
12,third,chef,B,75,junior high,1600,no
46,male,scientest,AB,46,doctor,30,yes
48,third,singer,B,73,junior high,7400,no
85,female,engineer,AB,56,primary,5300,no
3,male,singer,AB,48,doctor,8600,no
54,third,neet,O,98,senior high,26,no
99,male,salesman,B,65,primary,83,no
3,male,chef,AB,36,doctor,3800,no
90,female,singer,B,81,doctor,5500,no
48,female,engineer,O,98,primary,7100,no
64,male,singer,AB,49,university,5600,no
27,third,salesman,B,65,master,250,no
29,male,engineer,O,47,master,42,yes
46,male,scientest,B,79,senior high,74,no
96,male,teacher,AB,74,university,930,no
62,male,engineer,A,81,senior high,7800,no
81,female,engineer,A,70,junior high,6300,no
64,female,singer,A,89,university,92,no
39,third,singer,B,91,senior high,3,no
37,third,programmer,A,95,university,840,no
37,female,neet,A,88,senior high,4,no
65,third,student,O,96,senior high,550,no
17,third,salesman,AB,84,primary,490,no
95,female,teacher,A,64,junior high,96,no
96,female,chef,AB,65,doctor,51,no
35,third,scientest,O,99,master,48,yes
14,female,chef,A,73,university,10,no
69,female,salesman,A,51,senior high,1000,no
75,third,teacher,A,96,junior high,5600,no
78,female,singer,A,78,doctor,360,no
44,female,programmer,A,41,primary,7800,no
69,male,scientest,B,43,master,33,no
70,female,singer,A,81,senior high,680,no
73,female,singer,B,70,junior high,91,no
8,third,teacher,B,40,university,81,no
41,male,programmer,O,74,primary,56,no
93,female,neet,A,91,master,2,no
0,female,salesman,AB,74,doctor,2400,no
96,third,programmer,B,73,junior high,69,no
61,male,teacher,A,77,primary,64,no
2,female,teacher,A,98,senior high,540,no
9,third,programmer,B,62,doctor,6000,no
94,male,salesman,AB,99,master,1500,no
32,male,neet,B,54,primary,36,no
88,third,salesman,AB,97,doctor,86,no
90,third,neet,AB,72,senior high,470,no
92,female,programmer,AB,79,university,52,no
49,third,teacher,A,96,university,8200,no
30,male,scientest,A,44,doctor,8700,yes
88,third,chef,AB,66,junior high,260,no
13,male,singer,B,61,master,62,no
17,male,neet,A,62,junior high,2,no
40,third,salesman,AB,35,doctor,7000,no
65,third,salesman,A,56,primary,400,no
42,third,teacher,AB,45,doctor,830,no
11,female,singer,AB,54,doctor,4400,no
59,female,salesman,O,38,junior high,100,no
1,female,neet,B,58,doctor,6300,no
54,female,scientest,O,86,doctor,6,no
26,third,student,A,79,senior high,3200,no
28,female,engineer,AB,70,university,78,no
97,female,engineer,AB,91,master,630,no
28,male,student,AB,66,junior high,650,no
72,male,neet,A,75,junior high,56,no
25,female,programmer,O,50,master,3700,yes
78,male,engineer,O,44,senior high,270,no
74,third,teacher,B,61,university,7300,no
33,third,engineer,AB,48,primary,31,no
96,female,engineer,O,38,doctor,700,no
91,female,teacher,AB,91,junior high,14,no
40,male,student,AB,67,senior high,1300,no
15,third,chef,B,42,doctor,5100,no
86,female,teacher,AB,72,university,860,no
