Age,Gender,Blood group,Weight,Education,Choosed
65,male,B,55,university,no
87,third,AB,44,primary,no
43,third,O,47,junior high,no
44,third,O,87,university,no
41,male,O,80,junior high,no
52,male,AB,40,master,no
92,male,A,40,doctor,no
11,male,A,38,university,yes
40,third,O,39,primary,yes
34,third,AB,99,university,no
50,female,O,49,master,no
89,third,AB,79,senior high,no
27,female,B,79,senior high,no
58,male,AB,48,primary,no
51,third,AB,90,doctor,no
26,third,AB,46,junior high,yes
68,third,O,96,junior high,no
6,male,B,90,master,no
89,third,O,71,senior high,no
63,third,AB,62,doctor,no
33,female,AB,57,university,no
35,female,O,35,doctor,yes
72,male,A,95,master,no
19,male,B,72,doctor,no
84,third,B,97,master,no
73,female,B,58,doctor,no
35,female,O,36,primary,yes
5,female,AB,91,junior high,no
39,third,O,67,senior high,yes
14,male,B,35,primary,no
91,female,AB,96,senior high,no
1,female,AB,79,primary,no
45,male,A,91,doctor,yes
44,male,O,78,doctor,no
92,male,A,76,junior high,no
17,female,A,75,senior high,no
16,male,B,82,university,no
94,third,O,40,university,no
96,third,A,59,master,no
56,female,O,52,master,no
72,third,B,84,junior high,no
11,female,A,76,senior high,no
93,female,B,48,junior high,no
84,third,AB,42,primary,no
93,female,O,99,master,no
83,female,O,46,senior high,no
7,third,AB,51,university,no
76,male,B,89,master,no
45,male,B,84,senior high,no
32,female,AB,95,university,no
14,female,B,69,doctor,no
33,third,O,81,university,yes
55,third,AB,57,senior high,no
86,female,B,77,junior high,no
49,female,A,50,doctor,no
8,female,B,37,university,no
13,male,B,79,junior high,no
73,female,B,42,junior high,no
70,third,O,38,primary,no
95,third,O,82,primary,no
75,male,A,52,senior high,no
0,third,B,65,doctor,no
83,third,A,50,junior high,no
85,female,O,86,junior high,no
90,third,B,36,junior high,no
48,third,AB,77,master,no
27,male,B,90,university,no
67,third,B,51,doctor,no
99,female,O,76,master,no
32,female,AB,89,master,no
77,male,O,66,doctor,no
66,third,B,42,primary,no
29,male,A,60,doctor,no
49,male,AB,60,university,no
11,third,AB,63,university,no
50,male,A,72,master,yes
28,male,B,84,primary,no
21,female,AB,35,master,no
71,male,AB,58,junior high,no
80,female,AB,50,primary,no
38,female,A,98,master,yes
73,female,B,92,senior high,no
56,male,A,67,junior high,no
86,female,O,50,primary,no
7,male,AB,87,primary,no
70,third,AB,99,master,no
59,female,O,53,university,no
29,female,O,90,university,yes
38,male,B,67,primary,no
64,female,O,61,doctor,no
64,female,AB,36,primary,no
39,female,A,77,junior high,no
27,female,B,84,senior high,no
6,female,AB,96,senior high,no
49,male,AB,42,university,yes
73,male,O,59,primary,no
69,male,B,49,university,no
66,third,B,59,doctor,no
64,male,AB,38,doctor,no
65,male,AB,99,doctor,no
56,third,O,53,doctor,no
80,female,A,67,university,no
25,male,O,72,doctor,yes
66,male,A,70,master,no
54,male,A,47,master,no
55,third,O,79,university,no
7,male,B,88,senior high,no
25,female,A,96,university,no
16,male,O,68,doctor,yes
8,female,O,87,senior high,no
97,female,B,48,senior high,no
93,male,A,61,master,no
96,third,O,75,master,no
88,female,AB,42,junior high,no
1,female,B,43,primary,no
35,female,B,47,university,no
78,female,AB,52,primary,no
30,female,B,37,university,no
24,third,B,60,primary,no
59,third,B,90,primary,no
61,female,B,76,doctor,no
83,male,A,86,junior high,no
62,female,B,65,senior high,no
74,female,AB,72,senior high,no
47,female,B,90,junior high,yes
42,third,O,57,senior high,yes
72,female,AB,57,doctor,no
38,female,O,50,master,yes
53,third,A,99,master,no
64,female,AB,62,junior high,no
13,male,B,51,primary,no
22,male,B,71,master,yes
8,third,O,40,doctor,no
51,third,B,40,senior high,no
90,third,O,52,junior high,no
60,third,A,76,doctor,no
3,female,B,95,master,no
85,female,B,52,doctor,no
72,female,A,65,junior high,no
67,third,B,93,master,no
24,male,A,51,master,yes
91,male,AB,70,senior high,no
95,male,AB,73,junior high,no
54,male,O,78,university,no
60,third,B,87,senior high,no
15,male,O,52,senior high,no
15,third,AB,39,master,no
50,third,AB,57,master,no
7,male,A,48,university,no
61,female,O,96,university,no
19,male,AB,91,junior high,yes
50,third,B,40,master,no
27,third,O,39,doctor,yes
79,third,AB,58,senior high,no
39,third,A,83,junior high,no
9,female,AB,43,doctor,no
94,male,AB,77,junior high,no
25,male,A,46,junior high,no
24,female,O,78,master,yes
23,third,O,82,senior high,yes
96,female,O,62,doctor,no
74,male,A,87,master,no
58,male,B,35,doctor,no
68,male,O,90,master,no
94,third,A,60,doctor,no
41,third,B,37,junior high,no
13,female,B,52,doctor,no
27,female,AB,40,junior high,no
69,male,AB,43,master,no
97,male,O,38,primary,no
59,female,AB,66,master,no
57,male,B,35,university,no
86,male,A,36,master,no
41,male,A,56,university,no
94,male,B,47,master,no
90,female,A,87,doctor,no
78,male,O,65,doctor,no
11,third,B,62,master,no
41,third,A,60,senior high,no
64,male,AB,73,doctor,no
85,third,AB,77,university,no
70,male,AB,55,primary,no
48,female,AB,36,doctor,no
58,male,AB,99,senior high,no
78,third,O,47,university,no
16,male,O,86,university,yes
72,female,B,56,senior high,no
25,male,O,43,university,yes
52,female,B,47,university,no
53,third,AB,85,senior high,no
86,third,A,54,university,no
26,third,B,56,senior high,no
68,female,O,55,master,no
17,third,B,46,senior high,no
12,male,A,52,master,no
59,female,A,74,junior high,no
9,male,O,58,senior high,no
20,third,AB,88,university,no
33,male,B,48,junior high,yes
51,third,A,93,university,no
97,female,B,97,senior high,no
0,third,A,94,junior high,no
0,third,A,94,senior high,no
95,third,A,48,university,no
24,third,O,67,senior high,yes
28,female,A,65,senior high,no
17,male,A,49,junior high,no
81,male,AB,52,master,no
42,female,O,43,junior high,no
19,female,O,43,master,yes
25,male,A,92,university,no
37,third,A,72,senior high,no
39,third,B,71,master,no
44,male,B,78,doctor,no
65,female,O,54,senior high,no
95,male,AB,85,primary,no
10,third,O,71,master,no
13,female,A,53,doctor,no
79,female,O,49,primary,no
82,male,A,86,senior high,no
33,female,A,80,junior high,no
65,male,B,72,primary,no
6,third,O,99,primary,no
58,third,AB,79,university,no
58,male,O,79,primary,no
35,female,A,51,primary,yes
54,third,B,93,senior high,no
25,third,AB,62,university,no
30,male,AB,93,master,yes
58,third,A,85,senior high,no
1,third,B,95,junior high,no
25,female,A,97,doctor,no
78,female,O,36,senior high,no
40,female,AB,88,junior high,yes
84,third,AB,36,master,no
51,female,A,99,senior high,no
95,female,O,80,primary,no
91,male,A,40,university,no
70,female,B,44,primary,no
42,male,A,59,junior high,no
44,female,A,63,master,no
15,female,O,44,primary,yes
35,male,O,74,master,yes
49,third,AB,83,university,no
29,male,O,77,senior high,yes
97,female,A,47,junior high,no
22,third,B,61,primary,no
86,female,A,64,senior high,no
67,male,A,46,doctor,no
59,female,O,98,doctor,no
6,female,B,75,junior high,no
52,third,B,93,primary,no
83,third,B,60,doctor,no
60,female,AB,76,university,no
96,third,B,60,doctor,no
67,male,AB,40,master,no
0,male,A,98,senior high,no
10,female,B,84,primary,no
31,female,AB,84,primary,no
8,male,AB,82,master,no
76,third,O,93,senior high,no
96,third,A,38,doctor,no
34,male,O,81,master,yes
64,third,A,46,senior high,no
61,female,B,35,master,no
4,third,A,79,primary,no
4,male,O,51,doctor,no
28,female,A,67,senior high,no
57,third,B,79,junior high,no
11,male,O,61,junior high,no
73,third,B,92,master,no
81,male,AB,83,primary,no
20,male,O,36,primary,yes
50,female,B,75,junior high,no
69,female,B,42,senior high,no
1,female,A,63,doctor,no
35,third,B,51,doctor,no
97,female,AB,44,university,no
74,male,O,36,senior high,no
73,third,AB,55,university,no
98,male,AB,92,junior high,no
32,third,A,87,university,no
30,male,AB,98,senior high,no
84,male,O,42,senior high,no
56,male,O,93,primary,no
71,third,B,60,doctor,no
79,female,AB,64,senior high,no
76,male,B,62,junior high,no
0,male,O,56,junior high,no
70,third,O,62,senior high,no
91,female,A,57,senior high,no
73,female,A,81,primary,no
11,female,A,52,doctor,no
4,female,AB,96,primary,no
69,male,O,76,senior high,no
82,female,A,82,university,no
23,third,AB,84,junior high,no
23,male,AB,66,master,yes
56,female,A,86,university,no
99,male,O,65,doctor,no
45,third,O,37,doctor,no
44,female,B,61,doctor,yes
92,male,AB,35,senior high,no
58,female,B,51,primary,no
69,male,AB,81,primary,no
97,female,AB,35,senior high,no
17,female,A,38,senior high,yes
61,third,O,42,senior high,no
88,female,AB,78,senior high,no
21,female,B,55,senior high,no
1,third,A,50,senior high,no
21,third,B,89,senior high,no
84,male,AB,92,junior high,no
95,third,O,73,master,no
76,female,AB,83,primary,no
33,male,O,51,primary,yes
87,male,AB,43,master,no
80,male,AB,40,university,no
20,male,AB,54,master,no
3,male,A,69,primary,no
80,male,O,62,junior high,no
38,third,B,37,master,yes
49,third,AB,82,junior high,no
87,third,B,56,doctor,no
67,male,A,84,senior high,no
25,male,AB,99,doctor,no
23,female,AB,57,doctor,no
39,female,O,86,master,yes
38,third,O,87,master,yes
70,female,AB,91,master,no
12,male,AB,50,junior high,yes
99,male,A,37,junior high,no
99,female,AB,81,senior high,no
91,male,A,39,doctor,no
74,female,A,62,junior high,no
62,male,B,49,primary,no
9,male,O,78,senior high,no
49,male,AB,48,university,no
16,female,AB,74,junior high,no
98,third,A,62,junior high,no
49,male,B,45,university,no
11,female,B,41,senior high,yes
21,female,A,92,master,yes
77,female,AB,99,master,no
35,female,B,81,senior high,no
0,third,O,82,doctor,no
22,male,B,97,junior high,no
38,third,O,73,doctor,yes
85,male,A,90,primary,no
52,male,A,66,doctor,no
10,male,A,82,primary,no
15,female,O,68,university,no
37,female,AB,75,junior high,no
22,third,B,51,university,no
62,male,O,79,doctor,no
61,third,O,57,university,no
80,male,O,76,doctor,no
38,male,O,91,senior high,yes
20,third,A,96,primary,no
95,female,AB,88,senior high,no
2,female,A,93,senior high,no
75,male,B,76,university,no
27,third,AB,38,senior high,no
15,male,AB,62,master,no
91,third,B,38,master,no
7,male,AB,73,primary,no
90,female,B,58,university,no
2,male,B,90,primary,no
21,male,AB,46,junior high,no
79,female,O,56,junior high,no
27,female,O,61,university,yes
51,third,O,51,senior high,no
21,male,O,74,senior high,yes
0,female,O,37,primary,no
31,male,O,86,junior high,yes
64,third,AB,44,primary,no
85,female,A,38,doctor,no
72,male,O,86,master,no
21,female,B,63,master,no
20,female,A,93,senior high,no
60,third,O,77,junior high,no
72,male,A,68,master,no
27,third,O,92,master,yes
33,third,O,50,doctor,yes
51,female,A,47,senior high,no
96,third,AB,55,doctor,no
8,male,O,49,doctor,yes
17,third,O,85,senior high,yes
65,third,B,78,master,no
49,female,B,94,primary,no
48,female,A,84,primary,no
20,female,O,56,primary,yes
10,female,B,44,primary,yes
17,female,AB,51,senior high,no
61,male,B,56,university,no
68,female,B,69,junior high,no
8,male,AB,71,senior high,no
79,female,O,66,junior high,no
8,male,A,78,doctor,no
18,male,AB,86,primary,no
61,third,O,53,senior high,no
78,male,B,37,senior high,no
39,male,AB,78,primary,no
96,female,AB,93,junior high,no
40,male,A,45,doctor,no
82,male,A,82,university,no
66,third,O,94,master,no
42,female,A,41,junior high,no
54,male,A,93,university,no
8,male,O,50,master,yes
36,male,B,38,master,yes
14,female,AB,83,senior high,no
17,third,O,91,primary,yes
97,male,A,49,master,no
7,female,B,83,master,no
23,male,AB,82,master,yes
80,male,AB,98,master,no
40,third,AB,39,senior high,no
34,female,O,47,senior high,yes
43,female,A,59,primary,no
67,third,O,72,doctor,no
13,third,AB,45,primary,no
2,third,AB,46,master,no
13,male,AB,88,master,no
1,male,AB,71,master,no
88,male,O,92,primary,no
30,male,B,50,university,no
46,third,B,47,master,yes
93,third,B,51,university,no
23,male,B,87,senior high,no
29,female,O,87,master,yes
11,third,AB,95,senior high,no
73,third,O,67,senior high,no
54,male,O,42,doctor,no
46,male,A,87,doctor,no
62,male,O,65,doctor,no
19,female,AB,91,master,no
33,male,AB,54,doctor,no
65,male,A,71,master,no
82,female,AB,82,primary,no
66,third,AB,59,university,no
68,male,O,81,university,no
67,female,B,74,university,no
13,third,A,50,university,no
81,female,B,84,doctor,no
98,male,A,93,master,no
35,female,O,87,university,yes
21,female,A,50,master,yes
93,third,A,52,senior high,no
34,male,A,82,master,no
20,female,B,71,junior high,no
61,male,O,39,senior high,no
63,male,A,99,university,no
1,male,A,80,junior high,no
90,female,AB,77,university,no
29,male,B,74,senior high,no
2,third,AB,78,university,no
19,male,B,55,senior high,no
46,male,B,69,junior high,no
83,third,O,81,university,no
94,third,B,45,primary,no
20,male,AB,57,doctor,no
26,third,A,70,doctor,yes
43,male,O,42,junior high,no
70,female,AB,51,senior high,no
47,male,AB,78,doctor,no
12,third,B,75,junior high,no
46,male,AB,46,doctor,yes
48,third,B,73,junior high,no
85,female,AB,56,primary,no
3,male,AB,48,doctor,no
54,third,O,98,senior high,no
99,male,B,65,primary,no
3,male,AB,36,doctor,no
90,female,B,81,doctor,no
48,female,O,98,primary,no
64,male,AB,49,university,no
27,third,B,65,master,no
29,male,O,47,master,yes
46,male,B,79,senior high,no
96,male,AB,74,university,no
62,male,A,81,senior high,no
81,female,A,70,junior high,no
64,female,A,89,university,no
39,third,B,91,senior high,no
37,third,A,95,university,no
37,female,A,88,senior high,no
65,third,O,96,senior high,no
17,third,AB,84,primary,no
95,female,A,64,junior high,no
96,female,AB,65,doctor,no
35,third,O,99,master,yes
14,female,A,73,university,no
69,female,A,51,senior high,no
75,third,A,96,junior high,no
78,female,A,78,doctor,no
44,female,A,41,primary,no
69,male,B,43,master,no
70,female,A,81,senior high,no
73,female,B,70,junior high,no
8,third,B,40,university,no
41,male,O,74,primary,no
93,female,A,91,master,no
0,female,AB,74,doctor,no
96,third,B,73,junior high,no
61,male,A,77,primary,no
2,female,A,98,senior high,no
9,third,B,62,doctor,no
94,male,AB,99,master,no
32,male,B,54,primary,no
88,third,AB,97,doctor,no
90,third,AB,72,senior high,no
92,female,AB,79,university,no
49,third,A,96,university,no
30,male,A,44,doctor,yes
88,third,AB,66,junior high,no
13,male,B,61,master,no
17,male,A,62,junior high,no
40,third,AB,35,doctor,no
65,third,A,56,primary,no
42,third,AB,45,doctor,no
11,female,AB,54,doctor,no
59,female,O,38,junior high,no
1,female,B,58,doctor,no
54,female,O,86,doctor,no
26,third,A,79,senior high,no
28,female,AB,70,university,no
97,female,AB,91,master,no
28,male,AB,66,junior high,no
72,male,A,75,junior high,no
25,female,O,50,master,yes
78,male,O,44,senior high,no
74,third,B,61,university,no
33,third,AB,48,primary,no
96,female,O,38,doctor,no
91,female,AB,91,junior high,no
40,male,AB,67,senior high,no
15,third,B,42,doctor,no
86,female,AB,72,university,no
82,third,O,97,master,no
74,female,A,46,university,no
25,third,B,65,doctor,no
34,male,O,37,doctor,yes
2,male,O,62,doctor,no
90,female,AB,66,senior high,no
60,third,B,64,doctor,no
1,male,A,69,university,no
34,male,O,38,doctor,yes
97,female,A,79,primary,no
64,third,AB,96,university,no
43,female,O,83,primary,yes
43,third,AB,68,university,no
33,female,AB,84,doctor,no
90,third,O,57,doctor,no
72,female,AB,89,university,no
75,female,A,44,university,no
93,female,A,38,doctor,no
42,third,AB,47,university,no
25,third,O,85,university,yes
72,third,AB,85,senior high,no
14,third,B,79,university,no
99,female,B,66,senior high,no
32,third,A,94,primary,no
96,female,B,51,junior high,no
85,female,A,74,doctor,no
63,female,A,45,university,no
23,male,O,88,doctor,yes
1,third,B,53,university,no
48,third,A,92,junior high,no
75,female,O,62,junior high,no
88,female,A,53,senior high,no
34,male,O,58,master,yes
25,third,B,77,primary,no
6,female,AB,97,senior high,no
91,third,O,53,master,no
47,third,A,79,junior high,no
83,female,A,51,master,no
6,female,O,85,senior high,no
1,male,AB,56,senior high,no
40,female,O,61,university,yes
82,third,AB,57,junior high,no
57,third,O,86,junior high,no
44,male,AB,37,doctor,yes
44,female,A,88,master,yes
49,male,B,67,senior high,no
60,female,AB,60,senior high,no
90,female,O,91,senior high,no
44,third,O,70,master,no
59,female,A,73,doctor,no
87,male,A,71,primary,no
97,third,A,64,master,no
22,third,A,95,senior high,no
34,male,B,89,senior high,no
58,third,AB,77,university,no
77,male,AB,66,junior high,no
0,male,AB,68,university,no
9,male,AB,37,doctor,yes
81,third,O,84,university,no
30,male,AB,65,doctor,yes
8,third,A,46,doctor,no
2,female,AB,82,master,no
72,male,A,58,university,no
86,male,B,91,junior high,no
36,male,A,44,master,no
62,female,B,58,doctor,no
14,male,B,38,junior high,no
8,third,A,63,junior high,no
5,third,O,41,junior high,no
40,male,O,62,university,yes
38,third,O,66,university,yes
42,female,A,89,master,no
90,third,B,77,doctor,no
76,third,AB,40,master,no
21,female,O,53,university,yes
35,male,O,37,primary,yes
5,female,AB,69,university,no
82,male,A,77,primary,no
17,female,AB,45,junior high,yes
71,third,B,67,senior high,no
96,female,A,37,senior high,no
31,male,B,62,university,no
93,third,A,93,primary,no
8,third,AB,39,junior high,no
91,third,O,90,master,no
64,female,A,85,junior high,no
85,male,A,45,university,no
99,third,A,42,master,no
88,third,A,84,junior high,no
11,third,O,93,junior high,no
94,male,AB,73,master,no
2,third,A,37,doctor,no
54,male,B,88,master,no
52,third,AB,37,university,no
96,male,AB,82,doctor,no
30,male,AB,96,master,no
32,female,AB,52,primary,yes
69,female,A,93,primary,no
43,male,AB,92,university,no
25,female,A,99,senior high,yes
58,male,B,50,doctor,no
4,female,B,92,doctor,no
36,male,AB,84,doctor,yes
82,third,B,50,senior high,no
45,third,O,81,master,no
85,third,O,64,doctor,no
21,female,B,71,master,no
36,female,O,83,primary,yes
52,male,O,91,doctor,no
82,male,A,76,junior high,no
52,female,A,60,doctor,no
50,female,B,36,doctor,no
61,male,O,89,master,no
31,female,O,38,primary,yes
22,male,AB,69,junior high,no
28,third,AB,91,primary,no
16,male,A,83,primary,no
76,female,AB,35,doctor,no
60,female,B,48,senior high,no
61,male,B,78,junior high,no
51,third,B,50,master,no
17,female,B,82,junior high,no
60,male,O,93,junior high,no
12,third,AB,49,primary,no
55,third,A,54,senior high,no
62,male,AB,49,doctor,no
49,male,A,97,university,no
41,third,B,86,primary,no
61,third,B,53,doctor,no
97,third,B,93,university,no
99,third,AB,35,primary,no
17,third,B,64,doctor,no
33,third,B,83,senior high,no
36,third,AB,96,primary,no
79,male,O,95,master,no
17,male,B,81,senior high,no
28,third,O,68,senior high,yes
84,third,A,72,master,no
11,male,AB,82,master,no
69,female,AB,43,junior high,no
17,male,B,94,master,no
74,female,B,63,senior high,no
15,male,O,71,doctor,no
57,third,A,85,university,no
20,female,O,67,junior high,yes
70,male,A,77,primary,no
7,female,A,52,senior high,no
21,female,AB,68,university,no
3,male,A,99,junior high,no
96,third,AB,44,primary,no
33,third,O,35,senior high,yes
74,male,AB,82,master,no
89,female,A,92,master,no
62,third,B,40,junior high,no
55,female,O,93,senior high,no
61,female,A,98,senior high,no
15,female,AB,54,senior high,no
18,third,B,52,senior high,no
28,third,O,45,university,yes
26,third,O,61,junior high,yes
46,female,O,51,university,no
43,female,O,50,university,no
91,female,B,38,senior high,no
49,male,AB,39,master,no
23,third,B,48,primary,no
6,third,A,90,senior high,no
71,female,AB,70,master,no
83,third,AB,58,doctor,no
48,third,O,84,university,no
26,female,B,57,senior high,no
90,female,A,57,junior high,no
7,female,O,95,primary,no
45,third,A,71,master,yes
97,third,B,65,senior high,no
58,male,O,51,senior high,no
50,third,O,65,junior high,no
54,female,O,96,master,no
77,third,B,80,junior high,no
19,male,B,75,master,no
35,male,B,88,university,no
22,female,O,59,doctor,yes
82,female,O,37,master,no
44,third,AB,96,senior high,no
99,male,AB,41,primary,no
83,third,O,42,senior high,no
28,third,AB,93,master,no
41,female,O,73,doctor,no
68,third,A,93,primary,no
25,third,B,80,senior high,no
17,female,O,85,senior high,yes
58,female,O,40,university,no
79,third,A,74,master,no
62,female,O,64,doctor,no
42,female,B,90,senior high,no
40,female,A,75,university,no
16,male,A,84,primary,no
72,male,O,43,senior high,no
39,third,AB,74,university,no
15,male,O,46,master,no
98,male,A,40,doctor,no
76,third,O,51,doctor,no
8,third,B,54,doctor,no
92,female,B,98,doctor,no
76,male,AB,89,doctor,no
96,male,O,57,senior high,no
9,male,B,67,doctor,no
98,third,O,64,junior high,no
33,male,AB,38,doctor,yes
42,female,AB,35,university,no
69,third,A,44,university,no
22,male,A,71,university,no
73,female,AB,67,master,no
32,male,A,75,senior high,yes
33,third,A,85,primary,no
82,third,O,49,senior high,no
90,third,O,66,senior high,no
72,male,O,35,senior high,no
8,third,AB,81,junior high,no
65,female,B,62,university,no
98,female,AB,54,junior high,no
36,female,A,53,university,no
24,third,B,43,doctor,yes
77,female,O,42,senior high,no
79,female,B,42,university,no
42,male,AB,74,primary,no
83,male,A,36,university,no
11,female,B,40,senior high,yes
21,male,O,76,doctor,yes
19,male,A,85,primary,no
69,third,B,40,master,no
69,third,B,86,doctor,no
36,female,B,48,master,no
17,third,AB,99,university,no
50,male,O,81,junior high,no
5,male,O,72,primary,no
77,third,A,38,university,no
20,female,O,67,primary,yes
18,female,AB,72,doctor,yes
83,female,B,46,university,no
30,male,B,49,primary,no
63,female,AB,81,master,no
56,third,O,72,doctor,no
20,third,A,38,senior high,no
10,male,O,87,primary,no
97,male,AB,63,primary,no
13,male,AB,53,senior high,no
50,male,AB,95,senior high,no
87,male,AB,56,doctor,no
52,male,B,56,junior high,no
79,female,AB,80,junior high,no
90,female,B,58,master,no
41,female,AB,48,primary,no
59,male,AB,67,doctor,no
24,male,AB,93,university,no
87,third,A,65,doctor,no
92,third,AB,57,master,no
25,third,A,45,university,no
7,third,B,84,senior high,no
42,male,AB,66,master,yes
11,female,B,39,primary,yes
15,male,A,93,master,no
74,third,A,53,junior high,no
89,female,B,88,senior high,no
90,third,AB,68,master,no
98,third,AB,99,master,no
8,female,O,35,junior high,no
54,female,A,89,university,no
71,third,B,42,university,no
35,third,B,64,doctor,no
61,female,A,53,senior high,no
74,male,A,39,doctor,no
24,third,AB,73,senior high,yes
80,male,AB,46,primary,no
46,male,AB,59,master,yes
6,female,O,81,master,no
70,male,O,44,doctor,no
34,female,A,42,primary,no
75,female,B,52,university,no
2,third,B,36,junior high,no
63,male,B,77,senior high,no
32,female,O,85,senior high,yes
38,female,B,98,university,no
22,male,AB,46,university,no
90,male,AB,37,primary,no
50,male,B,67,senior high,no
35,female,AB,36,junior high,no
97,female,AB,60,senior high,no
58,female,B,60,junior high,no
77,male,AB,65,doctor,no
12,third,O,77,university,no
66,female,O,98,doctor,no
85,female,AB,96,senior high,no
58,third,AB,56,junior high,no
65,male,A,98,primary,no
48,third,A,49,junior high,no
64,male,A,77,senior high,no
91,female,B,86,doctor,no
10,female,O,59,doctor,no
71,male,B,39,master,no
93,male,A,42,senior high,no
51,female,A,46,doctor,no
79,male,O,89,master,no
1,third,B,68,junior high,no
43,male,B,96,junior high,no
