Age,Gender,Occupations,Blood group,Height,Weight,Education,Revenue,Cosplay

	29,	male,	chef,	AB,	159,	94,	primary,	9300,	no

	87,	female,	neet,	B,	163,	57,	senior high,	23,	no

	14,	third,	scientest,	O,	147,	60,	university,	79,	yes

	83,	male,	engineer,	O,	152,	45,	master,	72,	yes

	66,	female,	singer,	A,	181,	40,	senior high,	1700,	yes

	8,	third,	scientest,	AB,	140,	47,	university,	600,	no

	5,	male,	programmer,	O,	191,	69,	primary,	600,	yes

	60,	third,	engineer,	B,	193,	80,	senior high,	220,	no

	3,	male,	engineer,	B,	164,	37,	university,	56,	yes

	58,	male,	scientest,	A,	179,	42,	senior high,	9100,	yes

	91,	female,	singer,	B,	198,	86,	primary,	5600,	no

	77,	male,	teacher,	O,	187,	47,	doctor,	6500,	yes

	48,	male,	engineer,	B,	184,	78,	senior high,	970,	no

	78,	third,	singer,	AB,	143,	66,	doctor,	890,	yes

	99,	male,	chef,	B,	160,	80,	doctor,	9,	no

	68,	female,	chef,	A,	155,	78,	primary,	620,	no

	71,	female,	programmer,	A,	185,	93,	master,	530,	no

	64,	male,	student,	B,	161,	52,	senior high,	2800,	no

	25,	female,	programmer,	AB,	152,	40,	senior high,	120,	no

	74,	male,	salesman,	O,	150,	54,	junior high,	200,	yes

	2,	male,	programmer,	B,	178,	54,	master,	6400,	no

	32,	female,	student,	AB,	199,	36,	master,	68,	yes

	73,	third,	engineer,	B,	166,	44,	primary,	52,	yes

	56,	male,	neet,	AB,	168,	54,	master,	7700,	yes

	84,	female,	teacher,	O,	157,	43,	master,	2300,	yes

	43,	third,	student,	B,	186,	65,	master,	70,	yes

	49,	third,	scientest,	A,	157,	94,	junior high,	1200,	no

	71,	female,	programmer,	B,	186,	67,	master,	4100,	no

	0,	third,	salesman,	O,	143,	97,	master,	20,	no

	34,	female,	chef,	A,	143,	35,	master,	1800,	yes

	20,	male,	chef,	AB,	149,	35,	master,	64,	yes

	16,	male,	student,	A,	174,	69,	university,	9300,	no

	32,	third,	engineer,	B,	196,	49,	junior high,	790,	no

	82,	third,	teacher,	A,	180,	68,	junior high,	760,	no

	30,	male,	engineer,	B,	161,	68,	doctor,	5900,	yes

	73,	male,	singer,	A,	170,	35,	university,	24,	no

	1,	male,	salesman,	A,	172,	90,	doctor,	81,	no

	88,	female,	singer,	B,	170,	35,	junior high,	3400,	no

	77,	third,	programmer,	A,	158,	82,	master,	73,	no

	65,	male,	chef,	B,	161,	56,	primary,	5000,	no

	58,	female,	scientest,	B,	195,	65,	senior high,	6600,	yes

	75,	female,	engineer,	O,	152,	46,	primary,	750,	no

	83,	female,	programmer,	A,	142,	46,	master,	1200,	no

	77,	female,	salesman,	O,	187,	86,	junior high,	37,	yes

	82,	female,	chef,	AB,	178,	77,	doctor,	61,	no

	60,	third,	singer,	AB,	192,	39,	master,	930,	yes

	34,	third,	programmer,	AB,	140,	93,	doctor,	90,	no

	60,	third,	student,	O,	168,	75,	doctor,	900,	no

	96,	female,	engineer,	AB,	173,	46,	junior high,	140,	no

	56,	third,	programmer,	B,	143,	80,	master,	60,	no

	66,	third,	scientest,	O,	145,	85,	junior high,	8800,	no

	15,	male,	neet,	A,	166,	70,	master,	1400,	no

	73,	female,	programmer,	B,	174,	53,	senior high,	910,	yes

	11,	female,	programmer,	B,	153,	64,	university,	220,	yes

	66,	female,	student,	A,	163,	45,	master,	48,	yes

	46,	female,	salesman,	A,	160,	59,	master,	260,	yes

	92,	female,	salesman,	A,	150,	89,	master,	83,	no

	53,	female,	teacher,	B,	197,	53,	senior high,	2600,	yes

	86,	female,	programmer,	O,	187,	79,	doctor,	450,	yes

	34,	male,	neet,	O,	171,	89,	university,	390,	yes

	79,	third,	chef,	AB,	143,	83,	primary,	170,	yes

	56,	female,	chef,	B,	157,	49,	primary,	6400,	no

	52,	male,	scientest,	O,	167,	86,	junior high,	53,	yes

	60,	male,	neet,	B,	151,	65,	doctor,	89,	yes

	93,	third,	programmer,	O,	163,	77,	master,	5600,	yes

	40,	male,	programmer,	AB,	189,	78,	primary,	600,	yes

	18,	female,	engineer,	O,	140,	56,	junior high,	2500,	no

	76,	male,	neet,	AB,	153,	50,	master,	22,	no

	14,	female,	scientest,	AB,	189,	42,	university,	38,	yes

	95,	female,	engineer,	O,	190,	87,	primary,	420,	no

	27,	female,	teacher,	AB,	151,	93,	university,	69,	yes

	51,	third,	engineer,	B,	181,	47,	junior high,	44,	no

	57,	third,	chef,	O,	194,	98,	university,	820,	yes

	97,	female,	scientest,	AB,	198,	72,	senior high,	450,	yes

	61,	female,	engineer,	B,	185,	86,	senior high,	11,	no

	16,	third,	neet,	A,	179,	88,	junior high,	7500,	yes

	47,	female,	singer,	A,	180,	62,	senior high,	610,	yes

	12,	third,	teacher,	O,	180,	43,	primary,	3200,	no

	51,	third,	singer,	O,	168,	69,	senior high,	880,	yes

	25,	male,	scientest,	AB,	192,	52,	doctor,	7600,	yes

	73,	third,	scientest,	B,	151,	89,	senior high,	20,	no

	50,	third,	student,	O,	178,	73,	senior high,	99,	yes

	49,	male,	programmer,	A,	169,	57,	doctor,	6800,	yes

	42,	male,	neet,	B,	198,	67,	junior high,	9200,	no

	66,	female,	programmer,	B,	159,	96,	doctor,	7500,	no

	29,	male,	salesman,	O,	148,	57,	university,	5100,	yes

	0,	male,	engineer,	A,	184,	37,	university,	3400,	yes

	5,	third,	neet,	B,	172,	47,	primary,	94,	yes

	33,	third,	programmer,	AB,	142,	85,	junior high,	86,	yes

	25,	female,	chef,	B,	165,	66,	junior high,	13,	yes

	62,	female,	chef,	O,	146,	89,	university,	37,	yes

	53,	male,	scientest,	B,	169,	68,	university,	2900,	yes

	26,	male,	engineer,	O,	193,	42,	doctor,	330,	no

	32,	male,	student,	B,	163,	73,	primary,	7900,	yes

	6,	third,	teacher,	AB,	189,	38,	university,	2600,	yes

	92,	male,	programmer,	AB,	176,	48,	junior high,	69,	yes

	18,	female,	engineer,	A,	145,	80,	university,	810,	yes

	91,	third,	student,	A,	180,	83,	junior high,	640,	no

	88,	third,	teacher,	A,	194,	37,	master,	92,	no

	15,	female,	programmer,	B,	179,	69,	doctor,	34,	no

	8,	male,	salesman,	B,	152,	78,	doctor,	89,	no

	6,	female,	teacher,	O,	191,	79,	doctor,	43,	yes

	73,	third,	neet,	A,	163,	73,	master,	9100,	no

	34,	female,	teacher,	B,	172,	70,	junior high,	5500,	no

	78,	male,	chef,	B,	169,	84,	doctor,	59,	no

	30,	female,	neet,	O,	194,	59,	primary,	6600,	yes

	9,	female,	chef,	B,	178,	71,	doctor,	620,	yes

	34,	male,	singer,	A,	186,	88,	senior high,	760,	yes

	25,	third,	engineer,	A,	162,	36,	junior high,	6900,	yes

	54,	third,	scientest,	B,	191,	39,	university,	94,	yes

	5,	third,	student,	AB,	170,	76,	master,	44,	no

	75,	male,	chef,	AB,	172,	55,	junior high,	860,	yes

	35,	male,	student,	O,	197,	93,	doctor,	360,	yes

	69,	third,	salesman,	O,	183,	62,	doctor,	10,	yes

	81,	third,	scientest,	AB,	143,	80,	master,	100,	yes

	63,	female,	engineer,	AB,	192,	45,	primary,	4700,	no

	40,	male,	salesman,	O,	189,	38,	master,	6000,	no

	9,	third,	neet,	B,	179,	59,	doctor,	630,	yes

	19,	third,	programmer,	O,	169,	63,	junior high,	14,	no

	26,	male,	salesman,	AB,	174,	55,	senior high,	330,	yes

	9,	third,	student,	B,	171,	86,	doctor,	98,	yes

	3,	third,	student,	A,	174,	47,	university,	580,	yes

	98,	third,	singer,	A,	145,	74,	senior high,	3000,	no

	8,	third,	chef,	A,	144,	74,	senior high,	8,	yes

	62,	male,	engineer,	B,	198,	80,	primary,	370,	no

	22,	female,	chef,	B,	194,	74,	university,	41,	no

	79,	female,	engineer,	A,	141,	81,	junior high,	400,	no

	5,	third,	student,	O,	156,	58,	junior high,	1800,	yes

	91,	male,	neet,	O,	175,	80,	doctor,	830,	no

	11,	male,	neet,	B,	174,	45,	junior high,	6000,	yes

	71,	third,	salesman,	B,	199,	43,	primary,	850,	yes

	47,	female,	scientest,	AB,	158,	36,	primary,	10000,	no

	45,	male,	singer,	O,	196,	48,	junior high,	65,	yes

	79,	male,	scientest,	A,	194,	83,	doctor,	6900,	no

	39,	third,	singer,	O,	196,	94,	doctor,	9,	no

	1,	third,	programmer,	AB,	143,	98,	primary,	690,	no

	26,	third,	singer,	AB,	176,	40,	doctor,	5100,	yes

	93,	third,	programmer,	A,	144,	39,	master,	12,	no

	99,	third,	scientest,	AB,	141,	74,	master,	49,	no

	57,	male,	singer,	A,	170,	87,	senior high,	83,	yes

	79,	female,	teacher,	B,	176,	78,	master,	440,	yes

	27,	male,	chef,	O,	162,	72,	primary,	47,	yes

	27,	female,	scientest,	AB,	198,	37,	junior high,	690,	no

	27,	female,	singer,	AB,	162,	54,	senior high,	2600,	yes

	46,	male,	student,	AB,	177,	61,	primary,	85,	yes

	58,	male,	programmer,	B,	195,	59,	junior high,	4100,	no

	50,	female,	neet,	B,	154,	94,	primary,	24,	yes

	30,	third,	chef,	O,	181,	88,	primary,	4200,	no

	45,	third,	programmer,	A,	189,	88,	primary,	2800,	yes

	3,	male,	engineer,	A,	185,	84,	junior high,	21,	yes

	74,	third,	programmer,	B,	153,	93,	master,	2200,	no

	70,	female,	student,	AB,	175,	36,	doctor,	67,	no

	92,	third,	teacher,	A,	181,	83,	master,	1400,	no

	29,	third,	singer,	B,	182,	72,	senior high,	46,	yes

	72,	female,	engineer,	B,	172,	62,	senior high,	6700,	no

	2,	female,	scientest,	A,	140,	98,	senior high,	60,	yes

	85,	third,	singer,	B,	148,	58,	university,	7200,	yes

	61,	male,	teacher,	A,	162,	92,	doctor,	9300,	no

	15,	third,	teacher,	A,	183,	66,	master,	300,	yes

	47,	male,	engineer,	B,	188,	46,	doctor,	60,	yes

	59,	third,	programmer,	A,	158,	54,	master,	7900,	yes

	37,	female,	programmer,	B,	190,	72,	master,	5,	no

	89,	third,	scientest,	A,	198,	50,	doctor,	20,	no

	8,	female,	singer,	O,	199,	49,	doctor,	65,	yes

	70,	male,	programmer,	AB,	169,	63,	junior high,	98,	yes

	77,	third,	student,	O,	193,	46,	master,	680,	no

	17,	male,	engineer,	O,	184,	75,	master,	790,	yes

	36,	female,	neet,	A,	180,	98,	junior high,	9600,	no

	4,	male,	engineer,	A,	176,	48,	doctor,	70,	yes

	28,	female,	chef,	B,	195,	65,	senior high,	4,	no

	1,	third,	student,	B,	179,	40,	doctor,	8500,	yes

	54,	female,	chef,	A,	165,	64,	senior high,	9900,	yes

	69,	third,	engineer,	A,	166,	40,	master,	6100,	yes

	77,	third,	neet,	A,	197,	83,	university,	26,	yes

	45,	male,	chef,	AB,	141,	75,	doctor,	610,	no

	78,	male,	chef,	B,	167,	40,	junior high,	30,	no

	50,	male,	neet,	A,	192,	99,	doctor,	320,	no

	53,	third,	salesman,	A,	196,	42,	university,	6100,	yes

	3,	male,	student,	AB,	187,	90,	university,	340,	no

	61,	male,	engineer,	O,	148,	78,	junior high,	5,	no

	5,	female,	engineer,	A,	183,	38,	university,	1400,	no

	64,	male,	scientest,	AB,	145,	57,	master,	35,	no

	35,	third,	teacher,	O,	181,	66,	master,	37,	yes

	93,	third,	scientest,	A,	183,	56,	master,	4100,	no

	74,	third,	teacher,	O,	156,	52,	doctor,	38,	yes

	63,	female,	teacher,	O,	170,	88,	senior high,	63,	yes

	63,	third,	teacher,	B,	196,	99,	senior high,	7500,	no

	93,	third,	engineer,	A,	183,	99,	master,	34,	yes

	76,	male,	student,	B,	176,	70,	doctor,	4200,	no

	36,	female,	teacher,	O,	182,	94,	primary,	3100,	yes

	71,	male,	chef,	B,	140,	45,	university,	1200,	yes

	89,	male,	scientest,	A,	158,	47,	university,	6900,	no

	34,	female,	chef,	A,	154,	96,	master,	190,	no

	19,	third,	engineer,	A,	155,	68,	senior high,	7700,	yes

	85,	male,	programmer,	O,	155,	75,	university,	9200,	yes

	7,	female,	neet,	O,	159,	89,	primary,	6900,	no

	19,	female,	neet,	A,	173,	87,	junior high,	8100,	no

	5,	male,	programmer,	AB,	197,	56,	senior high,	880,	yes

	73,	third,	student,	AB,	198,	98,	primary,	15,	yes

	58,	female,	programmer,	A,	150,	79,	doctor,	9400,	yes

	36,	male,	salesman,	AB,	178,	38,	university,	10000,	yes

	15,	female,	neet,	AB,	199,	71,	senior high,	33,	yes

	20,	female,	engineer,	A,	154,	99,	junior high,	890,	no

	41,	female,	scientest,	AB,	166,	56,	junior high,	53,	yes

	81,	female,	singer,	O,	149,	49,	senior high,	9300,	no

	61,	third,	student,	AB,	190,	92,	senior high,	35,	yes

	31,	third,	salesman,	O,	175,	94,	senior high,	88,	yes

	88,	male,	programmer,	O,	156,	69,	senior high,	8300,	yes

	13,	female,	teacher,	O,	193,	64,	senior high,	980,	no

	30,	third,	programmer,	B,	162,	42,	master,	800,	no

	95,	male,	teacher,	O,	199,	93,	junior high,	140,	no

	56,	male,	engineer,	B,	157,	41,	junior high,	12,	yes

	5,	female,	scientest,	A,	184,	81,	primary,	460,	no

	10,	female,	student,	B,	153,	41,	master,	13,	yes

	48,	male,	scientest,	AB,	179,	53,	junior high,	970,	yes

	34,	female,	engineer,	O,	169,	82,	primary,	410,	no

	80,	female,	salesman,	AB,	188,	54,	primary,	45,	yes

	39,	male,	programmer,	A,	145,	59,	university,	6800,	no

	16,	male,	teacher,	A,	162,	95,	junior high,	700,	no

	57,	third,	chef,	AB,	180,	86,	junior high,	7600,	yes

	23,	male,	singer,	A,	168,	61,	primary,	5600,	no

	56,	male,	programmer,	AB,	186,	74,	doctor,	6100,	no

	54,	male,	singer,	AB,	161,	71,	primary,	4600,	no

	86,	male,	scientest,	O,	150,	77,	junior high,	9000,	no

	13,	female,	neet,	AB,	186,	78,	university,	51,	no

	41,	male,	scientest,	AB,	197,	76,	primary,	66,	no

	18,	male,	neet,	O,	158,	46,	master,	670,	no

	89,	third,	neet,	O,	150,	85,	university,	55,	no

	39,	female,	singer,	A,	196,	88,	junior high,	200,	yes

	86,	male,	scientest,	A,	172,	86,	doctor,	360,	no

	94,	male,	student,	O,	140,	43,	master,	40,	yes

	71,	third,	programmer,	B,	193,	42,	university,	630,	no

	95,	female,	teacher,	B,	143,	66,	university,	9200,	no

	93,	male,	programmer,	A,	170,	64,	junior high,	26,	yes

	5,	male,	student,	AB,	144,	64,	primary,	700,	no

	44,	male,	neet,	B,	164,	70,	master,	5,	yes

	56,	male,	neet,	A,	149,	60,	university,	1900,	no

	41,	male,	teacher,	A,	199,	82,	junior high,	920,	no

	70,	third,	student,	B,	174,	82,	doctor,	75,	yes

	83,	third,	teacher,	B,	177,	36,	university,	37,	yes

	35,	third,	neet,	AB,	150,	36,	university,	150,	yes

	88,	male,	scientest,	B,	187,	99,	primary,	40,	no

	6,	third,	scientest,	B,	157,	39,	primary,	9400,	no

	16,	female,	programmer,	B,	174,	58,	doctor,	1000,	no

	82,	female,	neet,	O,	176,	74,	primary,	650,	yes

	95,	female,	neet,	B,	167,	66,	primary,	7,	no

	73,	third,	salesman,	AB,	187,	91,	primary,	8700,	yes

	83,	female,	scientest,	A,	197,	76,	master,	2100,	no

	58,	third,	student,	B,	177,	52,	junior high,	160,	no

	51,	male,	programmer,	B,	147,	82,	doctor,	410,	yes

	82,	third,	scientest,	AB,	176,	98,	doctor,	73,	yes

	76,	female,	neet,	AB,	146,	66,	primary,	29,	no

	78,	female,	programmer,	AB,	148,	83,	master,	610,	yes

	30,	male,	scientest,	O,	180,	36,	master,	33,	no

	25,	male,	neet,	AB,	141,	78,	junior high,	510,	no

	6,	female,	teacher,	O,	166,	37,	doctor,	7600,	yes

	29,	female,	student,	AB,	156,	38,	doctor,	500,	no

	7,	female,	teacher,	O,	151,	80,	university,	720,	no

	34,	third,	neet,	O,	151,	43,	primary,	500,	yes

	36,	female,	singer,	AB,	176,	58,	senior high,	72,	no

	22,	female,	chef,	A,	185,	55,	junior high,	95,	yes

	98,	male,	scientest,	O,	175,	72,	doctor,	350,	no

	17,	third,	teacher,	AB,	175,	86,	master,	750,	yes

	87,	third,	scientest,	O,	173,	96,	university,	5100,	no

	77,	female,	programmer,	O,	144,	87,	junior high,	87,	no

	42,	third,	scientest,	O,	167,	63,	doctor,	1900,	yes

	83,	female,	chef,	O,	173,	83,	university,	1400,	no

	99,	third,	student,	AB,	186,	80,	master,	780,	no

	81,	third,	scientest,	B,	164,	94,	senior high,	16,	yes

	98,	female,	salesman,	AB,	155,	55,	primary,	400,	yes

	88,	female,	scientest,	AB,	182,	42,	primary,	770,	yes

	74,	female,	salesman,	O,	149,	84,	doctor,	53,	no

	50,	male,	teacher,	B,	191,	60,	primary,	44,	yes

	67,	third,	student,	A,	185,	61,	primary,	25,	no

	80,	female,	scientest,	A,	160,	76,	university,	2200,	no

	10,	female,	student,	AB,	169,	45,	senior high,	4,	no

	33,	female,	neet,	A,	163,	60,	doctor,	740,	yes

	98,	third,	singer,	O,	198,	61,	senior high,	95,	no

	57,	female,	scientest,	A,	198,	73,	master,	2300,	no

	15,	male,	scientest,	O,	160,	43,	senior high,	33,	no

	8,	female,	chef,	O,	160,	96,	university,	7300,	yes

	65,	female,	programmer,	AB,	195,	67,	primary,	8900,	yes

	38,	male,	teacher,	O,	141,	49,	university,	9600,	no

	17,	third,	student,	AB,	156,	63,	doctor,	460,	yes

	52,	female,	engineer,	B,	198,	82,	senior high,	3700,	yes

	90,	male,	student,	AB,	186,	75,	primary,	94,	yes

	0,	third,	programmer,	B,	163,	35,	doctor,	490,	no

	81,	third,	programmer,	B,	170,	61,	master,	9300,	yes

	39,	third,	scientest,	B,	151,	67,	university,	1600,	no

	36,	male,	scientest,	B,	167,	95,	junior high,	890,	no

	72,	female,	chef,	A,	177,	56,	primary,	90,	no

	22,	male,	chef,	AB,	165,	86,	master,	41,	no

	47,	third,	salesman,	AB,	190,	56,	university,	560,	yes

	3,	third,	engineer,	AB,	175,	65,	junior high,	210,	yes

	10,	third,	neet,	O,	197,	65,	senior high,	2000,	yes

	80,	male,	neet,	AB,	162,	88,	junior high,	86,	yes

	37,	female,	teacher,	AB,	158,	37,	doctor,	10,	yes

	56,	female,	programmer,	O,	196,	38,	junior high,	4400,	no

	4,	third,	programmer,	AB,	166,	47,	primary,	700,	yes

	9,	female,	teacher,	B,	140,	64,	junior high,	8000,	no

	55,	female,	singer,	O,	170,	81,	senior high,	710,	yes

	35,	female,	student,	B,	154,	81,	master,	3600,	no

	93,	female,	scientest,	B,	141,	74,	primary,	3400,	no

	86,	third,	neet,	AB,	169,	88,	doctor,	3600,	yes

	64,	third,	singer,	O,	199,	53,	master,	1,	yes

	3,	male,	engineer,	B,	192,	68,	senior high,	72,	no

	33,	female,	salesman,	AB,	160,	68,	doctor,	5900,	no

	63,	male,	programmer,	B,	191,	95,	doctor,	8800,	yes

	22,	female,	engineer,	O,	167,	37,	master,	350,	no

	86,	third,	student,	A,	140,	92,	doctor,	9200,	yes

	95,	third,	programmer,	AB,	183,	49,	primary,	730,	yes

	95,	male,	programmer,	AB,	198,	96,	doctor,	970,	yes

	99,	male,	chef,	B,	197,	77,	master,	210,	yes

	52,	male,	student,	B,	172,	67,	university,	2,	no

	62,	female,	neet,	O,	174,	62,	university,	8300,	no

	9,	female,	programmer,	B,	178,	42,	senior high,	5300,	no

	8,	third,	teacher,	A,	149,	56,	primary,	300,	yes

	40,	third,	salesman,	AB,	148,	46,	university,	700,	yes

	23,	female,	chef,	O,	188,	60,	doctor,	6600,	no

	64,	female,	teacher,	AB,	147,	75,	junior high,	990,	yes

	32,	female,	engineer,	O,	194,	56,	master,	4600,	yes

	54,	female,	chef,	A,	172,	73,	primary,	4400,	yes

	52,	male,	neet,	A,	189,	71,	university,	8000,	yes

	42,	female,	student,	AB,	198,	35,	master,	66,	no

	97,	third,	teacher,	O,	164,	78,	junior high,	470,	no

	2,	male,	singer,	B,	142,	48,	primary,	69,	yes

	81,	female,	scientest,	A,	189,	74,	primary,	1300,	yes

	3,	third,	neet,	A,	169,	60,	junior high,	760,	no

	17,	third,	engineer,	A,	153,	64,	master,	4,	no

	73,	female,	singer,	AB,	181,	68,	master,	820,	yes

	35,	female,	singer,	O,	172,	46,	junior high,	98,	yes

	29,	third,	teacher,	A,	143,	94,	doctor,	2200,	yes

	40,	female,	singer,	AB,	195,	92,	junior high,	90,	yes

	7,	female,	neet,	A,	161,	77,	university,	8800,	no

	84,	male,	salesman,	O,	155,	94,	junior high,	71,	yes

	53,	male,	scientest,	B,	187,	93,	doctor,	5200,	yes

	72,	male,	student,	A,	197,	50,	senior high,	5900,	no

	29,	male,	chef,	B,	159,	53,	junior high,	300,	no

	35,	third,	chef,	O,	182,	48,	primary,	95,	no

	60,	third,	scientest,	B,	155,	40,	junior high,	70,	no

	26,	third,	salesman,	AB,	199,	68,	master,	920,	yes

	30,	third,	chef,	AB,	159,	59,	master,	71,	yes

	59,	third,	neet,	B,	175,	35,	junior high,	5800,	no

	40,	male,	student,	B,	188,	93,	senior high,	61,	yes

	34,	third,	teacher,	O,	146,	42,	junior high,	480,	no

	38,	female,	scientest,	AB,	172,	66,	junior high,	400,	yes

	89,	male,	neet,	O,	189,	40,	junior high,	1700,	no

	36,	male,	neet,	O,	173,	89,	primary,	8400,	no

	12,	male,	scientest,	B,	180,	35,	master,	41,	yes

	94,	male,	student,	B,	161,	94,	university,	6200,	no

	53,	male,	teacher,	A,	156,	38,	doctor,	90,	no

	0,	male,	engineer,	O,	152,	69,	doctor,	5600,	no

	43,	third,	singer,	A,	180,	91,	university,	240,	no

	15,	male,	student,	B,	191,	37,	junior high,	300,	yes

	86,	female,	chef,	O,	161,	36,	senior high,	5600,	yes

	1,	female,	student,	B,	187,	66,	master,	94,	no

	48,	female,	neet,	B,	192,	87,	university,	270,	no

	33,	female,	engineer,	A,	173,	69,	junior high,	930,	yes

	44,	female,	singer,	O,	142,	71,	university,	140,	yes

	7,	third,	teacher,	A,	141,	53,	primary,	1600,	no

	54,	third,	teacher,	A,	145,	76,	university,	8900,	yes

	45,	third,	student,	O,	147,	69,	doctor,	6000,	no

	75,	female,	chef,	O,	161,	50,	primary,	930,	yes

	57,	female,	neet,	O,	160,	87,	master,	850,	yes

	15,	female,	programmer,	A,	175,	44,	doctor,	7,	yes

	68,	male,	engineer,	AB,	184,	54,	master,	850,	yes

	49,	female,	programmer,	B,	189,	78,	junior high,	44,	yes

	25,	male,	student,	AB,	151,	97,	senior high,	570,	no

	3,	third,	student,	B,	189,	82,	doctor,	80,	no

	1,	female,	student,	A,	143,	91,	master,	5,	no

	61,	female,	singer,	A,	194,	73,	primary,	230,	yes

	12,	male,	teacher,	A,	184,	59,	junior high,	5600,	no

	52,	male,	chef,	O,	151,	91,	primary,	91,	yes

	72,	female,	chef,	O,	176,	53,	doctor,	330,	yes

	67,	female,	singer,	B,	164,	79,	senior high,	64,	no

	11,	female,	singer,	O,	159,	61,	senior high,	1000,	no

	81,	male,	scientest,	B,	166,	75,	senior high,	74,	no

	41,	male,	student,	AB,	158,	91,	junior high,	170,	no

	40,	third,	teacher,	A,	198,	65,	master,	56,	no

	77,	female,	teacher,	O,	157,	62,	primary,	430,	yes

	4,	third,	teacher,	O,	157,	43,	university,	950,	no

	6,	female,	singer,	AB,	150,	70,	doctor,	3800,	yes

