Age,Gender,Occupations,Blood group,Weight,Education,Choosed
41,third,student,B,37,junior high,no
13,female,scientest,B,52,doctor,no
27,female,scientest,AB,40,junior high,no
69,male,teacher,AB,43,master,no
97,male,teacher,O,38,primary,no
59,female,singer,AB,66,master,no
57,male,chef,B,35,university,no
86,male,teacher,A,36,master,no
41,male,salesman,A,56,university,no
94,male,programmer,B,47,master,no
90,female,salesman,A,87,doctor,no
78,male,singer,O,65,doctor,no
11,third,singer,B,62,master,no
41,third,programmer,A,60,senior high,no
64,male,programmer,AB,73,doctor,no
85,third,singer,AB,77,university,no
70,male,singer,AB,55,primary,no
48,female,neet,AB,36,doctor,no
58,male,singer,AB,99,senior high,no
78,third,teacher,O,47,university,no
16,male,programmer,O,86,university,yes
72,female,engineer,B,56,senior high,no
25,male,chef,O,43,university,yes
52,female,engineer,B,47,university,no
53,third,programmer,AB,85,senior high,no
86,third,programmer,A,54,university,no
26,third,student,B,56,senior high,no
68,female,engineer,O,55,master,no
17,third,student,B,46,senior high,no
12,male,singer,A,52,master,no
59,female,student,A,74,junior high,no
9,male,scientest,O,58,senior high,no
20,third,salesman,AB,88,university,no
33,male,chef,B,48,junior high,yes
51,third,engineer,A,93,university,no
97,female,salesman,B,97,senior high,no
0,third,programmer,A,94,junior high,no
0,third,chef,A,94,senior high,no
95,third,scientest,A,48,university,no
24,third,scientest,O,67,senior high,yes
28,female,teacher,A,65,senior high,no
17,male,chef,A,49,junior high,no
81,male,teacher,AB,52,master,no
42,female,salesman,O,43,junior high,no
19,female,scientest,O,43,master,yes
25,male,neet,A,92,university,no
37,third,teacher,A,72,senior high,no
39,third,neet,B,71,master,no
44,male,student,B,78,doctor,no
65,female,singer,O,54,senior high,no
95,male,programmer,AB,85,primary,no
10,third,neet,O,71,master,no
13,female,salesman,A,53,doctor,no
79,female,student,O,49,primary,no
82,male,programmer,A,86,senior high,no
33,female,singer,A,80,junior high,no
65,male,teacher,B,72,primary,no
6,third,chef,O,99,primary,no
58,third,programmer,AB,79,university,no
58,male,programmer,O,79,primary,no
35,female,chef,A,51,primary,yes
54,third,salesman,B,93,senior high,no
25,third,programmer,AB,62,university,no
30,male,engineer,AB,93,master,yes
58,third,teacher,A,85,senior high,no
1,third,neet,B,95,junior high,no
25,female,singer,A,97,doctor,no
78,female,engineer,O,36,senior high,no
40,female,chef,AB,88,junior high,yes
84,third,salesman,AB,36,master,no
51,female,scientest,A,99,senior high,no
95,female,student,O,80,primary,no
91,male,student,A,40,university,no
70,female,chef,B,44,primary,no
42,male,student,A,59,junior high,no
44,female,salesman,A,63,master,no
15,female,salesman,O,44,primary,yes
35,male,student,O,74,master,yes
49,third,student,AB,83,university,no
29,male,salesman,O,77,senior high,yes
97,female,singer,A,47,junior high,no
22,third,student,B,61,primary,no
86,female,chef,A,64,senior high,no
67,male,chef,A,46,doctor,no
59,female,student,O,98,doctor,no
6,female,engineer,B,75,junior high,no
52,third,neet,B,93,primary,no
83,third,neet,B,60,doctor,no
60,female,singer,AB,76,university,no
96,third,salesman,B,60,doctor,no
67,male,engineer,AB,40,master,no
0,male,scientest,A,98,senior high,no
10,female,chef,B,84,primary,no
31,female,engineer,AB,84,primary,no
8,male,chef,AB,82,master,no
76,third,neet,O,93,senior high,no
96,third,engineer,A,38,doctor,no
34,male,teacher,O,81,master,yes
64,third,salesman,A,46,senior high,no
61,female,neet,B,35,master,no
4,third,salesman,A,79,primary,no
4,male,engineer,O,51,doctor,no
28,female,engineer,A,67,senior high,no
57,third,scientest,B,79,junior high,no
11,male,chef,O,61,junior high,no
73,third,student,B,92,master,no
81,male,salesman,AB,83,primary,no
20,male,student,O,36,primary,yes
50,female,engineer,B,75,junior high,no
69,female,scientest,B,42,senior high,no
1,female,neet,A,63,doctor,no
35,third,salesman,B,51,doctor,no
97,female,teacher,AB,44,university,no
74,male,singer,O,36,senior high,no
73,third,scientest,AB,55,university,no
98,male,student,AB,92,junior high,no
32,third,programmer,A,87,university,no
30,male,salesman,AB,98,senior high,no
84,male,teacher,O,42,senior high,no
56,male,teacher,O,93,primary,no
71,third,chef,B,60,doctor,no
79,female,singer,AB,64,senior high,no
76,male,student,B,62,junior high,no
0,male,teacher,O,56,junior high,no
70,third,singer,O,62,senior high,no
91,female,chef,A,57,senior high,no
73,female,singer,A,81,primary,no
11,female,singer,A,52,doctor,no
4,female,neet,AB,96,primary,no
69,male,engineer,O,76,senior high,no
82,female,neet,A,82,university,no
23,third,scientest,AB,84,junior high,no
23,male,engineer,AB,66,master,yes
56,female,neet,A,86,university,no
99,male,student,O,65,doctor,no
45,third,teacher,O,37,doctor,no
44,female,engineer,B,61,doctor,yes
92,male,chef,AB,35,senior high,no
58,female,chef,B,51,primary,no
69,male,programmer,AB,81,primary,no
97,female,scientest,AB,35,senior high,no
17,female,programmer,A,38,senior high,yes
61,third,teacher,O,42,senior high,no
88,female,student,AB,78,senior high,no
21,female,neet,B,55,senior high,no
1,third,student,A,50,senior high,no
21,third,student,B,89,senior high,no
84,male,salesman,AB,92,junior high,no
95,third,scientest,O,73,master,no
76,female,engineer,AB,83,primary,no
33,male,scientest,O,51,primary,yes
87,male,chef,AB,43,master,no
80,male,neet,AB,40,university,no
20,male,programmer,AB,54,master,no
3,male,student,A,69,primary,no
80,male,scientest,O,62,junior high,no
38,third,programmer,B,37,master,yes
49,third,singer,AB,82,junior high,no
87,third,neet,B,56,doctor,no
67,male,programmer,A,84,senior high,no
25,male,singer,AB,99,doctor,no
23,female,student,AB,57,doctor,no
39,female,chef,O,86,master,yes
38,third,chef,O,87,master,yes
70,female,teacher,AB,91,master,no
12,male,engineer,AB,50,junior high,yes
99,male,programmer,A,37,junior high,no
99,female,singer,AB,81,senior high,no
91,male,student,A,39,doctor,no
74,female,student,A,62,junior high,no
62,male,teacher,B,49,primary,no
9,male,singer,O,78,senior high,no
49,male,scientest,AB,48,university,no
16,female,engineer,AB,74,junior high,no
98,third,teacher,A,62,junior high,no
49,male,scientest,B,45,university,no
11,female,scientest,B,41,senior high,yes
21,female,chef,A,92,master,yes
77,female,salesman,AB,99,master,no
35,female,student,B,81,senior high,no
0,third,teacher,O,82,doctor,no
22,male,salesman,B,97,junior high,no
38,third,teacher,O,73,doctor,yes
85,male,student,A,90,primary,no
52,male,programmer,A,66,doctor,no
10,male,salesman,A,82,primary,no
15,female,chef,O,68,university,no
37,female,student,AB,75,junior high,no
22,third,student,B,51,university,no
62,male,singer,O,79,doctor,no
61,third,engineer,O,57,university,no
80,male,chef,O,76,doctor,no
38,male,programmer,O,91,senior high,yes
20,third,neet,A,96,primary,no
95,female,neet,AB,88,senior high,no
2,female,programmer,A,93,senior high,no
75,male,teacher,B,76,university,no
27,third,neet,AB,38,senior high,no
15,male,programmer,AB,62,master,no
91,third,neet,B,38,master,no
7,male,singer,AB,73,primary,no
90,female,teacher,B,58,university,no
2,male,neet,B,90,primary,no
21,male,scientest,AB,46,junior high,no
79,female,salesman,O,56,junior high,no
27,female,singer,O,61,university,yes
51,third,student,O,51,senior high,no
21,male,student,O,74,senior high,yes
0,female,student,O,37,primary,no
31,male,singer,O,86,junior high,yes
64,third,neet,AB,44,primary,no
85,female,salesman,A,38,doctor,no
72,male,salesman,O,86,master,no
21,female,singer,B,63,master,no
20,female,engineer,A,93,senior high,no
60,third,engineer,O,77,junior high,no
72,male,student,A,68,master,no
27,third,engineer,O,92,master,yes
33,third,neet,O,50,doctor,yes
51,female,scientest,A,47,senior high,no
96,third,engineer,AB,55,doctor,no
8,male,salesman,O,49,doctor,yes
17,third,chef,O,85,senior high,yes
65,third,engineer,B,78,master,no
49,female,singer,B,94,primary,no
48,female,teacher,A,84,primary,no
20,female,scientest,O,56,primary,yes
10,female,student,B,44,primary,yes
17,female,teacher,AB,51,senior high,no
61,male,programmer,B,56,university,no
68,female,engineer,B,69,junior high,no
8,male,neet,AB,71,senior high,no
79,female,engineer,O,66,junior high,no
8,male,student,A,78,doctor,no
18,male,student,AB,86,primary,no
61,third,student,O,53,senior high,no
78,male,teacher,B,37,senior high,no
39,male,programmer,AB,78,primary,no
96,female,student,AB,93,junior high,no
40,male,neet,A,45,doctor,no
82,male,chef,A,82,university,no
66,third,programmer,O,94,master,no
42,female,salesman,A,41,junior high,no
54,male,student,A,93,university,no
8,male,engineer,O,50,master,yes
36,male,programmer,B,38,master,yes
14,female,engineer,AB,83,senior high,no
17,third,singer,O,91,primary,yes
97,male,programmer,A,49,master,no
7,female,scientest,B,83,master,no
23,male,programmer,AB,82,master,yes
80,male,engineer,AB,98,master,no
40,third,neet,AB,39,senior high,no
34,female,programmer,O,47,senior high,yes
43,female,scientest,A,59,primary,no
67,third,programmer,O,72,doctor,no
13,third,salesman,AB,45,primary,no
2,third,singer,AB,46,master,no
13,male,student,AB,88,master,no
1,male,chef,AB,71,master,no
88,male,teacher,O,92,primary,no
30,male,teacher,B,50,university,no
46,third,chef,B,47,master,yes
93,third,teacher,B,51,university,no
23,male,singer,B,87,senior high,no
29,female,salesman,O,87,master,yes
11,third,singer,AB,95,senior high,no
73,third,chef,O,67,senior high,no
54,male,neet,O,42,doctor,no
46,male,teacher,A,87,doctor,no
62,male,singer,O,65,doctor,no
19,female,salesman,AB,91,master,no
33,male,neet,AB,54,doctor,no
65,male,salesman,A,71,master,no
82,female,singer,AB,82,primary,no
66,third,programmer,AB,59,university,no
68,male,scientest,O,81,university,no
67,female,engineer,B,74,university,no
13,third,student,A,50,university,no
81,female,neet,B,84,doctor,no
98,male,engineer,A,93,master,no
35,female,programmer,O,87,university,yes
21,female,chef,A,50,master,yes
93,third,singer,A,52,senior high,no
34,male,salesman,A,82,master,no
20,female,singer,B,71,junior high,no
61,male,singer,O,39,senior high,no
63,male,neet,A,99,university,no
1,male,scientest,A,80,junior high,no
90,female,neet,AB,77,university,no
29,male,neet,B,74,senior high,no
2,third,singer,AB,78,university,no
19,male,salesman,B,55,senior high,no
46,male,salesman,B,69,junior high,no
83,third,singer,O,81,university,no
94,third,scientest,B,45,primary,no
20,male,scientest,AB,57,doctor,no
26,third,chef,A,70,doctor,yes
43,male,neet,O,42,junior high,no
70,female,chef,AB,51,senior high,no
47,male,salesman,AB,78,doctor,no
12,third,chef,B,75,junior high,no
46,male,scientest,AB,46,doctor,yes
48,third,singer,B,73,junior high,no
85,female,engineer,AB,56,primary,no
3,male,singer,AB,48,doctor,no
54,third,neet,O,98,senior high,no
99,male,salesman,B,65,primary,no
3,male,chef,AB,36,doctor,no
90,female,singer,B,81,doctor,no
48,female,engineer,O,98,primary,no
64,male,singer,AB,49,university,no
27,third,salesman,B,65,master,no
29,male,engineer,O,47,master,yes
46,male,scientest,B,79,senior high,no
96,male,teacher,AB,74,university,no
62,male,engineer,A,81,senior high,no
81,female,engineer,A,70,junior high,no
64,female,singer,A,89,university,no
39,third,singer,B,91,senior high,no
37,third,programmer,A,95,university,no
37,female,neet,A,88,senior high,no
65,third,student,O,96,senior high,no
17,third,salesman,AB,84,primary,no
95,female,teacher,A,64,junior high,no
96,female,chef,AB,65,doctor,no
35,third,scientest,O,99,master,yes
14,female,chef,A,73,university,no
69,female,salesman,A,51,senior high,no
75,third,teacher,A,96,junior high,no
78,female,singer,A,78,doctor,no
44,female,programmer,A,41,primary,no
69,male,scientest,B,43,master,no
70,female,singer,A,81,senior high,no
73,female,singer,B,70,junior high,no
8,third,teacher,B,40,university,no
41,male,programmer,O,74,primary,no
93,female,neet,A,91,master,no
0,female,salesman,AB,74,doctor,no
96,third,programmer,B,73,junior high,no
61,male,teacher,A,77,primary,no
2,female,teacher,A,98,senior high,no
9,third,programmer,B,62,doctor,no
94,male,salesman,AB,99,master,no
32,male,neet,B,54,primary,no
88,third,salesman,AB,97,doctor,no
90,third,neet,AB,72,senior high,no
92,female,programmer,AB,79,university,no
49,third,teacher,A,96,university,no
30,male,scientest,A,44,doctor,yes
88,third,chef,AB,66,junior high,no
13,male,singer,B,61,master,no
17,male,neet,A,62,junior high,no
40,third,salesman,AB,35,doctor,no
65,third,salesman,A,56,primary,no
42,third,teacher,AB,45,doctor,no
11,female,singer,AB,54,doctor,no
59,female,salesman,O,38,junior high,no
1,female,neet,B,58,doctor,no
54,female,scientest,O,86,doctor,no
26,third,student,A,79,senior high,no
28,female,engineer,AB,70,university,no
97,female,engineer,AB,91,master,no
28,male,student,AB,66,junior high,no
72,male,neet,A,75,junior high,no
25,female,programmer,O,50,master,yes
78,male,engineer,O,44,senior high,no
74,third,teacher,B,61,university,no
33,third,engineer,AB,48,primary,no
96,female,engineer,O,38,doctor,no
91,female,teacher,AB,91,junior high,no
40,male,student,AB,67,senior high,no
15,third,chef,B,42,doctor,no
86,female,teacher,AB,72,university,no
82,third,singer,O,97,master,no
74,female,engineer,A,46,university,no
25,third,salesman,B,65,doctor,no
34,male,student,O,37,doctor,yes
2,male,scientest,O,62,doctor,no
90,female,neet,AB,66,senior high,no
60,third,salesman,B,64,doctor,no
1,male,salesman,A,69,university,no
34,male,neet,O,38,doctor,yes
97,female,scientest,A,79,primary,no
64,third,programmer,AB,96,university,no
43,female,chef,O,83,primary,yes
43,third,scientest,AB,68,university,no
33,female,teacher,AB,84,doctor,no
90,third,teacher,O,57,doctor,no
72,female,teacher,AB,89,university,no
75,female,student,A,44,university,no
93,female,engineer,A,38,doctor,no
42,third,salesman,AB,47,university,no
25,third,neet,O,85,university,yes
72,third,engineer,AB,85,senior high,no
14,third,neet,B,79,university,no
99,female,programmer,B,66,senior high,no
32,third,programmer,A,94,primary,no
96,female,singer,B,51,junior high,no
85,female,neet,A,74,doctor,no
63,female,chef,A,45,university,no
23,male,student,O,88,doctor,yes
1,third,singer,B,53,university,no
48,third,programmer,A,92,junior high,no
75,female,singer,O,62,junior high,no
88,female,engineer,A,53,senior high,no
34,male,singer,O,58,master,yes
25,third,teacher,B,77,primary,no
6,female,singer,AB,97,senior high,no
91,third,scientest,O,53,master,no
47,third,student,A,79,junior high,no
83,female,salesman,A,51,master,no
6,female,scientest,O,85,senior high,no
1,male,scientest,AB,56,senior high,no
40,female,engineer,O,61,university,yes
82,third,engineer,AB,57,junior high,no
57,third,singer,O,86,junior high,no
44,male,chef,AB,37,doctor,yes
44,female,engineer,A,88,master,yes
49,male,engineer,B,67,senior high,no
60,female,teacher,AB,60,senior high,no
90,female,programmer,O,91,senior high,no
44,third,salesman,O,70,master,no
59,female,student,A,73,doctor,no
87,male,neet,A,71,primary,no
97,third,salesman,A,64,master,no
22,third,scientest,A,95,senior high,no
34,male,scientest,B,89,senior high,no
58,third,student,AB,77,university,no
77,male,student,AB,66,junior high,no
0,male,teacher,AB,68,university,no
9,male,singer,AB,37,doctor,yes
81,third,scientest,O,84,university,no
30,male,engineer,AB,65,doctor,yes
8,third,chef,A,46,doctor,no
2,female,student,AB,82,master,no
72,male,singer,A,58,university,no
86,male,chef,B,91,junior high,no
36,male,neet,A,44,master,no
62,female,teacher,B,58,doctor,no
14,male,chef,B,38,junior high,no
8,third,student,A,63,junior high,no
5,third,programmer,O,41,junior high,no
40,male,programmer,O,62,university,yes
38,third,chef,O,66,university,yes
42,female,student,A,89,master,no
90,third,scientest,B,77,doctor,no
76,third,programmer,AB,40,master,no
21,female,scientest,O,53,university,yes
35,male,engineer,O,37,primary,yes
5,female,salesman,AB,69,university,no
82,male,programmer,A,77,primary,no
17,female,programmer,AB,45,junior high,yes
71,third,singer,B,67,senior high,no
96,female,teacher,A,37,senior high,no
31,male,teacher,B,62,university,no
93,third,singer,A,93,primary,no
8,third,programmer,AB,39,junior high,no
91,third,chef,O,90,master,no
64,female,neet,A,85,junior high,no
85,male,singer,A,45,university,no
99,third,salesman,A,42,master,no
88,third,neet,A,84,junior high,no
11,third,engineer,O,93,junior high,no
94,male,neet,AB,73,master,no
2,third,teacher,A,37,doctor,no
54,male,teacher,B,88,master,no
52,third,programmer,AB,37,university,no
96,male,chef,AB,82,doctor,no
30,male,teacher,AB,96,master,no
32,female,chef,AB,52,primary,yes
