Age,Gender,Occupations,Blood group,Height,Weight,Education,Choosed
98,female,student,AB,172,98,master,no
86,female,teacher,A,145,81,primary,no
80,female,scientest,AB,186,35,master,no
55,female,student,A,186,35,junior high,no
63,third,teacher,O,147,93,junior high,no
81,third,singer,B,163,94,senior high,no
23,female,programmer,AB,170,55,master,yes
94,male,programmer,B,176,43,doctor,no
24,male,chef,A,143,97,university,yes
42,third,scientest,B,148,97,senior high,no
22,third,scientest,A,147,42,senior high,no
2,female,student,AB,172,58,university,no
41,third,teacher,AB,148,79,doctor,no
2,male,scientest,AB,161,61,doctor,no
15,female,scientest,AB,181,91,university,no
44,female,neet,O,159,81,junior high,no
88,third,programmer,B,173,65,master,no
78,male,teacher,A,186,36,master,no
61,male,singer,O,184,68,junior high,no
41,male,chef,AB,182,81,university,yes
99,third,teacher,B,149,65,junior high,no
3,female,singer,AB,185,94,master,no
67,male,neet,O,144,54,doctor,no
18,female,teacher,AB,159,98,doctor,no
43,third,chef,B,155,38,senior high,yes
53,male,engineer,AB,163,93,doctor,no
11,male,student,AB,148,81,doctor,no
21,female,programmer,AB,167,85,primary,no
17,third,teacher,O,159,45,senior high,yes
60,male,neet,O,168,79,primary,no
34,male,chef,A,182,76,university,yes
2,third,neet,AB,160,85,junior high,no
20,female,programmer,A,174,70,primary,no
63,male,neet,O,153,76,university,no
93,female,singer,A,178,47,university,no
51,third,chef,A,180,38,doctor,no
67,female,student,B,148,77,university,no
91,male,teacher,AB,148,73,primary,no
78,third,neet,AB,190,38,master,no
16,male,chef,AB,178,88,junior high,no
46,third,neet,B,149,77,master,no
37,third,teacher,O,157,90,junior high,yes
41,male,teacher,O,193,47,doctor,no
11,female,teacher,AB,169,70,primary,no
72,male,engineer,B,185,52,junior high,no
62,male,engineer,AB,186,76,primary,no
90,female,student,O,175,84,primary,no
69,third,teacher,A,178,58,doctor,no
66,third,programmer,B,140,60,primary,no
91,third,engineer,O,181,91,master,no
67,third,engineer,B,144,41,primary,no
11,third,chef,O,191,68,master,no
90,third,singer,B,144,61,junior high,no
71,male,singer,A,195,96,doctor,no
21,male,scientest,AB,173,77,master,no
10,male,scientest,B,157,60,senior high,no
9,female,chef,B,197,54,junior high,no
46,third,student,A,173,99,doctor,no
56,female,engineer,A,143,66,senior high,no
42,female,neet,AB,145,91,primary,no
41,female,neet,AB,165,67,senior high,no
91,female,singer,B,155,74,junior high,no
86,female,singer,B,193,47,senior high,no
21,male,chef,O,159,38,university,yes
42,male,engineer,B,190,62,master,yes
2,female,scientest,AB,158,68,doctor,no
27,female,scientest,B,168,69,doctor,yes
28,male,chef,O,162,70,junior high,yes
50,female,engineer,A,158,47,senior high,no
16,female,programmer,A,193,98,junior high,no
52,third,engineer,B,160,75,university,no
24,third,student,AB,146,81,university,no
44,male,engineer,B,166,59,master,yes
22,male,teacher,AB,162,85,primary,no
29,male,scientest,B,145,85,junior high,no
49,male,scientest,O,158,47,university,no
38,male,teacher,B,181,92,doctor,no
11,male,teacher,B,197,87,primary,no
55,third,teacher,O,173,90,junior high,no
79,female,singer,A,164,41,university,no
27,male,singer,A,171,67,senior high,no
33,male,scientest,AB,152,55,junior high,no
43,third,chef,O,199,36,doctor,yes
95,male,student,B,162,63,junior high,no
46,male,scientest,AB,147,79,junior high,no
84,third,student,B,166,62,senior high,no
20,third,scientest,AB,143,90,university,no
17,third,teacher,B,162,88,primary,no
42,third,programmer,A,162,95,master,yes
37,third,scientest,AB,142,96,senior high,no
46,male,singer,B,165,55,primary,no
39,male,salesman,B,147,84,university,no
21,third,salesman,B,169,91,junior high,no
12,female,salesman,AB,152,77,senior high,no
33,third,student,B,169,77,master,no
23,female,neet,AB,188,95,junior high,no
8,third,salesman,A,177,70,university,no
1,female,scientest,A,191,68,junior high,no
39,male,chef,O,173,90,university,yes
93,male,programmer,B,197,63,primary,no
61,third,neet,AB,186,68,university,no
38,male,scientest,AB,189,42,junior high,no
87,third,salesman,B,174,85,senior high,no
73,male,salesman,A,141,43,doctor,no
7,female,engineer,A,198,50,primary,no
26,female,programmer,AB,146,65,senior high,no
23,male,programmer,O,176,45,primary,yes
9,female,salesman,O,151,93,master,no
16,male,neet,A,164,79,doctor,no
32,female,neet,A,143,59,primary,no
97,male,student,AB,143,44,senior high,no
18,male,programmer,B,199,35,doctor,no
31,third,chef,O,193,77,primary,yes
55,female,teacher,A,142,91,university,no
40,male,salesman,AB,162,56,university,no
49,third,singer,A,143,79,junior high,no
57,male,engineer,AB,146,35,doctor,no
26,male,student,O,155,92,doctor,yes
68,male,engineer,B,149,50,junior high,no
76,third,chef,B,191,88,primary,no
65,male,scientest,B,159,55,university,no
87,third,neet,AB,160,44,primary,no
43,third,salesman,O,153,47,junior high,no
44,third,teacher,O,176,87,university,no
41,male,student,O,158,80,junior high,no
52,male,scientest,AB,165,40,master,no
92,male,engineer,A,142,40,doctor,no
11,male,teacher,A,176,38,university,yes
40,third,salesman,O,158,39,primary,yes
34,third,engineer,AB,168,99,university,no
50,female,singer,O,188,49,master,no
89,third,teacher,AB,154,79,senior high,no
27,female,student,B,186,79,senior high,no
58,male,salesman,AB,189,48,primary,no
51,third,programmer,AB,186,90,doctor,no
26,third,chef,AB,156,46,junior high,yes
68,third,neet,O,175,96,junior high,no
6,male,engineer,B,182,90,master,no
89,third,programmer,O,188,71,senior high,no
63,third,engineer,AB,162,62,doctor,no
33,female,singer,AB,187,57,university,no
35,female,singer,O,171,35,doctor,yes
72,male,singer,A,144,95,master,no
19,male,salesman,B,192,72,doctor,no
84,third,chef,B,166,97,master,no
73,female,scientest,B,143,58,doctor,no
35,female,teacher,O,174,36,primary,yes
5,female,programmer,AB,167,91,junior high,no
39,third,programmer,O,190,67,senior high,yes
14,male,singer,B,180,35,primary,no
91,female,teacher,AB,174,96,senior high,no
1,female,scientest,AB,168,79,primary,no
45,male,engineer,A,142,91,doctor,yes
44,male,singer,O,182,78,doctor,no
92,male,scientest,A,198,76,junior high,no
17,female,programmer,A,196,75,senior high,no
16,male,salesman,B,190,82,university,no
94,third,chef,O,154,40,university,no
96,third,teacher,A,180,59,master,no
56,female,singer,O,175,52,master,no
72,third,chef,B,172,84,junior high,no
11,female,singer,A,140,76,senior high,no
93,female,programmer,B,163,48,junior high,no
84,third,engineer,AB,190,42,primary,no
93,female,singer,O,147,99,master,no
83,female,teacher,O,168,46,senior high,no
7,third,programmer,AB,165,51,university,no
76,male,programmer,B,173,89,master,no
45,male,neet,B,180,84,senior high,no
32,female,teacher,AB,142,95,university,no
14,female,teacher,B,152,69,doctor,no
33,third,teacher,O,199,81,university,yes
55,third,neet,AB,182,57,senior high,no
86,female,chef,B,160,77,junior high,no
49,female,singer,A,160,50,doctor,no
8,female,teacher,B,164,37,university,no
13,male,chef,B,182,79,junior high,no
73,female,neet,B,147,42,junior high,no
70,third,chef,O,177,38,primary,no
95,third,teacher,O,158,82,primary,no
75,male,singer,A,172,52,senior high,no
0,third,singer,B,163,65,doctor,no
83,third,neet,A,162,50,junior high,no
85,female,chef,O,187,86,junior high,no
90,third,programmer,B,187,36,junior high,no
48,third,neet,AB,161,77,master,no
27,male,scientest,B,199,90,university,no
67,third,programmer,B,198,51,doctor,no
99,female,singer,O,182,76,master,no
32,female,neet,AB,177,89,master,no
77,male,scientest,O,146,66,doctor,no
66,third,programmer,B,178,42,primary,no
29,male,student,A,143,60,doctor,no
49,male,scientest,AB,164,60,university,no
11,third,student,AB,197,63,university,no
50,male,programmer,A,145,72,master,yes
28,male,programmer,B,153,84,primary,no
21,female,salesman,AB,148,35,master,no
71,male,salesman,AB,199,58,junior high,no
80,female,programmer,AB,172,50,primary,no
38,female,scientest,A,186,98,master,yes
73,female,chef,B,141,92,senior high,no
56,male,salesman,A,166,67,junior high,no
86,female,chef,O,187,50,primary,no
7,male,neet,AB,190,87,primary,no
70,third,neet,AB,162,99,master,no
59,female,programmer,O,191,53,university,no
29,female,chef,O,158,90,university,yes
38,male,singer,B,185,67,primary,no
64,female,teacher,O,177,61,doctor,no
64,female,chef,AB,149,36,primary,no
39,female,programmer,A,158,77,junior high,no
27,female,teacher,B,160,84,senior high,no
6,female,programmer,AB,155,96,senior high,no
49,male,chef,AB,168,42,university,yes
73,male,chef,O,195,59,primary,no
69,male,teacher,B,162,49,university,no
66,third,teacher,B,195,59,doctor,no
64,male,teacher,AB,167,38,doctor,no
65,male,chef,AB,148,99,doctor,no
56,third,singer,O,161,53,doctor,no
80,female,salesman,A,149,67,university,no
25,male,neet,O,140,72,doctor,yes
66,male,teacher,A,175,70,master,no
54,male,chef,A,177,47,master,no
55,third,teacher,O,143,79,university,no
7,male,teacher,B,177,88,senior high,no
25,female,neet,A,183,96,university,no
16,male,singer,O,195,68,doctor,yes
8,female,student,O,176,87,senior high,no
97,female,student,B,188,48,senior high,no
93,male,scientest,A,186,61,master,no
96,third,salesman,O,197,75,master,no
88,female,neet,AB,151,42,junior high,no
1,female,student,B,187,43,primary,no
35,female,singer,B,140,47,university,no
78,female,singer,AB,141,52,primary,no
30,female,neet,B,175,37,university,no
24,third,teacher,B,149,60,primary,no
59,third,student,B,153,90,primary,no
61,female,teacher,B,163,76,doctor,no
83,male,salesman,A,176,86,junior high,no
62,female,scientest,B,193,65,senior high,no
74,female,programmer,AB,172,72,senior high,no
47,female,chef,B,145,90,junior high,yes
42,third,chef,O,184,57,senior high,yes
72,female,singer,AB,155,57,doctor,no
38,female,engineer,O,166,50,master,yes
53,third,chef,A,146,99,master,no
64,female,teacher,AB,169,62,junior high,no
13,male,singer,B,157,51,primary,no
22,male,chef,B,160,71,master,yes
8,third,teacher,O,154,40,doctor,no
51,third,neet,B,175,40,senior high,no
90,third,student,O,195,52,junior high,no
60,third,student,A,180,76,doctor,no
3,female,teacher,B,192,95,master,no
85,female,chef,B,162,52,doctor,no
72,female,singer,A,151,65,junior high,no
67,third,salesman,B,171,93,master,no
24,male,chef,A,186,51,master,yes
91,male,engineer,AB,155,70,senior high,no
95,male,teacher,AB,181,73,junior high,no
54,male,programmer,O,180,78,university,no
60,third,student,B,190,87,senior high,no
15,male,salesman,O,172,52,senior high,no
15,third,programmer,AB,147,39,master,no
50,third,neet,AB,157,57,master,no
7,male,neet,A,170,48,university,no
61,female,chef,O,171,96,university,no
19,male,chef,AB,148,91,junior high,yes
50,third,teacher,B,159,40,master,no
27,third,student,O,146,39,doctor,yes
79,third,teacher,AB,148,58,senior high,no
39,third,salesman,A,162,83,junior high,no
9,female,salesman,AB,175,43,doctor,no
94,male,programmer,AB,163,77,junior high,no
25,male,singer,A,172,46,junior high,no
24,female,scientest,O,150,78,master,yes
23,third,singer,O,142,82,senior high,yes
96,female,singer,O,151,62,doctor,no
74,male,student,A,160,87,master,no
58,male,student,B,167,35,doctor,no
68,male,chef,O,154,90,master,no
94,third,salesman,A,171,60,doctor,no
41,third,student,B,180,37,junior high,no
13,female,scientest,B,172,52,doctor,no
27,female,scientest,AB,179,40,junior high,no
69,male,teacher,AB,198,43,master,no
97,male,teacher,O,145,38,primary,no
59,female,singer,AB,173,66,master,no
57,male,chef,B,183,35,university,no
86,male,teacher,A,161,36,master,no
41,male,salesman,A,184,56,university,no
94,male,programmer,B,148,47,master,no
90,female,salesman,A,162,87,doctor,no
78,male,singer,O,169,65,doctor,no
11,third,singer,B,177,62,master,no
41,third,programmer,A,199,60,senior high,no
64,male,programmer,AB,179,73,doctor,no
85,third,singer,AB,195,77,university,no
70,male,singer,AB,160,55,primary,no
48,female,neet,AB,183,36,doctor,no
58,male,singer,AB,181,99,senior high,no
78,third,teacher,O,150,47,university,no
16,male,programmer,O,140,86,university,yes
72,female,engineer,B,147,56,senior high,no
25,male,chef,O,193,43,university,yes
52,female,engineer,B,171,47,university,no
53,third,programmer,AB,186,85,senior high,no
86,third,programmer,A,144,54,university,no
26,third,student,B,179,56,senior high,no
68,female,engineer,O,167,55,master,no
17,third,student,B,157,46,senior high,no
12,male,singer,A,151,52,master,no
59,female,student,A,149,74,junior high,no
9,male,scientest,O,157,58,senior high,no
20,third,salesman,AB,142,88,university,no
33,male,chef,B,160,48,junior high,yes
51,third,engineer,A,166,93,university,no
97,female,salesman,B,196,97,senior high,no
0,third,programmer,A,186,94,junior high,no
0,third,chef,A,168,94,senior high,no
95,third,scientest,A,194,48,university,no
24,third,scientest,O,187,67,senior high,yes
28,female,teacher,A,189,65,senior high,no
17,male,chef,A,143,49,junior high,no
81,male,teacher,AB,152,52,master,no
42,female,salesman,O,156,43,junior high,no
19,female,scientest,O,144,43,master,yes
25,male,neet,A,149,92,university,no
37,third,teacher,A,171,72,senior high,no
39,third,neet,B,161,71,master,no
44,male,student,B,145,78,doctor,no
65,female,singer,O,191,54,senior high,no
95,male,programmer,AB,178,85,primary,no
10,third,neet,O,196,71,master,no
13,female,salesman,A,173,53,doctor,no
79,female,student,O,179,49,primary,no
82,male,programmer,A,194,86,senior high,no
33,female,singer,A,141,80,junior high,no
65,male,teacher,B,195,72,primary,no
6,third,chef,O,188,99,primary,no
58,third,programmer,AB,188,79,university,no
58,male,programmer,O,184,79,primary,no
35,female,chef,A,194,51,primary,yes
54,third,salesman,B,177,93,senior high,no
25,third,programmer,AB,147,62,university,no
30,male,engineer,AB,163,93,master,yes
58,third,teacher,A,151,85,senior high,no
1,third,neet,B,192,95,junior high,no
25,female,singer,A,170,97,doctor,no
78,female,engineer,O,165,36,senior high,no
40,female,chef,AB,172,88,junior high,yes
84,third,salesman,AB,176,36,master,no
51,female,scientest,A,197,99,senior high,no
95,female,student,O,146,80,primary,no
91,male,student,A,197,40,university,no
70,female,chef,B,167,44,primary,no
42,male,student,A,175,59,junior high,no
44,female,salesman,A,149,63,master,no
15,female,salesman,O,148,44,primary,yes
35,male,student,O,197,74,master,yes
49,third,student,AB,171,83,university,no
29,male,salesman,O,144,77,senior high,yes
97,female,singer,A,173,47,junior high,no
22,third,student,B,169,61,primary,no
86,female,chef,A,175,64,senior high,no
67,male,chef,A,196,46,doctor,no
59,female,student,O,150,98,doctor,no
6,female,engineer,B,182,75,junior high,no
52,third,neet,B,155,93,primary,no
83,third,neet,B,172,60,doctor,no
60,female,singer,AB,199,76,university,no
96,third,salesman,B,153,60,doctor,no
67,male,engineer,AB,158,40,master,no
0,male,scientest,A,187,98,senior high,no
10,female,chef,B,189,84,primary,no
31,female,engineer,AB,174,84,primary,no
8,male,chef,AB,176,82,master,no
76,third,neet,O,193,93,senior high,no
96,third,engineer,A,191,38,doctor,no
34,male,teacher,O,177,81,master,yes
64,third,salesman,A,155,46,senior high,no
61,female,neet,B,192,35,master,no
4,third,salesman,A,164,79,primary,no
4,male,engineer,O,156,51,doctor,no
28,female,engineer,A,149,67,senior high,no
57,third,scientest,B,163,79,junior high,no
11,male,chef,O,167,61,junior high,no
73,third,student,B,171,92,master,no
81,male,salesman,AB,158,83,primary,no
20,male,student,O,170,36,primary,yes
50,female,engineer,B,156,75,junior high,no
69,female,scientest,B,145,42,senior high,no
1,female,neet,A,173,63,doctor,no
35,third,salesman,B,157,51,doctor,no
97,female,teacher,AB,186,44,university,no
74,male,singer,O,140,36,senior high,no
73,third,scientest,AB,164,55,university,no
98,male,student,AB,163,92,junior high,no
32,third,programmer,A,192,87,university,no
30,male,salesman,AB,170,98,senior high,no
84,male,teacher,O,145,42,senior high,no
56,male,teacher,O,144,93,primary,no
71,third,chef,B,149,60,doctor,no
79,female,singer,AB,161,64,senior high,no
76,male,student,B,168,62,junior high,no
0,male,teacher,O,187,56,junior high,no
70,third,singer,O,141,62,senior high,no
91,female,chef,A,150,57,senior high,no
73,female,singer,A,170,81,primary,no
11,female,singer,A,187,52,doctor,no
4,female,neet,AB,194,96,primary,no
69,male,engineer,O,141,76,senior high,no
82,female,neet,A,172,82,university,no
23,third,scientest,AB,186,84,junior high,no
23,male,engineer,AB,152,66,master,yes
56,female,neet,A,145,86,university,no
99,male,student,O,160,65,doctor,no
45,third,teacher,O,154,37,doctor,no
44,female,engineer,B,158,61,doctor,yes
92,male,chef,AB,197,35,senior high,no
58,female,chef,B,160,51,primary,no
69,male,programmer,AB,183,81,primary,no
97,female,scientest,AB,155,35,senior high,no
17,female,programmer,A,152,38,senior high,yes
61,third,teacher,O,150,42,senior high,no
88,female,student,AB,175,78,senior high,no
21,female,neet,B,194,55,senior high,no
1,third,student,A,198,50,senior high,no
21,third,student,B,183,89,senior high,no
84,male,salesman,AB,177,92,junior high,no
95,third,scientest,O,147,73,master,no
76,female,engineer,AB,164,83,primary,no
33,male,scientest,O,157,51,primary,yes
87,male,chef,AB,174,43,master,no
80,male,neet,AB,148,40,university,no
20,male,programmer,AB,186,54,master,no
3,male,student,A,162,69,primary,no
80,male,scientest,O,189,62,junior high,no
38,third,programmer,B,199,37,master,yes
49,third,singer,AB,184,82,junior high,no
87,third,neet,B,166,56,doctor,no
67,male,programmer,A,170,84,senior high,no
25,male,singer,AB,153,99,doctor,no
23,female,student,AB,166,57,doctor,no
39,female,chef,O,190,86,master,yes
38,third,chef,O,150,87,master,yes
70,female,teacher,AB,198,91,master,no
12,male,engineer,AB,140,50,junior high,yes
99,male,programmer,A,166,37,junior high,no
99,female,singer,AB,143,81,senior high,no
91,male,student,A,197,39,doctor,no
74,female,student,A,161,62,junior high,no
62,male,teacher,B,156,49,primary,no
9,male,singer,O,143,78,senior high,no
49,male,scientest,AB,144,48,university,no
16,female,engineer,AB,194,74,junior high,no
98,third,teacher,A,154,62,junior high,no
49,male,scientest,B,192,45,university,no
11,female,scientest,B,183,41,senior high,yes
21,female,chef,A,166,92,master,yes
77,female,salesman,AB,158,99,master,no
35,female,student,B,169,81,senior high,no
0,third,teacher,O,190,82,doctor,no
22,male,salesman,B,198,97,junior high,no
38,third,teacher,O,192,73,doctor,yes
85,male,student,A,165,90,primary,no
52,male,programmer,A,196,66,doctor,no
10,male,salesman,A,150,82,primary,no
15,female,chef,O,152,68,university,no
37,female,student,AB,147,75,junior high,no
22,third,student,B,185,51,university,no
62,male,singer,O,176,79,doctor,no
61,third,engineer,O,168,57,university,no
80,male,chef,O,177,76,doctor,no
38,male,programmer,O,160,91,senior high,yes
20,third,neet,A,156,96,primary,no
95,female,neet,AB,192,88,senior high,no
2,female,programmer,A,173,93,senior high,no
75,male,teacher,B,189,76,university,no
27,third,neet,AB,186,38,senior high,no
15,male,programmer,AB,192,62,master,no
91,third,neet,B,173,38,master,no
7,male,singer,AB,168,73,primary,no
90,female,teacher,B,183,58,university,no
2,male,neet,B,175,90,primary,no
21,male,scientest,AB,186,46,junior high,no
79,female,salesman,O,185,56,junior high,no
27,female,singer,O,171,61,university,yes
51,third,student,O,171,51,senior high,no
21,male,student,O,151,74,senior high,yes
0,female,student,O,193,37,primary,no
31,male,singer,O,186,86,junior high,yes
64,third,neet,AB,181,44,primary,no
85,female,salesman,A,187,38,doctor,no
72,male,salesman,O,176,86,master,no
21,female,singer,B,149,63,master,no
20,female,engineer,A,175,93,senior high,no
60,third,engineer,O,195,77,junior high,no
72,male,student,A,198,68,master,no
27,third,engineer,O,187,92,master,yes
33,third,neet,O,171,50,doctor,yes
51,female,scientest,A,152,47,senior high,no
96,third,engineer,AB,184,55,doctor,no
8,male,salesman,O,147,49,doctor,yes
17,third,chef,O,151,85,senior high,yes
65,third,engineer,B,145,78,master,no
49,female,singer,B,144,94,primary,no
48,female,teacher,A,155,84,primary,no
20,female,scientest,O,176,56,primary,yes
10,female,student,B,163,44,primary,yes
17,female,teacher,AB,140,51,senior high,no
61,male,programmer,B,197,56,university,no
68,female,engineer,B,189,69,junior high,no
8,male,neet,AB,184,71,senior high,no
79,female,engineer,O,183,66,junior high,no
8,male,student,A,199,78,doctor,no
18,male,student,AB,173,86,primary,no
61,third,student,O,185,53,senior high,no
78,male,teacher,B,163,37,senior high,no
39,male,programmer,AB,185,78,primary,no
96,female,student,AB,173,93,junior high,no
40,male,neet,A,166,45,doctor,no
82,male,chef,A,151,82,university,no
66,third,programmer,O,188,94,master,no
42,female,salesman,A,156,41,junior high,no
54,male,student,A,172,93,university,no
8,male,engineer,O,140,50,master,yes
36,male,programmer,B,167,38,master,yes
14,female,engineer,AB,178,83,senior high,no
17,third,singer,O,166,91,primary,yes
97,male,programmer,A,191,49,master,no
7,female,scientest,B,157,83,master,no
23,male,programmer,AB,156,82,master,yes
80,male,engineer,AB,141,98,master,no
40,third,neet,AB,150,39,senior high,no
34,female,programmer,O,189,47,senior high,yes
43,female,scientest,A,154,59,primary,no
67,third,programmer,O,170,72,doctor,no
13,third,salesman,AB,162,45,primary,no
2,third,singer,AB,184,46,master,no
13,male,student,AB,149,88,master,no
1,male,chef,AB,171,71,master,no
88,male,teacher,O,154,92,primary,no
30,male,teacher,B,193,50,university,no
46,third,chef,B,182,47,master,yes
93,third,teacher,B,171,51,university,no
23,male,singer,B,152,87,senior high,no
29,female,salesman,O,150,87,master,yes
11,third,singer,AB,149,95,senior high,no
73,third,chef,O,183,67,senior high,no
54,male,neet,O,190,42,doctor,no
46,male,teacher,A,170,87,doctor,no
62,male,singer,O,143,65,doctor,no
19,female,salesman,AB,146,91,master,no
33,male,neet,AB,168,54,doctor,no
65,male,salesman,A,195,71,master,no
82,female,singer,AB,166,82,primary,no
66,third,programmer,AB,172,59,university,no
68,male,scientest,O,161,81,university,no
67,female,engineer,B,196,74,university,no
13,third,student,A,140,50,university,no
81,female,neet,B,179,84,doctor,no
98,male,engineer,A,174,93,master,no
35,female,programmer,O,181,87,university,yes
21,female,chef,A,172,50,master,yes
93,third,singer,A,195,52,senior high,no
34,male,salesman,A,147,82,master,no
20,female,singer,B,184,71,junior high,no
61,male,singer,O,161,39,senior high,no
63,male,neet,A,170,99,university,no
1,male,scientest,A,153,80,junior high,no
90,female,neet,AB,198,77,university,no
29,male,neet,B,141,74,senior high,no
2,third,singer,AB,177,78,university,no
19,male,salesman,B,158,55,senior high,no
46,male,salesman,B,189,69,junior high,no
83,third,singer,O,184,81,university,no
94,third,scientest,B,167,45,primary,no
20,male,scientest,AB,198,57,doctor,no
26,third,chef,A,142,70,doctor,yes
43,male,neet,O,157,42,junior high,no
70,female,chef,AB,163,51,senior high,no
47,male,salesman,AB,151,78,doctor,no
12,third,chef,B,199,75,junior high,no
46,male,scientest,AB,160,46,doctor,yes
48,third,singer,B,196,73,junior high,no
85,female,engineer,AB,165,56,primary,no
3,male,singer,AB,158,48,doctor,no
54,third,neet,O,197,98,senior high,no
99,male,salesman,B,165,65,primary,no
3,male,chef,AB,145,36,doctor,no
90,female,singer,B,180,81,doctor,no
48,female,engineer,O,198,98,primary,no
64,male,singer,AB,152,49,university,no
27,third,salesman,B,167,65,master,no
29,male,engineer,O,176,47,master,yes
46,male,scientest,B,181,79,senior high,no
96,male,teacher,AB,143,74,university,no
62,male,engineer,A,193,81,senior high,no
81,female,engineer,A,179,70,junior high,no
64,female,singer,A,177,89,university,no
39,third,singer,B,168,91,senior high,no
37,third,programmer,A,177,95,university,no
37,female,neet,A,173,88,senior high,no
65,third,student,O,158,96,senior high,no
17,third,salesman,AB,157,84,primary,no
95,female,teacher,A,199,64,junior high,no
96,female,chef,AB,178,65,doctor,no
35,third,scientest,O,191,99,master,yes
14,female,chef,A,175,73,university,no
69,female,salesman,A,195,51,senior high,no
75,third,teacher,A,189,96,junior high,no
78,female,singer,A,184,78,doctor,no
44,female,programmer,A,189,41,primary,no
69,male,scientest,B,143,43,master,no
70,female,singer,A,199,81,senior high,no
73,female,singer,B,190,70,junior high,no
8,third,teacher,B,150,40,university,no
41,male,programmer,O,189,74,primary,no
93,female,neet,A,181,91,master,no
0,female,salesman,AB,146,74,doctor,no
96,third,programmer,B,195,73,junior high,no
61,male,teacher,A,174,77,primary,no
2,female,teacher,A,167,98,senior high,no
9,third,programmer,B,147,62,doctor,no
94,male,salesman,AB,196,99,master,no
32,male,neet,B,185,54,primary,no
88,third,salesman,AB,153,97,doctor,no
90,third,neet,AB,150,72,senior high,no
92,female,programmer,AB,194,79,university,no
49,third,teacher,A,164,96,university,no
30,male,scientest,A,172,44,doctor,yes
88,third,chef,AB,150,66,junior high,no
13,male,singer,B,142,61,master,no
17,male,neet,A,196,62,junior high,no
40,third,salesman,AB,192,35,doctor,no
65,third,salesman,A,173,56,primary,no
42,third,teacher,AB,171,45,doctor,no
11,female,singer,AB,175,54,doctor,no
59,female,salesman,O,149,38,junior high,no
1,female,neet,B,191,58,doctor,no
54,female,scientest,O,179,86,doctor,no
26,third,student,A,167,79,senior high,no
28,female,engineer,AB,194,70,university,no
97,female,engineer,AB,166,91,master,no
28,male,student,AB,141,66,junior high,no
72,male,neet,A,170,75,junior high,no
25,female,programmer,O,173,50,master,yes
78,male,engineer,O,165,44,senior high,no
74,third,teacher,B,179,61,university,no
33,third,engineer,AB,140,48,primary,no
96,female,engineer,O,159,38,doctor,no
91,female,teacher,AB,185,91,junior high,no
40,male,student,AB,197,67,senior high,no
15,third,chef,B,175,42,doctor,no
86,female,teacher,AB,187,72,university,no
82,third,singer,O,146,97,master,no
74,female,engineer,A,186,46,university,no
25,third,salesman,B,158,65,doctor,no
34,male,student,O,140,37,doctor,yes
2,male,scientest,O,155,62,doctor,no
90,female,neet,AB,166,66,senior high,no
60,third,salesman,B,144,64,doctor,no
1,male,salesman,A,170,69,university,no
34,male,neet,O,158,38,doctor,yes
97,female,scientest,A,189,79,primary,no
64,third,programmer,AB,144,96,university,no
