Age,Gender,Occupations,Blood group,Education,Choosed
90,third,programmer,B,junior high,no
48,third,neet,AB,master,no
27,male,scientest,B,university,no
67,third,programmer,B,doctor,no
99,female,singer,O,master,no
32,female,neet,AB,master,no
77,male,scientest,O,doctor,no
66,third,programmer,B,primary,no
29,male,student,A,doctor,no
49,male,scientest,AB,university,no
11,third,student,AB,university,no
50,male,programmer,A,master,yes
28,male,programmer,B,primary,no
21,female,salesman,AB,master,no
71,male,salesman,AB,junior high,no
80,female,programmer,AB,primary,no
38,female,scientest,A,master,yes
73,female,chef,B,senior high,no
56,male,salesman,A,junior high,no
86,female,chef,O,primary,no
7,male,neet,AB,primary,no
70,third,neet,AB,master,no
59,female,programmer,O,university,no
29,female,chef,O,university,yes
38,male,singer,B,primary,no
64,female,teacher,O,doctor,no
64,female,chef,AB,primary,no
39,female,programmer,A,junior high,no
27,female,teacher,B,senior high,no
6,female,programmer,AB,senior high,no
49,male,chef,AB,university,yes
73,male,chef,O,primary,no
69,male,teacher,B,university,no
66,third,teacher,B,doctor,no
64,male,teacher,AB,doctor,no
65,male,chef,AB,doctor,no
56,third,singer,O,doctor,no
80,female,salesman,A,university,no
25,male,neet,O,doctor,yes
66,male,teacher,A,master,no
54,male,chef,A,master,no
55,third,teacher,O,university,no
7,male,teacher,B,senior high,no
25,female,neet,A,university,no
16,male,singer,O,doctor,yes
8,female,student,O,senior high,no
97,female,student,B,senior high,no
93,male,scientest,A,master,no
96,third,salesman,O,master,no
88,female,neet,AB,junior high,no
1,female,student,B,primary,no
35,female,singer,B,university,no
78,female,singer,AB,primary,no
30,female,neet,B,university,no
24,third,teacher,B,primary,no
59,third,student,B,primary,no
61,female,teacher,B,doctor,no
83,male,salesman,A,junior high,no
62,female,scientest,B,senior high,no
74,female,programmer,AB,senior high,no
47,female,chef,B,junior high,yes
42,third,chef,O,senior high,yes
72,female,singer,AB,doctor,no
38,female,engineer,O,master,yes
53,third,chef,A,master,no
64,female,teacher,AB,junior high,no
13,male,singer,B,primary,no
22,male,chef,B,master,yes
8,third,teacher,O,doctor,no
51,third,neet,B,senior high,no
90,third,student,O,junior high,no
60,third,student,A,doctor,no
3,female,teacher,B,master,no
85,female,chef,B,doctor,no
72,female,singer,A,junior high,no
67,third,salesman,B,master,no
24,male,chef,A,master,yes
91,male,engineer,AB,senior high,no
95,male,teacher,AB,junior high,no
54,male,programmer,O,university,no
60,third,student,B,senior high,no
15,male,salesman,O,senior high,no
15,third,programmer,AB,master,no
50,third,neet,AB,master,no
7,male,neet,A,university,no
61,female,chef,O,university,no
19,male,chef,AB,junior high,yes
50,third,teacher,B,master,no
27,third,student,O,doctor,yes
79,third,teacher,AB,senior high,no
39,third,salesman,A,junior high,no
9,female,salesman,AB,doctor,no
94,male,programmer,AB,junior high,no
25,male,singer,A,junior high,no
24,female,scientest,O,master,yes
23,third,singer,O,senior high,yes
96,female,singer,O,doctor,no
74,male,student,A,master,no
58,male,student,B,doctor,no
68,male,chef,O,master,no
94,third,salesman,A,doctor,no
41,third,student,B,junior high,no
13,female,scientest,B,doctor,no
27,female,scientest,AB,junior high,no
69,male,teacher,AB,master,no
97,male,teacher,O,primary,no
59,female,singer,AB,master,no
57,male,chef,B,university,no
86,male,teacher,A,master,no
41,male,salesman,A,university,no
94,male,programmer,B,master,no
90,female,salesman,A,doctor,no
78,male,singer,O,doctor,no
11,third,singer,B,master,no
41,third,programmer,A,senior high,no
64,male,programmer,AB,doctor,no
85,third,singer,AB,university,no
70,male,singer,AB,primary,no
48,female,neet,AB,doctor,no
58,male,singer,AB,senior high,no
78,third,teacher,O,university,no
16,male,programmer,O,university,yes
72,female,engineer,B,senior high,no
25,male,chef,O,university,yes
52,female,engineer,B,university,no
53,third,programmer,AB,senior high,no
86,third,programmer,A,university,no
26,third,student,B,senior high,no
68,female,engineer,O,master,no
17,third,student,B,senior high,no
12,male,singer,A,master,no
59,female,student,A,junior high,no
9,male,scientest,O,senior high,no
20,third,salesman,AB,university,no
33,male,chef,B,junior high,yes
51,third,engineer,A,university,no
97,female,salesman,B,senior high,no
0,third,programmer,A,junior high,no
0,third,chef,A,senior high,no
95,third,scientest,A,university,no
24,third,scientest,O,senior high,yes
28,female,teacher,A,senior high,no
17,male,chef,A,junior high,no
81,male,teacher,AB,master,no
42,female,salesman,O,junior high,no
19,female,scientest,O,master,yes
25,male,neet,A,university,no
37,third,teacher,A,senior high,no
39,third,neet,B,master,no
44,male,student,B,doctor,no
65,female,singer,O,senior high,no
95,male,programmer,AB,primary,no
10,third,neet,O,master,no
13,female,salesman,A,doctor,no
79,female,student,O,primary,no
82,male,programmer,A,senior high,no
33,female,singer,A,junior high,no
65,male,teacher,B,primary,no
6,third,chef,O,primary,no
58,third,programmer,AB,university,no
58,male,programmer,O,primary,no
35,female,chef,A,primary,yes
54,third,salesman,B,senior high,no
25,third,programmer,AB,university,no
30,male,engineer,AB,master,yes
58,third,teacher,A,senior high,no
1,third,neet,B,junior high,no
25,female,singer,A,doctor,no
78,female,engineer,O,senior high,no
40,female,chef,AB,junior high,yes
84,third,salesman,AB,master,no
51,female,scientest,A,senior high,no
95,female,student,O,primary,no
91,male,student,A,university,no
70,female,chef,B,primary,no
42,male,student,A,junior high,no
44,female,salesman,A,master,no
15,female,salesman,O,primary,yes
35,male,student,O,master,yes
49,third,student,AB,university,no
29,male,salesman,O,senior high,yes
97,female,singer,A,junior high,no
22,third,student,B,primary,no
86,female,chef,A,senior high,no
67,male,chef,A,doctor,no
59,female,student,O,doctor,no
6,female,engineer,B,junior high,no
52,third,neet,B,primary,no
83,third,neet,B,doctor,no
60,female,singer,AB,university,no
96,third,salesman,B,doctor,no
67,male,engineer,AB,master,no
0,male,scientest,A,senior high,no
10,female,chef,B,primary,no
31,female,engineer,AB,primary,no
8,male,chef,AB,master,no
76,third,neet,O,senior high,no
96,third,engineer,A,doctor,no
34,male,teacher,O,master,yes
64,third,salesman,A,senior high,no
61,female,neet,B,master,no
4,third,salesman,A,primary,no
4,male,engineer,O,doctor,no
28,female,engineer,A,senior high,no
57,third,scientest,B,junior high,no
11,male,chef,O,junior high,no
73,third,student,B,master,no
81,male,salesman,AB,primary,no
20,male,student,O,primary,yes
50,female,engineer,B,junior high,no
69,female,scientest,B,senior high,no
1,female,neet,A,doctor,no
35,third,salesman,B,doctor,no
97,female,teacher,AB,university,no
74,male,singer,O,senior high,no
73,third,scientest,AB,university,no
98,male,student,AB,junior high,no
32,third,programmer,A,university,no
30,male,salesman,AB,senior high,no
84,male,teacher,O,senior high,no
56,male,teacher,O,primary,no
71,third,chef,B,doctor,no
79,female,singer,AB,senior high,no
76,male,student,B,junior high,no
0,male,teacher,O,junior high,no
70,third,singer,O,senior high,no
91,female,chef,A,senior high,no
73,female,singer,A,primary,no
11,female,singer,A,doctor,no
4,female,neet,AB,primary,no
69,male,engineer,O,senior high,no
82,female,neet,A,university,no
23,third,scientest,AB,junior high,no
23,male,engineer,AB,master,yes
56,female,neet,A,university,no
99,male,student,O,doctor,no
45,third,teacher,O,doctor,no
44,female,engineer,B,doctor,yes
92,male,chef,AB,senior high,no
58,female,chef,B,primary,no
69,male,programmer,AB,primary,no
97,female,scientest,AB,senior high,no
17,female,programmer,A,senior high,yes
61,third,teacher,O,senior high,no
88,female,student,AB,senior high,no
21,female,neet,B,senior high,no
1,third,student,A,senior high,no
21,third,student,B,senior high,no
84,male,salesman,AB,junior high,no
95,third,scientest,O,master,no
76,female,engineer,AB,primary,no
33,male,scientest,O,primary,yes
87,male,chef,AB,master,no
80,male,neet,AB,university,no
20,male,programmer,AB,master,no
3,male,student,A,primary,no
80,male,scientest,O,junior high,no
38,third,programmer,B,master,yes
49,third,singer,AB,junior high,no
87,third,neet,B,doctor,no
67,male,programmer,A,senior high,no
25,male,singer,AB,doctor,no
23,female,student,AB,doctor,no
39,female,chef,O,master,yes
38,third,chef,O,master,yes
70,female,teacher,AB,master,no
12,male,engineer,AB,junior high,yes
99,male,programmer,A,junior high,no
99,female,singer,AB,senior high,no
91,male,student,A,doctor,no
74,female,student,A,junior high,no
62,male,teacher,B,primary,no
9,male,singer,O,senior high,no
49,male,scientest,AB,university,no
16,female,engineer,AB,junior high,no
98,third,teacher,A,junior high,no
49,male,scientest,B,university,no
11,female,scientest,B,senior high,yes
21,female,chef,A,master,yes
77,female,salesman,AB,master,no
35,female,student,B,senior high,no
0,third,teacher,O,doctor,no
22,male,salesman,B,junior high,no
38,third,teacher,O,doctor,yes
85,male,student,A,primary,no
52,male,programmer,A,doctor,no
10,male,salesman,A,primary,no
15,female,chef,O,university,no
37,female,student,AB,junior high,no
22,third,student,B,university,no
62,male,singer,O,doctor,no
61,third,engineer,O,university,no
80,male,chef,O,doctor,no
38,male,programmer,O,senior high,yes
20,third,neet,A,primary,no
95,female,neet,AB,senior high,no
2,female,programmer,A,senior high,no
75,male,teacher,B,university,no
27,third,neet,AB,senior high,no
15,male,programmer,AB,master,no
91,third,neet,B,master,no
7,male,singer,AB,primary,no
90,female,teacher,B,university,no
2,male,neet,B,primary,no
21,male,scientest,AB,junior high,no
79,female,salesman,O,junior high,no
27,female,singer,O,university,yes
51,third,student,O,senior high,no
21,male,student,O,senior high,yes
0,female,student,O,primary,no
31,male,singer,O,junior high,yes
64,third,neet,AB,primary,no
85,female,salesman,A,doctor,no
72,male,salesman,O,master,no
21,female,singer,B,master,no
20,female,engineer,A,senior high,no
60,third,engineer,O,junior high,no
72,male,student,A,master,no
27,third,engineer,O,master,yes
33,third,neet,O,doctor,yes
51,female,scientest,A,senior high,no
96,third,engineer,AB,doctor,no
8,male,salesman,O,doctor,yes
17,third,chef,O,senior high,yes
65,third,engineer,B,master,no
49,female,singer,B,primary,no
48,female,teacher,A,primary,no
20,female,scientest,O,primary,yes
10,female,student,B,primary,yes
17,female,teacher,AB,senior high,no
61,male,programmer,B,university,no
68,female,engineer,B,junior high,no
8,male,neet,AB,senior high,no
79,female,engineer,O,junior high,no
8,male,student,A,doctor,no
18,male,student,AB,primary,no
61,third,student,O,senior high,no
78,male,teacher,B,senior high,no
39,male,programmer,AB,primary,no
96,female,student,AB,junior high,no
40,male,neet,A,doctor,no
82,male,chef,A,university,no
66,third,programmer,O,master,no
42,female,salesman,A,junior high,no
54,male,student,A,university,no
8,male,engineer,O,master,yes
36,male,programmer,B,master,yes
14,female,engineer,AB,senior high,no
17,third,singer,O,primary,yes
97,male,programmer,A,master,no
7,female,scientest,B,master,no
23,male,programmer,AB,master,yes
80,male,engineer,AB,master,no
40,third,neet,AB,senior high,no
34,female,programmer,O,senior high,yes
43,female,scientest,A,primary,no
67,third,programmer,O,doctor,no
13,third,salesman,AB,primary,no
2,third,singer,AB,master,no
13,male,student,AB,master,no
1,male,chef,AB,master,no
88,male,teacher,O,primary,no
30,male,teacher,B,university,no
46,third,chef,B,master,yes
93,third,teacher,B,university,no
23,male,singer,B,senior high,no
29,female,salesman,O,master,yes
11,third,singer,AB,senior high,no
73,third,chef,O,senior high,no
54,male,neet,O,doctor,no
46,male,teacher,A,doctor,no
62,male,singer,O,doctor,no
19,female,salesman,AB,master,no
33,male,neet,AB,doctor,no
65,male,salesman,A,master,no
82,female,singer,AB,primary,no
66,third,programmer,AB,university,no
68,male,scientest,O,university,no
67,female,engineer,B,university,no
13,third,student,A,university,no
81,female,neet,B,doctor,no
98,male,engineer,A,master,no
35,female,programmer,O,university,yes
21,female,chef,A,master,yes
93,third,singer,A,senior high,no
34,male,salesman,A,master,no
20,female,singer,B,junior high,no
61,male,singer,O,senior high,no
63,male,neet,A,university,no
1,male,scientest,A,junior high,no
90,female,neet,AB,university,no
29,male,neet,B,senior high,no
2,third,singer,AB,university,no
19,male,salesman,B,senior high,no
46,male,salesman,B,junior high,no
83,third,singer,O,university,no
94,third,scientest,B,primary,no
20,male,scientest,AB,doctor,no
26,third,chef,A,doctor,yes
43,male,neet,O,junior high,no
70,female,chef,AB,senior high,no
47,male,salesman,AB,doctor,no
12,third,chef,B,junior high,no
46,male,scientest,AB,doctor,yes
48,third,singer,B,junior high,no
85,female,engineer,AB,primary,no
3,male,singer,AB,doctor,no
54,third,neet,O,senior high,no
99,male,salesman,B,primary,no
3,male,chef,AB,doctor,no
90,female,singer,B,doctor,no
48,female,engineer,O,primary,no
64,male,singer,AB,university,no
27,third,salesman,B,master,no
29,male,engineer,O,master,yes
46,male,scientest,B,senior high,no
96,male,teacher,AB,university,no
62,male,engineer,A,senior high,no
81,female,engineer,A,junior high,no
64,female,singer,A,university,no
39,third,singer,B,senior high,no
37,third,programmer,A,university,no
37,female,neet,A,senior high,no
65,third,student,O,senior high,no
17,third,salesman,AB,primary,no
95,female,teacher,A,junior high,no
96,female,chef,AB,doctor,no
35,third,scientest,O,master,yes
14,female,chef,A,university,no
69,female,salesman,A,senior high,no
75,third,teacher,A,junior high,no
78,female,singer,A,doctor,no
44,female,programmer,A,primary,no
69,male,scientest,B,master,no
70,female,singer,A,senior high,no
73,female,singer,B,junior high,no
8,third,teacher,B,university,no
41,male,programmer,O,primary,no
93,female,neet,A,master,no
0,female,salesman,AB,doctor,no
96,third,programmer,B,junior high,no
61,male,teacher,A,primary,no
2,female,teacher,A,senior high,no
9,third,programmer,B,doctor,no
94,male,salesman,AB,master,no
32,male,neet,B,primary,no
88,third,salesman,AB,doctor,no
90,third,neet,AB,senior high,no
92,female,programmer,AB,university,no
49,third,teacher,A,university,no
30,male,scientest,A,doctor,yes
88,third,chef,AB,junior high,no
13,male,singer,B,master,no
17,male,neet,A,junior high,no
40,third,salesman,AB,doctor,no
65,third,salesman,A,primary,no
42,third,teacher,AB,doctor,no
11,female,singer,AB,doctor,no
59,female,salesman,O,junior high,no
1,female,neet,B,doctor,no
54,female,scientest,O,doctor,no
26,third,student,A,senior high,no
28,female,engineer,AB,university,no
97,female,engineer,AB,master,no
28,male,student,AB,junior high,no
72,male,neet,A,junior high,no
25,female,programmer,O,master,yes
78,male,engineer,O,senior high,no
74,third,teacher,B,university,no
33,third,engineer,AB,primary,no
96,female,engineer,O,doctor,no
91,female,teacher,AB,junior high,no
40,male,student,AB,senior high,no
15,third,chef,B,doctor,no
86,female,teacher,AB,university,no
82,third,singer,O,master,no
74,female,engineer,A,university,no
25,third,salesman,B,doctor,no
34,male,student,O,doctor,yes
2,male,scientest,O,doctor,no
90,female,neet,AB,senior high,no
60,third,salesman,B,doctor,no
1,male,salesman,A,university,no
34,male,neet,O,doctor,yes
97,female,scientest,A,primary,no
64,third,programmer,AB,university,no
43,female,chef,O,primary,yes
43,third,scientest,AB,university,no
33,female,teacher,AB,doctor,no
90,third,teacher,O,doctor,no
72,female,teacher,AB,university,no
75,female,student,A,university,no
93,female,engineer,A,doctor,no
42,third,salesman,AB,university,no
25,third,neet,O,university,yes
72,third,engineer,AB,senior high,no
14,third,neet,B,university,no
99,female,programmer,B,senior high,no
32,third,programmer,A,primary,no
96,female,singer,B,junior high,no
85,female,neet,A,doctor,no
63,female,chef,A,university,no
23,male,student,O,doctor,yes
1,third,singer,B,university,no
48,third,programmer,A,junior high,no
75,female,singer,O,junior high,no
88,female,engineer,A,senior high,no
34,male,singer,O,master,yes
25,third,teacher,B,primary,no
6,female,singer,AB,senior high,no
91,third,scientest,O,master,no
47,third,student,A,junior high,no
83,female,salesman,A,master,no
6,female,scientest,O,senior high,no
1,male,scientest,AB,senior high,no
40,female,engineer,O,university,yes
82,third,engineer,AB,junior high,no
57,third,singer,O,junior high,no
44,male,chef,AB,doctor,yes
44,female,engineer,A,master,yes
49,male,engineer,B,senior high,no
60,female,teacher,AB,senior high,no
90,female,programmer,O,senior high,no
44,third,salesman,O,master,no
59,female,student,A,doctor,no
87,male,neet,A,primary,no
97,third,salesman,A,master,no
22,third,scientest,A,senior high,no
34,male,scientest,B,senior high,no
58,third,student,AB,university,no
77,male,student,AB,junior high,no
0,male,teacher,AB,university,no
9,male,singer,AB,doctor,yes
81,third,scientest,O,university,no
30,male,engineer,AB,doctor,yes
8,third,chef,A,doctor,no
2,female,student,AB,master,no
72,male,singer,A,university,no
86,male,chef,B,junior high,no
36,male,neet,A,master,no
62,female,teacher,B,doctor,no
14,male,chef,B,junior high,no
8,third,student,A,junior high,no
5,third,programmer,O,junior high,no
40,male,programmer,O,university,yes
38,third,chef,O,university,yes
42,female,student,A,master,no
90,third,scientest,B,doctor,no
76,third,programmer,AB,master,no
21,female,scientest,O,university,yes
35,male,engineer,O,primary,yes
5,female,salesman,AB,university,no
82,male,programmer,A,primary,no
17,female,programmer,AB,junior high,yes
71,third,singer,B,senior high,no
96,female,teacher,A,senior high,no
31,male,teacher,B,university,no
93,third,singer,A,primary,no
8,third,programmer,AB,junior high,no
91,third,chef,O,master,no
64,female,neet,A,junior high,no
85,male,singer,A,university,no
99,third,salesman,A,master,no
88,third,neet,A,junior high,no
11,third,engineer,O,junior high,no
94,male,neet,AB,master,no
2,third,teacher,A,doctor,no
54,male,teacher,B,master,no
52,third,programmer,AB,university,no
96,male,chef,AB,doctor,no
30,male,teacher,AB,master,no
32,female,chef,AB,primary,yes
69,female,salesman,A,primary,no
43,male,salesman,AB,university,no
25,female,chef,A,senior high,yes
58,male,chef,B,doctor,no
4,female,student,B,doctor,no
36,male,chef,AB,doctor,yes
82,third,salesman,B,senior high,no
45,third,teacher,O,master,no
85,third,scientest,O,doctor,no
21,female,programmer,B,master,no
36,female,teacher,O,primary,yes
52,male,singer,O,doctor,no
82,male,singer,A,junior high,no
52,female,student,A,doctor,no
50,female,neet,B,doctor,no
61,male,teacher,O,master,no
31,female,chef,O,primary,yes
22,male,singer,AB,junior high,no
28,third,student,AB,primary,no
16,male,scientest,A,primary,no
76,female,programmer,AB,doctor,no
60,female,chef,B,senior high,no
61,male,programmer,B,junior high,no
51,third,singer,B,master,no
17,female,salesman,B,junior high,no
60,male,singer,O,junior high,no
12,third,engineer,AB,primary,no
55,third,engineer,A,senior high,no
62,male,teacher,AB,doctor,no
49,male,engineer,A,university,no
41,third,scientest,B,primary,no
61,third,chef,B,doctor,no
97,third,engineer,B,university,no
99,third,singer,AB,primary,no
17,third,student,B,doctor,no
33,third,salesman,B,senior high,no
36,third,engineer,AB,primary,no
79,male,engineer,O,master,no
17,male,teacher,B,senior high,no
28,third,singer,O,senior high,yes
84,third,teacher,A,master,no
11,male,singer,AB,master,no
69,female,salesman,AB,junior high,no
17,male,student,B,master,no
74,female,student,B,senior high,no
15,male,chef,O,doctor,no
57,third,singer,A,university,no
20,female,student,O,junior high,yes
70,male,salesman,A,primary,no
7,female,singer,A,senior high,no
21,female,teacher,AB,university,no
3,male,scientest,A,junior high,no
96,third,scientest,AB,primary,no
33,third,engineer,O,senior high,yes
74,male,engineer,AB,master,no
89,female,salesman,A,master,no
62,third,salesman,B,junior high,no
55,female,chef,O,senior high,no
61,female,engineer,A,senior high,no
15,female,engineer,AB,senior high,no
18,third,salesman,B,senior high,no
28,third,engineer,O,university,yes
26,third,student,O,junior high,yes
46,female,engineer,O,university,no
43,female,singer,O,university,no
91,female,teacher,B,senior high,no
49,male,singer,AB,master,no
23,third,salesman,B,primary,no
6,third,teacher,A,senior high,no
71,female,engineer,AB,master,no
83,third,engineer,AB,doctor,no
48,third,teacher,O,university,no
26,female,neet,B,senior high,no
90,female,salesman,A,junior high,no
7,female,engineer,O,primary,no
45,third,chef,A,master,yes
97,third,programmer,B,senior high,no
58,male,singer,O,senior high,no
50,third,engineer,O,junior high,no
54,female,chef,O,master,no
77,third,teacher,B,junior high,no
19,male,student,B,master,no
35,male,student,B,university,no
22,female,chef,O,doctor,yes
82,female,teacher,O,master,no
44,third,engineer,AB,senior high,no
99,male,neet,AB,primary,no
83,third,student,O,senior high,no
28,third,student,AB,master,no
41,female,teacher,O,doctor,no
68,third,student,A,primary,no
25,third,student,B,senior high,no
17,female,engineer,O,senior high,yes
58,female,singer,O,university,no
79,third,programmer,A,master,no
62,female,scientest,O,doctor,no
42,female,neet,B,senior high,no
40,female,student,A,university,no
16,male,student,A,primary,no
72,male,neet,O,senior high,no
39,third,neet,AB,university,no
15,male,scientest,O,master,no
98,male,chef,A,doctor,no
76,third,engineer,O,doctor,no
8,third,chef,B,doctor,no
92,female,salesman,B,doctor,no
76,male,salesman,AB,doctor,no
96,male,programmer,O,senior high,no
9,male,salesman,B,doctor,no
98,third,teacher,O,junior high,no
