Age,Gender,Occupations,Blood group,Weight,Choosed
93,female,programmer,B,48,no
84,third,engineer,AB,42,no
93,female,singer,O,99,no
83,female,teacher,O,46,no
7,third,programmer,AB,51,no
76,male,programmer,B,89,no
45,male,neet,B,84,no
32,female,teacher,AB,95,no
14,female,teacher,B,69,no
33,third,teacher,O,81,yes
55,third,neet,AB,57,no
86,female,chef,B,77,no
49,female,singer,A,50,no
8,female,teacher,B,37,no
13,male,chef,B,79,no
73,female,neet,B,42,no
70,third,chef,O,38,no
95,third,teacher,O,82,no
75,male,singer,A,52,no
0,third,singer,B,65,no
83,third,neet,A,50,no
85,female,chef,O,86,no
90,third,programmer,B,36,no
48,third,neet,AB,77,no
27,male,scientest,B,90,no
67,third,programmer,B,51,no
99,female,singer,O,76,no
32,female,neet,AB,89,no
77,male,scientest,O,66,no
66,third,programmer,B,42,no
29,male,student,A,60,no
49,male,scientest,AB,60,no
11,third,student,AB,63,no
50,male,programmer,A,72,yes
28,male,programmer,B,84,no
21,female,salesman,AB,35,no
71,male,salesman,AB,58,no
80,female,programmer,AB,50,no
38,female,scientest,A,98,yes
73,female,chef,B,92,no
56,male,salesman,A,67,no
86,female,chef,O,50,no
7,male,neet,AB,87,no
70,third,neet,AB,99,no
59,female,programmer,O,53,no
29,female,chef,O,90,yes
38,male,singer,B,67,no
64,female,teacher,O,61,no
64,female,chef,AB,36,no
39,female,programmer,A,77,no
27,female,teacher,B,84,no
6,female,programmer,AB,96,no
49,male,chef,AB,42,yes
73,male,chef,O,59,no
69,male,teacher,B,49,no
66,third,teacher,B,59,no
64,male,teacher,AB,38,no
65,male,chef,AB,99,no
56,third,singer,O,53,no
80,female,salesman,A,67,no
25,male,neet,O,72,yes
66,male,teacher,A,70,no
54,male,chef,A,47,no
55,third,teacher,O,79,no
7,male,teacher,B,88,no
25,female,neet,A,96,no
16,male,singer,O,68,yes
8,female,student,O,87,no
97,female,student,B,48,no
93,male,scientest,A,61,no
96,third,salesman,O,75,no
88,female,neet,AB,42,no
1,female,student,B,43,no
35,female,singer,B,47,no
78,female,singer,AB,52,no
30,female,neet,B,37,no
24,third,teacher,B,60,no
59,third,student,B,90,no
61,female,teacher,B,76,no
83,male,salesman,A,86,no
62,female,scientest,B,65,no
74,female,programmer,AB,72,no
47,female,chef,B,90,yes
42,third,chef,O,57,yes
72,female,singer,AB,57,no
38,female,engineer,O,50,yes
53,third,chef,A,99,no
64,female,teacher,AB,62,no
13,male,singer,B,51,no
22,male,chef,B,71,yes
8,third,teacher,O,40,no
51,third,neet,B,40,no
90,third,student,O,52,no
60,third,student,A,76,no
3,female,teacher,B,95,no
85,female,chef,B,52,no
72,female,singer,A,65,no
67,third,salesman,B,93,no
24,male,chef,A,51,yes
91,male,engineer,AB,70,no
95,male,teacher,AB,73,no
54,male,programmer,O,78,no
60,third,student,B,87,no
15,male,salesman,O,52,no
15,third,programmer,AB,39,no
50,third,neet,AB,57,no
7,male,neet,A,48,no
61,female,chef,O,96,no
19,male,chef,AB,91,yes
50,third,teacher,B,40,no
27,third,student,O,39,yes
79,third,teacher,AB,58,no
39,third,salesman,A,83,no
9,female,salesman,AB,43,no
94,male,programmer,AB,77,no
25,male,singer,A,46,no
24,female,scientest,O,78,yes
23,third,singer,O,82,yes
96,female,singer,O,62,no
74,male,student,A,87,no
58,male,student,B,35,no
68,male,chef,O,90,no
94,third,salesman,A,60,no
41,third,student,B,37,no
13,female,scientest,B,52,no
27,female,scientest,AB,40,no
69,male,teacher,AB,43,no
97,male,teacher,O,38,no
59,female,singer,AB,66,no
57,male,chef,B,35,no
86,male,teacher,A,36,no
41,male,salesman,A,56,no
94,male,programmer,B,47,no
90,female,salesman,A,87,no
78,male,singer,O,65,no
11,third,singer,B,62,no
41,third,programmer,A,60,no
64,male,programmer,AB,73,no
85,third,singer,AB,77,no
70,male,singer,AB,55,no
48,female,neet,AB,36,no
58,male,singer,AB,99,no
78,third,teacher,O,47,no
16,male,programmer,O,86,yes
72,female,engineer,B,56,no
25,male,chef,O,43,yes
52,female,engineer,B,47,no
53,third,programmer,AB,85,no
86,third,programmer,A,54,no
26,third,student,B,56,no
68,female,engineer,O,55,no
17,third,student,B,46,no
12,male,singer,A,52,no
59,female,student,A,74,no
9,male,scientest,O,58,no
20,third,salesman,AB,88,no
33,male,chef,B,48,yes
51,third,engineer,A,93,no
97,female,salesman,B,97,no
0,third,programmer,A,94,no
0,third,chef,A,94,no
95,third,scientest,A,48,no
24,third,scientest,O,67,yes
28,female,teacher,A,65,no
17,male,chef,A,49,no
81,male,teacher,AB,52,no
42,female,salesman,O,43,no
19,female,scientest,O,43,yes
25,male,neet,A,92,no
37,third,teacher,A,72,no
39,third,neet,B,71,no
44,male,student,B,78,no
65,female,singer,O,54,no
95,male,programmer,AB,85,no
10,third,neet,O,71,no
13,female,salesman,A,53,no
79,female,student,O,49,no
82,male,programmer,A,86,no
33,female,singer,A,80,no
65,male,teacher,B,72,no
6,third,chef,O,99,no
58,third,programmer,AB,79,no
58,male,programmer,O,79,no
35,female,chef,A,51,yes
54,third,salesman,B,93,no
25,third,programmer,AB,62,no
30,male,engineer,AB,93,yes
58,third,teacher,A,85,no
1,third,neet,B,95,no
25,female,singer,A,97,no
78,female,engineer,O,36,no
40,female,chef,AB,88,yes
84,third,salesman,AB,36,no
51,female,scientest,A,99,no
95,female,student,O,80,no
91,male,student,A,40,no
70,female,chef,B,44,no
42,male,student,A,59,no
44,female,salesman,A,63,no
15,female,salesman,O,44,yes
35,male,student,O,74,yes
49,third,student,AB,83,no
29,male,salesman,O,77,yes
97,female,singer,A,47,no
22,third,student,B,61,no
86,female,chef,A,64,no
67,male,chef,A,46,no
59,female,student,O,98,no
6,female,engineer,B,75,no
52,third,neet,B,93,no
83,third,neet,B,60,no
60,female,singer,AB,76,no
96,third,salesman,B,60,no
67,male,engineer,AB,40,no
0,male,scientest,A,98,no
10,female,chef,B,84,no
31,female,engineer,AB,84,no
8,male,chef,AB,82,no
76,third,neet,O,93,no
96,third,engineer,A,38,no
34,male,teacher,O,81,yes
64,third,salesman,A,46,no
61,female,neet,B,35,no
4,third,salesman,A,79,no
4,male,engineer,O,51,no
28,female,engineer,A,67,no
57,third,scientest,B,79,no
11,male,chef,O,61,no
73,third,student,B,92,no
81,male,salesman,AB,83,no
20,male,student,O,36,yes
50,female,engineer,B,75,no
69,female,scientest,B,42,no
1,female,neet,A,63,no
35,third,salesman,B,51,no
97,female,teacher,AB,44,no
74,male,singer,O,36,no
73,third,scientest,AB,55,no
98,male,student,AB,92,no
32,third,programmer,A,87,no
30,male,salesman,AB,98,no
84,male,teacher,O,42,no
56,male,teacher,O,93,no
71,third,chef,B,60,no
79,female,singer,AB,64,no
76,male,student,B,62,no
0,male,teacher,O,56,no
70,third,singer,O,62,no
91,female,chef,A,57,no
73,female,singer,A,81,no
11,female,singer,A,52,no
4,female,neet,AB,96,no
69,male,engineer,O,76,no
82,female,neet,A,82,no
23,third,scientest,AB,84,no
23,male,engineer,AB,66,yes
56,female,neet,A,86,no
99,male,student,O,65,no
45,third,teacher,O,37,no
44,female,engineer,B,61,yes
92,male,chef,AB,35,no
58,female,chef,B,51,no
69,male,programmer,AB,81,no
97,female,scientest,AB,35,no
17,female,programmer,A,38,yes
61,third,teacher,O,42,no
88,female,student,AB,78,no
21,female,neet,B,55,no
1,third,student,A,50,no
21,third,student,B,89,no
84,male,salesman,AB,92,no
95,third,scientest,O,73,no
76,female,engineer,AB,83,no
33,male,scientest,O,51,yes
87,male,chef,AB,43,no
80,male,neet,AB,40,no
20,male,programmer,AB,54,no
3,male,student,A,69,no
80,male,scientest,O,62,no
38,third,programmer,B,37,yes
49,third,singer,AB,82,no
87,third,neet,B,56,no
67,male,programmer,A,84,no
25,male,singer,AB,99,no
23,female,student,AB,57,no
39,female,chef,O,86,yes
38,third,chef,O,87,yes
70,female,teacher,AB,91,no
12,male,engineer,AB,50,yes
99,male,programmer,A,37,no
99,female,singer,AB,81,no
91,male,student,A,39,no
74,female,student,A,62,no
62,male,teacher,B,49,no
9,male,singer,O,78,no
49,male,scientest,AB,48,no
16,female,engineer,AB,74,no
98,third,teacher,A,62,no
49,male,scientest,B,45,no
11,female,scientest,B,41,yes
21,female,chef,A,92,yes
77,female,salesman,AB,99,no
35,female,student,B,81,no
0,third,teacher,O,82,no
22,male,salesman,B,97,no
38,third,teacher,O,73,yes
85,male,student,A,90,no
52,male,programmer,A,66,no
10,male,salesman,A,82,no
15,female,chef,O,68,no
37,female,student,AB,75,no
22,third,student,B,51,no
62,male,singer,O,79,no
61,third,engineer,O,57,no
80,male,chef,O,76,no
38,male,programmer,O,91,yes
20,third,neet,A,96,no
95,female,neet,AB,88,no
2,female,programmer,A,93,no
75,male,teacher,B,76,no
27,third,neet,AB,38,no
15,male,programmer,AB,62,no
91,third,neet,B,38,no
7,male,singer,AB,73,no
90,female,teacher,B,58,no
2,male,neet,B,90,no
21,male,scientest,AB,46,no
79,female,salesman,O,56,no
27,female,singer,O,61,yes
51,third,student,O,51,no
21,male,student,O,74,yes
0,female,student,O,37,no
31,male,singer,O,86,yes
64,third,neet,AB,44,no
85,female,salesman,A,38,no
72,male,salesman,O,86,no
21,female,singer,B,63,no
20,female,engineer,A,93,no
60,third,engineer,O,77,no
72,male,student,A,68,no
27,third,engineer,O,92,yes
33,third,neet,O,50,yes
51,female,scientest,A,47,no
96,third,engineer,AB,55,no
8,male,salesman,O,49,yes
17,third,chef,O,85,yes
65,third,engineer,B,78,no
49,female,singer,B,94,no
48,female,teacher,A,84,no
20,female,scientest,O,56,yes
10,female,student,B,44,yes
17,female,teacher,AB,51,no
61,male,programmer,B,56,no
68,female,engineer,B,69,no
8,male,neet,AB,71,no
79,female,engineer,O,66,no
8,male,student,A,78,no
18,male,student,AB,86,no
61,third,student,O,53,no
78,male,teacher,B,37,no
39,male,programmer,AB,78,no
96,female,student,AB,93,no
40,male,neet,A,45,no
82,male,chef,A,82,no
66,third,programmer,O,94,no
42,female,salesman,A,41,no
54,male,student,A,93,no
8,male,engineer,O,50,yes
36,male,programmer,B,38,yes
14,female,engineer,AB,83,no
17,third,singer,O,91,yes
97,male,programmer,A,49,no
7,female,scientest,B,83,no
23,male,programmer,AB,82,yes
80,male,engineer,AB,98,no
40,third,neet,AB,39,no
34,female,programmer,O,47,yes
43,female,scientest,A,59,no
67,third,programmer,O,72,no
13,third,salesman,AB,45,no
2,third,singer,AB,46,no
13,male,student,AB,88,no
1,male,chef,AB,71,no
88,male,teacher,O,92,no
30,male,teacher,B,50,no
46,third,chef,B,47,yes
93,third,teacher,B,51,no
23,male,singer,B,87,no
29,female,salesman,O,87,yes
11,third,singer,AB,95,no
73,third,chef,O,67,no
54,male,neet,O,42,no
46,male,teacher,A,87,no
62,male,singer,O,65,no
19,female,salesman,AB,91,no
33,male,neet,AB,54,no
65,male,salesman,A,71,no
82,female,singer,AB,82,no
66,third,programmer,AB,59,no
68,male,scientest,O,81,no
67,female,engineer,B,74,no
13,third,student,A,50,no
81,female,neet,B,84,no
98,male,engineer,A,93,no
35,female,programmer,O,87,yes
21,female,chef,A,50,yes
93,third,singer,A,52,no
34,male,salesman,A,82,no
20,female,singer,B,71,no
61,male,singer,O,39,no
63,male,neet,A,99,no
1,male,scientest,A,80,no
90,female,neet,AB,77,no
29,male,neet,B,74,no
2,third,singer,AB,78,no
19,male,salesman,B,55,no
46,male,salesman,B,69,no
83,third,singer,O,81,no
94,third,scientest,B,45,no
20,male,scientest,AB,57,no
26,third,chef,A,70,yes
43,male,neet,O,42,no
70,female,chef,AB,51,no
47,male,salesman,AB,78,no
12,third,chef,B,75,no
46,male,scientest,AB,46,yes
48,third,singer,B,73,no
85,female,engineer,AB,56,no
3,male,singer,AB,48,no
54,third,neet,O,98,no
99,male,salesman,B,65,no
3,male,chef,AB,36,no
90,female,singer,B,81,no
48,female,engineer,O,98,no
64,male,singer,AB,49,no
27,third,salesman,B,65,no
29,male,engineer,O,47,yes
46,male,scientest,B,79,no
96,male,teacher,AB,74,no
62,male,engineer,A,81,no
81,female,engineer,A,70,no
64,female,singer,A,89,no
39,third,singer,B,91,no
37,third,programmer,A,95,no
37,female,neet,A,88,no
65,third,student,O,96,no
17,third,salesman,AB,84,no
95,female,teacher,A,64,no
96,female,chef,AB,65,no
35,third,scientest,O,99,yes
14,female,chef,A,73,no
69,female,salesman,A,51,no
75,third,teacher,A,96,no
78,female,singer,A,78,no
44,female,programmer,A,41,no
69,male,scientest,B,43,no
70,female,singer,A,81,no
73,female,singer,B,70,no
8,third,teacher,B,40,no
41,male,programmer,O,74,no
93,female,neet,A,91,no
0,female,salesman,AB,74,no
96,third,programmer,B,73,no
61,male,teacher,A,77,no
2,female,teacher,A,98,no
9,third,programmer,B,62,no
94,male,salesman,AB,99,no
32,male,neet,B,54,no
88,third,salesman,AB,97,no
90,third,neet,AB,72,no
92,female,programmer,AB,79,no
49,third,teacher,A,96,no
30,male,scientest,A,44,yes
88,third,chef,AB,66,no
13,male,singer,B,61,no
17,male,neet,A,62,no
40,third,salesman,AB,35,no
65,third,salesman,A,56,no
42,third,teacher,AB,45,no
11,female,singer,AB,54,no
59,female,salesman,O,38,no
1,female,neet,B,58,no
54,female,scientest,O,86,no
26,third,student,A,79,no
28,female,engineer,AB,70,no
97,female,engineer,AB,91,no
28,male,student,AB,66,no
72,male,neet,A,75,no
25,female,programmer,O,50,yes
78,male,engineer,O,44,no
74,third,teacher,B,61,no
33,third,engineer,AB,48,no
96,female,engineer,O,38,no
91,female,teacher,AB,91,no
40,male,student,AB,67,no
15,third,chef,B,42,no
86,female,teacher,AB,72,no
82,third,singer,O,97,no
74,female,engineer,A,46,no
25,third,salesman,B,65,no
34,male,student,O,37,yes
2,male,scientest,O,62,no
90,female,neet,AB,66,no
60,third,salesman,B,64,no
1,male,salesman,A,69,no
34,male,neet,O,38,yes
97,female,scientest,A,79,no
64,third,programmer,AB,96,no
43,female,chef,O,83,yes
43,third,scientest,AB,68,no
33,female,teacher,AB,84,no
90,third,teacher,O,57,no
72,female,teacher,AB,89,no
75,female,student,A,44,no
93,female,engineer,A,38,no
42,third,salesman,AB,47,no
25,third,neet,O,85,yes
72,third,engineer,AB,85,no
14,third,neet,B,79,no
99,female,programmer,B,66,no
32,third,programmer,A,94,no
96,female,singer,B,51,no
85,female,neet,A,74,no
63,female,chef,A,45,no
23,male,student,O,88,yes
1,third,singer,B,53,no
48,third,programmer,A,92,no
75,female,singer,O,62,no
88,female,engineer,A,53,no
34,male,singer,O,58,yes
25,third,teacher,B,77,no
6,female,singer,AB,97,no
91,third,scientest,O,53,no
47,third,student,A,79,no
83,female,salesman,A,51,no
6,female,scientest,O,85,no
1,male,scientest,AB,56,no
40,female,engineer,O,61,yes
82,third,engineer,AB,57,no
57,third,singer,O,86,no
44,male,chef,AB,37,yes
44,female,engineer,A,88,yes
49,male,engineer,B,67,no
60,female,teacher,AB,60,no
90,female,programmer,O,91,no
44,third,salesman,O,70,no
59,female,student,A,73,no
87,male,neet,A,71,no
97,third,salesman,A,64,no
22,third,scientest,A,95,no
34,male,scientest,B,89,no
58,third,student,AB,77,no
77,male,student,AB,66,no
0,male,teacher,AB,68,no
9,male,singer,AB,37,yes
81,third,scientest,O,84,no
30,male,engineer,AB,65,yes
8,third,chef,A,46,no
2,female,student,AB,82,no
72,male,singer,A,58,no
86,male,chef,B,91,no
36,male,neet,A,44,no
62,female,teacher,B,58,no
14,male,chef,B,38,no
8,third,student,A,63,no
5,third,programmer,O,41,no
40,male,programmer,O,62,yes
38,third,chef,O,66,yes
42,female,student,A,89,no
90,third,scientest,B,77,no
76,third,programmer,AB,40,no
21,female,scientest,O,53,yes
35,male,engineer,O,37,yes
5,female,salesman,AB,69,no
82,male,programmer,A,77,no
17,female,programmer,AB,45,yes
71,third,singer,B,67,no
96,female,teacher,A,37,no
31,male,teacher,B,62,no
93,third,singer,A,93,no
8,third,programmer,AB,39,no
91,third,chef,O,90,no
64,female,neet,A,85,no
85,male,singer,A,45,no
99,third,salesman,A,42,no
88,third,neet,A,84,no
11,third,engineer,O,93,no
94,male,neet,AB,73,no
2,third,teacher,A,37,no
54,male,teacher,B,88,no
52,third,programmer,AB,37,no
96,male,chef,AB,82,no
30,male,teacher,AB,96,no
32,female,chef,AB,52,yes
69,female,salesman,A,93,no
43,male,salesman,AB,92,no
25,female,chef,A,99,yes
58,male,chef,B,50,no
4,female,student,B,92,no
36,male,chef,AB,84,yes
82,third,salesman,B,50,no
45,third,teacher,O,81,no
85,third,scientest,O,64,no
21,female,programmer,B,71,no
36,female,teacher,O,83,yes
52,male,singer,O,91,no
82,male,singer,A,76,no
52,female,student,A,60,no
50,female,neet,B,36,no
61,male,teacher,O,89,no
31,female,chef,O,38,yes
22,male,singer,AB,69,no
28,third,student,AB,91,no
16,male,scientest,A,83,no
76,female,programmer,AB,35,no
60,female,chef,B,48,no
61,male,programmer,B,78,no
51,third,singer,B,50,no
17,female,salesman,B,82,no
60,male,singer,O,93,no
12,third,engineer,AB,49,no
55,third,engineer,A,54,no
62,male,teacher,AB,49,no
49,male,engineer,A,97,no
41,third,scientest,B,86,no
61,third,chef,B,53,no
97,third,engineer,B,93,no
99,third,singer,AB,35,no
17,third,student,B,64,no
33,third,salesman,B,83,no
36,third,engineer,AB,96,no
79,male,engineer,O,95,no
17,male,teacher,B,81,no
28,third,singer,O,68,yes
84,third,teacher,A,72,no
11,male,singer,AB,82,no
69,female,salesman,AB,43,no
17,male,student,B,94,no
74,female,student,B,63,no
15,male,chef,O,71,no
57,third,singer,A,85,no
20,female,student,O,67,yes
70,male,salesman,A,77,no
7,female,singer,A,52,no
21,female,teacher,AB,68,no
3,male,scientest,A,99,no
96,third,scientest,AB,44,no
33,third,engineer,O,35,yes
74,male,engineer,AB,82,no
89,female,salesman,A,92,no
62,third,salesman,B,40,no
55,female,chef,O,93,no
61,female,engineer,A,98,no
15,female,engineer,AB,54,no
18,third,salesman,B,52,no
28,third,engineer,O,45,yes
26,third,student,O,61,yes
46,female,engineer,O,51,no
43,female,singer,O,50,no
91,female,teacher,B,38,no
49,male,singer,AB,39,no
23,third,salesman,B,48,no
6,third,teacher,A,90,no
71,female,engineer,AB,70,no
83,third,engineer,AB,58,no
48,third,teacher,O,84,no
26,female,neet,B,57,no
90,female,salesman,A,57,no
7,female,engineer,O,95,no
45,third,chef,A,71,yes
97,third,programmer,B,65,no
58,male,singer,O,51,no
50,third,engineer,O,65,no
54,female,chef,O,96,no
77,third,teacher,B,80,no
19,male,student,B,75,no
35,male,student,B,88,no
22,female,chef,O,59,yes
82,female,teacher,O,37,no
44,third,engineer,AB,96,no
99,male,neet,AB,41,no
83,third,student,O,42,no
28,third,student,AB,93,no
41,female,teacher,O,73,no
68,third,student,A,93,no
25,third,student,B,80,no
17,female,engineer,O,85,yes
58,female,singer,O,40,no
79,third,programmer,A,74,no
62,female,scientest,O,64,no
42,female,neet,B,90,no
40,female,student,A,75,no
16,male,student,A,84,no
72,male,neet,O,43,no
39,third,neet,AB,74,no
15,male,scientest,O,46,no
98,male,chef,A,40,no
76,third,engineer,O,51,no
8,third,chef,B,54,no
92,female,salesman,B,98,no
76,male,salesman,AB,89,no
96,male,programmer,O,57,no
9,male,salesman,B,67,no
98,third,teacher,O,64,no
33,male,scientest,AB,38,yes
42,female,programmer,AB,35,no
69,third,singer,A,44,no
22,male,programmer,A,71,no
73,female,student,AB,67,no
32,male,chef,A,75,yes
33,third,engineer,A,85,no
82,third,neet,O,49,no
90,third,student,O,66,no
72,male,engineer,O,35,no
8,third,salesman,AB,81,no
65,female,chef,B,62,no
98,female,neet,AB,54,no
36,female,scientest,A,53,no
24,third,chef,B,43,yes
77,female,student,O,42,no
79,female,singer,B,42,no
42,male,scientest,AB,74,no
83,male,singer,A,36,no
11,female,engineer,B,40,yes
21,male,singer,O,76,yes
19,male,neet,A,85,no
69,third,engineer,B,40,no
69,third,programmer,B,86,no
36,female,student,B,48,no
17,third,scientest,AB,99,no
50,male,student,O,81,no
5,male,engineer,O,72,no
77,third,student,A,38,no
20,female,neet,O,67,yes
18,female,chef,AB,72,yes
83,female,neet,B,46,no
30,male,scientest,B,49,no
63,female,teacher,AB,81,no
56,third,salesman,O,72,no
20,third,student,A,38,no
10,male,chef,O,87,no
97,male,chef,AB,63,no
13,male,student,AB,53,no
50,male,student,AB,95,no
87,male,programmer,AB,56,no
52,male,programmer,B,56,no
79,female,engineer,AB,80,no
90,female,singer,B,58,no
41,female,scientest,AB,48,no
59,male,singer,AB,67,no
24,male,student,AB,93,no
87,third,engineer,A,65,no
92,third,teacher,AB,57,no
25,third,student,A,45,no
7,third,student,B,84,no
42,male,engineer,AB,66,yes
11,female,salesman,B,39,yes
15,male,programmer,A,93,no
74,third,teacher,A,53,no
89,female,teacher,B,88,no
90,third,teacher,AB,68,no
98,third,engineer,AB,99,no
8,female,student,O,35,no
54,female,scientest,A,89,no
71,third,engineer,B,42,no
35,third,singer,B,64,no
61,female,salesman,A,53,no
74,male,chef,A,39,no
24,third,chef,AB,73,yes
80,male,programmer,AB,46,no
46,male,chef,AB,59,yes
6,female,student,O,81,no
70,male,salesman,O,44,no
34,female,engineer,A,42,no
75,female,teacher,B,52,no
2,third,scientest,B,36,no
63,male,teacher,B,77,no
32,female,singer,O,85,yes
38,female,singer,B,98,no
22,male,scientest,AB,46,no
90,male,singer,AB,37,no
50,male,programmer,B,67,no
35,female,neet,AB,36,no
97,female,salesman,AB,60,no
