Age,Gender,Weight,Education,Choosed
86,female,47,senior high,no
21,male,38,university,yes
42,male,62,master,yes
2,female,68,doctor,no
27,female,69,doctor,yes
28,male,70,junior high,yes
50,female,47,senior high,no
16,female,98,junior high,no
52,third,75,university,no
24,third,81,university,no
44,male,59,master,yes
22,male,85,primary,no
29,male,85,junior high,no
49,male,47,university,no
38,male,92,doctor,no
11,male,87,primary,no
55,third,90,junior high,no
79,female,41,university,no
27,male,67,senior high,no
33,male,55,junior high,no
43,third,36,doctor,yes
95,male,63,junior high,no
46,male,79,junior high,no
84,third,62,senior high,no
20,third,90,university,no
17,third,88,primary,no
42,third,95,master,yes
37,third,96,senior high,no
46,male,55,primary,no
39,male,84,university,no
21,third,91,junior high,no
12,female,77,senior high,no
33,third,77,master,no
23,female,95,junior high,no
8,third,70,university,no
1,female,68,junior high,no
39,male,90,university,yes
93,male,63,primary,no
61,third,68,university,no
38,male,42,junior high,no
87,third,85,senior high,no
73,male,43,doctor,no
7,female,50,primary,no
26,female,65,senior high,no
23,male,45,primary,yes
9,female,93,master,no
16,male,79,doctor,no
32,female,59,primary,no
97,male,44,senior high,no
18,male,35,doctor,no
31,third,77,primary,yes
55,female,91,university,no
40,male,56,university,no
49,third,79,junior high,no
57,male,35,doctor,no
26,male,92,doctor,yes
68,male,50,junior high,no
76,third,88,primary,no
65,male,55,university,no
87,third,44,primary,no
43,third,47,junior high,no
44,third,87,university,no
41,male,80,junior high,no
52,male,40,master,no
92,male,40,doctor,no
11,male,38,university,yes
40,third,39,primary,yes
34,third,99,university,no
50,female,49,master,no
89,third,79,senior high,no
27,female,79,senior high,no
58,male,48,primary,no
51,third,90,doctor,no
26,third,46,junior high,yes
68,third,96,junior high,no
6,male,90,master,no
89,third,71,senior high,no
63,third,62,doctor,no
33,female,57,university,no
35,female,35,doctor,yes
72,male,95,master,no
19,male,72,doctor,no
84,third,97,master,no
73,female,58,doctor,no
35,female,36,primary,yes
5,female,91,junior high,no
39,third,67,senior high,yes
14,male,35,primary,no
91,female,96,senior high,no
1,female,79,primary,no
45,male,91,doctor,yes
44,male,78,doctor,no
92,male,76,junior high,no
17,female,75,senior high,no
16,male,82,university,no
94,third,40,university,no
96,third,59,master,no
56,female,52,master,no
72,third,84,junior high,no
11,female,76,senior high,no
93,female,48,junior high,no
84,third,42,primary,no
93,female,99,master,no
83,female,46,senior high,no
7,third,51,university,no
76,male,89,master,no
45,male,84,senior high,no
32,female,95,university,no
14,female,69,doctor,no
33,third,81,university,yes
55,third,57,senior high,no
86,female,77,junior high,no
49,female,50,doctor,no
8,female,37,university,no
13,male,79,junior high,no
73,female,42,junior high,no
70,third,38,primary,no
95,third,82,primary,no
75,male,52,senior high,no
0,third,65,doctor,no
83,third,50,junior high,no
85,female,86,junior high,no
90,third,36,junior high,no
48,third,77,master,no
27,male,90,university,no
67,third,51,doctor,no
99,female,76,master,no
32,female,89,master,no
77,male,66,doctor,no
66,third,42,primary,no
29,male,60,doctor,no
49,male,60,university,no
11,third,63,university,no
50,male,72,master,yes
28,male,84,primary,no
21,female,35,master,no
71,male,58,junior high,no
80,female,50,primary,no
38,female,98,master,yes
73,female,92,senior high,no
56,male,67,junior high,no
86,female,50,primary,no
7,male,87,primary,no
70,third,99,master,no
59,female,53,university,no
29,female,90,university,yes
38,male,67,primary,no
64,female,61,doctor,no
64,female,36,primary,no
39,female,77,junior high,no
27,female,84,senior high,no
6,female,96,senior high,no
49,male,42,university,yes
73,male,59,primary,no
69,male,49,university,no
66,third,59,doctor,no
64,male,38,doctor,no
65,male,99,doctor,no
56,third,53,doctor,no
80,female,67,university,no
25,male,72,doctor,yes
66,male,70,master,no
54,male,47,master,no
55,third,79,university,no
7,male,88,senior high,no
25,female,96,university,no
16,male,68,doctor,yes
8,female,87,senior high,no
97,female,48,senior high,no
93,male,61,master,no
96,third,75,master,no
88,female,42,junior high,no
1,female,43,primary,no
35,female,47,university,no
78,female,52,primary,no
30,female,37,university,no
24,third,60,primary,no
59,third,90,primary,no
61,female,76,doctor,no
83,male,86,junior high,no
62,female,65,senior high,no
74,female,72,senior high,no
47,female,90,junior high,yes
42,third,57,senior high,yes
72,female,57,doctor,no
38,female,50,master,yes
53,third,99,master,no
64,female,62,junior high,no
13,male,51,primary,no
22,male,71,master,yes
8,third,40,doctor,no
51,third,40,senior high,no
90,third,52,junior high,no
60,third,76,doctor,no
3,female,95,master,no
85,female,52,doctor,no
72,female,65,junior high,no
67,third,93,master,no
24,male,51,master,yes
91,male,70,senior high,no
95,male,73,junior high,no
54,male,78,university,no
60,third,87,senior high,no
15,male,52,senior high,no
15,third,39,master,no
50,third,57,master,no
7,male,48,university,no
61,female,96,university,no
19,male,91,junior high,yes
50,third,40,master,no
27,third,39,doctor,yes
79,third,58,senior high,no
39,third,83,junior high,no
9,female,43,doctor,no
94,male,77,junior high,no
25,male,46,junior high,no
24,female,78,master,yes
23,third,82,senior high,yes
96,female,62,doctor,no
74,male,87,master,no
58,male,35,doctor,no
68,male,90,master,no
94,third,60,doctor,no
41,third,37,junior high,no
13,female,52,doctor,no
27,female,40,junior high,no
69,male,43,master,no
97,male,38,primary,no
59,female,66,master,no
57,male,35,university,no
86,male,36,master,no
41,male,56,university,no
94,male,47,master,no
90,female,87,doctor,no
78,male,65,doctor,no
11,third,62,master,no
41,third,60,senior high,no
64,male,73,doctor,no
85,third,77,university,no
70,male,55,primary,no
48,female,36,doctor,no
58,male,99,senior high,no
78,third,47,university,no
16,male,86,university,yes
72,female,56,senior high,no
25,male,43,university,yes
52,female,47,university,no
53,third,85,senior high,no
86,third,54,university,no
26,third,56,senior high,no
68,female,55,master,no
17,third,46,senior high,no
12,male,52,master,no
59,female,74,junior high,no
9,male,58,senior high,no
20,third,88,university,no
33,male,48,junior high,yes
51,third,93,university,no
97,female,97,senior high,no
0,third,94,junior high,no
0,third,94,senior high,no
95,third,48,university,no
24,third,67,senior high,yes
28,female,65,senior high,no
17,male,49,junior high,no
81,male,52,master,no
42,female,43,junior high,no
19,female,43,master,yes
25,male,92,university,no
37,third,72,senior high,no
39,third,71,master,no
44,male,78,doctor,no
65,female,54,senior high,no
95,male,85,primary,no
10,third,71,master,no
13,female,53,doctor,no
79,female,49,primary,no
82,male,86,senior high,no
33,female,80,junior high,no
65,male,72,primary,no
6,third,99,primary,no
58,third,79,university,no
58,male,79,primary,no
35,female,51,primary,yes
54,third,93,senior high,no
25,third,62,university,no
30,male,93,master,yes
58,third,85,senior high,no
1,third,95,junior high,no
25,female,97,doctor,no
78,female,36,senior high,no
40,female,88,junior high,yes
84,third,36,master,no
51,female,99,senior high,no
95,female,80,primary,no
91,male,40,university,no
70,female,44,primary,no
42,male,59,junior high,no
44,female,63,master,no
15,female,44,primary,yes
35,male,74,master,yes
49,third,83,university,no
29,male,77,senior high,yes
97,female,47,junior high,no
22,third,61,primary,no
86,female,64,senior high,no
67,male,46,doctor,no
59,female,98,doctor,no
6,female,75,junior high,no
52,third,93,primary,no
83,third,60,doctor,no
60,female,76,university,no
96,third,60,doctor,no
67,male,40,master,no
0,male,98,senior high,no
10,female,84,primary,no
31,female,84,primary,no
8,male,82,master,no
76,third,93,senior high,no
96,third,38,doctor,no
34,male,81,master,yes
64,third,46,senior high,no
61,female,35,master,no
4,third,79,primary,no
4,male,51,doctor,no
28,female,67,senior high,no
57,third,79,junior high,no
11,male,61,junior high,no
73,third,92,master,no
81,male,83,primary,no
20,male,36,primary,yes
50,female,75,junior high,no
69,female,42,senior high,no
1,female,63,doctor,no
35,third,51,doctor,no
97,female,44,university,no
74,male,36,senior high,no
73,third,55,university,no
98,male,92,junior high,no
32,third,87,university,no
30,male,98,senior high,no
84,male,42,senior high,no
56,male,93,primary,no
71,third,60,doctor,no
79,female,64,senior high,no
76,male,62,junior high,no
0,male,56,junior high,no
70,third,62,senior high,no
91,female,57,senior high,no
73,female,81,primary,no
11,female,52,doctor,no
4,female,96,primary,no
69,male,76,senior high,no
82,female,82,university,no
23,third,84,junior high,no
23,male,66,master,yes
56,female,86,university,no
99,male,65,doctor,no
45,third,37,doctor,no
44,female,61,doctor,yes
92,male,35,senior high,no
58,female,51,primary,no
69,male,81,primary,no
97,female,35,senior high,no
17,female,38,senior high,yes
61,third,42,senior high,no
88,female,78,senior high,no
21,female,55,senior high,no
1,third,50,senior high,no
21,third,89,senior high,no
84,male,92,junior high,no
95,third,73,master,no
76,female,83,primary,no
33,male,51,primary,yes
87,male,43,master,no
80,male,40,university,no
20,male,54,master,no
3,male,69,primary,no
80,male,62,junior high,no
38,third,37,master,yes
49,third,82,junior high,no
87,third,56,doctor,no
67,male,84,senior high,no
25,male,99,doctor,no
23,female,57,doctor,no
39,female,86,master,yes
38,third,87,master,yes
70,female,91,master,no
12,male,50,junior high,yes
99,male,37,junior high,no
99,female,81,senior high,no
91,male,39,doctor,no
74,female,62,junior high,no
62,male,49,primary,no
9,male,78,senior high,no
49,male,48,university,no
16,female,74,junior high,no
98,third,62,junior high,no
49,male,45,university,no
11,female,41,senior high,yes
21,female,92,master,yes
77,female,99,master,no
35,female,81,senior high,no
0,third,82,doctor,no
22,male,97,junior high,no
38,third,73,doctor,yes
85,male,90,primary,no
52,male,66,doctor,no
10,male,82,primary,no
15,female,68,university,no
37,female,75,junior high,no
22,third,51,university,no
62,male,79,doctor,no
61,third,57,university,no
80,male,76,doctor,no
38,male,91,senior high,yes
20,third,96,primary,no
95,female,88,senior high,no
2,female,93,senior high,no
75,male,76,university,no
27,third,38,senior high,no
15,male,62,master,no
91,third,38,master,no
7,male,73,primary,no
90,female,58,university,no
2,male,90,primary,no
21,male,46,junior high,no
79,female,56,junior high,no
27,female,61,university,yes
51,third,51,senior high,no
21,male,74,senior high,yes
0,female,37,primary,no
31,male,86,junior high,yes
64,third,44,primary,no
85,female,38,doctor,no
72,male,86,master,no
21,female,63,master,no
20,female,93,senior high,no
60,third,77,junior high,no
72,male,68,master,no
27,third,92,master,yes
33,third,50,doctor,yes
51,female,47,senior high,no
96,third,55,doctor,no
8,male,49,doctor,yes
17,third,85,senior high,yes
65,third,78,master,no
49,female,94,primary,no
48,female,84,primary,no
20,female,56,primary,yes
10,female,44,primary,yes
17,female,51,senior high,no
61,male,56,university,no
68,female,69,junior high,no
8,male,71,senior high,no
79,female,66,junior high,no
8,male,78,doctor,no
18,male,86,primary,no
61,third,53,senior high,no
78,male,37,senior high,no
39,male,78,primary,no
96,female,93,junior high,no
40,male,45,doctor,no
82,male,82,university,no
66,third,94,master,no
42,female,41,junior high,no
54,male,93,university,no
8,male,50,master,yes
36,male,38,master,yes
14,female,83,senior high,no
17,third,91,primary,yes
97,male,49,master,no
7,female,83,master,no
23,male,82,master,yes
80,male,98,master,no
40,third,39,senior high,no
34,female,47,senior high,yes
43,female,59,primary,no
67,third,72,doctor,no
13,third,45,primary,no
2,third,46,master,no
13,male,88,master,no
1,male,71,master,no
88,male,92,primary,no
30,male,50,university,no
46,third,47,master,yes
93,third,51,university,no
23,male,87,senior high,no
29,female,87,master,yes
11,third,95,senior high,no
73,third,67,senior high,no
54,male,42,doctor,no
46,male,87,doctor,no
62,male,65,doctor,no
19,female,91,master,no
33,male,54,doctor,no
65,male,71,master,no
82,female,82,primary,no
66,third,59,university,no
68,male,81,university,no
67,female,74,university,no
13,third,50,university,no
81,female,84,doctor,no
98,male,93,master,no
35,female,87,university,yes
21,female,50,master,yes
93,third,52,senior high,no
34,male,82,master,no
20,female,71,junior high,no
61,male,39,senior high,no
63,male,99,university,no
1,male,80,junior high,no
90,female,77,university,no
29,male,74,senior high,no
2,third,78,university,no
19,male,55,senior high,no
46,male,69,junior high,no
83,third,81,university,no
94,third,45,primary,no
20,male,57,doctor,no
26,third,70,doctor,yes
43,male,42,junior high,no
70,female,51,senior high,no
47,male,78,doctor,no
12,third,75,junior high,no
46,male,46,doctor,yes
48,third,73,junior high,no
85,female,56,primary,no
3,male,48,doctor,no
54,third,98,senior high,no
99,male,65,primary,no
3,male,36,doctor,no
90,female,81,doctor,no
48,female,98,primary,no
64,male,49,university,no
27,third,65,master,no
29,male,47,master,yes
46,male,79,senior high,no
96,male,74,university,no
62,male,81,senior high,no
81,female,70,junior high,no
64,female,89,university,no
39,third,91,senior high,no
37,third,95,university,no
37,female,88,senior high,no
65,third,96,senior high,no
17,third,84,primary,no
95,female,64,junior high,no
96,female,65,doctor,no
35,third,99,master,yes
14,female,73,university,no
69,female,51,senior high,no
75,third,96,junior high,no
78,female,78,doctor,no
44,female,41,primary,no
69,male,43,master,no
70,female,81,senior high,no
73,female,70,junior high,no
8,third,40,university,no
41,male,74,primary,no
93,female,91,master,no
0,female,74,doctor,no
96,third,73,junior high,no
61,male,77,primary,no
2,female,98,senior high,no
9,third,62,doctor,no
94,male,99,master,no
32,male,54,primary,no
88,third,97,doctor,no
90,third,72,senior high,no
92,female,79,university,no
49,third,96,university,no
30,male,44,doctor,yes
88,third,66,junior high,no
13,male,61,master,no
17,male,62,junior high,no
40,third,35,doctor,no
65,third,56,primary,no
42,third,45,doctor,no
11,female,54,doctor,no
59,female,38,junior high,no
1,female,58,doctor,no
54,female,86,doctor,no
26,third,79,senior high,no
28,female,70,university,no
97,female,91,master,no
28,male,66,junior high,no
72,male,75,junior high,no
25,female,50,master,yes
78,male,44,senior high,no
74,third,61,university,no
33,third,48,primary,no
96,female,38,doctor,no
91,female,91,junior high,no
40,male,67,senior high,no
15,third,42,doctor,no
86,female,72,university,no
82,third,97,master,no
74,female,46,university,no
25,third,65,doctor,no
34,male,37,doctor,yes
2,male,62,doctor,no
90,female,66,senior high,no
60,third,64,doctor,no
1,male,69,university,no
34,male,38,doctor,yes
97,female,79,primary,no
64,third,96,university,no
43,female,83,primary,yes
43,third,68,university,no
33,female,84,doctor,no
90,third,57,doctor,no
72,female,89,university,no
75,female,44,university,no
93,female,38,doctor,no
42,third,47,university,no
25,third,85,university,yes
72,third,85,senior high,no
14,third,79,university,no
99,female,66,senior high,no
32,third,94,primary,no
96,female,51,junior high,no
85,female,74,doctor,no
63,female,45,university,no
23,male,88,doctor,yes
1,third,53,university,no
48,third,92,junior high,no
75,female,62,junior high,no
88,female,53,senior high,no
34,male,58,master,yes
25,third,77,primary,no
6,female,97,senior high,no
91,third,53,master,no
47,third,79,junior high,no
83,female,51,master,no
6,female,85,senior high,no
1,male,56,senior high,no
40,female,61,university,yes
82,third,57,junior high,no
57,third,86,junior high,no
44,male,37,doctor,yes
44,female,88,master,yes
49,male,67,senior high,no
60,female,60,senior high,no
90,female,91,senior high,no
44,third,70,master,no
59,female,73,doctor,no
87,male,71,primary,no
97,third,64,master,no
22,third,95,senior high,no
34,male,89,senior high,no
58,third,77,university,no
77,male,66,junior high,no
0,male,68,university,no
9,male,37,doctor,yes
81,third,84,university,no
30,male,65,doctor,yes
8,third,46,doctor,no
2,female,82,master,no
72,male,58,university,no
86,male,91,junior high,no
36,male,44,master,no
62,female,58,doctor,no
14,male,38,junior high,no
8,third,63,junior high,no
5,third,41,junior high,no
40,male,62,university,yes
38,third,66,university,yes
42,female,89,master,no
90,third,77,doctor,no
76,third,40,master,no
21,female,53,university,yes
35,male,37,primary,yes
5,female,69,university,no
82,male,77,primary,no
17,female,45,junior high,yes
71,third,67,senior high,no
96,female,37,senior high,no
31,male,62,university,no
93,third,93,primary,no
8,third,39,junior high,no
91,third,90,master,no
64,female,85,junior high,no
85,male,45,university,no
99,third,42,master,no
88,third,84,junior high,no
11,third,93,junior high,no
94,male,73,master,no
2,third,37,doctor,no
54,male,88,master,no
52,third,37,university,no
96,male,82,doctor,no
30,male,96,master,no
32,female,52,primary,yes
69,female,93,primary,no
43,male,92,university,no
25,female,99,senior high,yes
58,male,50,doctor,no
4,female,92,doctor,no
36,male,84,doctor,yes
82,third,50,senior high,no
45,third,81,master,no
85,third,64,doctor,no
21,female,71,master,no
36,female,83,primary,yes
52,male,91,doctor,no
82,male,76,junior high,no
52,female,60,doctor,no
50,female,36,doctor,no
61,male,89,master,no
31,female,38,primary,yes
22,male,69,junior high,no
28,third,91,primary,no
16,male,83,primary,no
76,female,35,doctor,no
60,female,48,senior high,no
61,male,78,junior high,no
51,third,50,master,no
17,female,82,junior high,no
60,male,93,junior high,no
12,third,49,primary,no
55,third,54,senior high,no
62,male,49,doctor,no
49,male,97,university,no
41,third,86,primary,no
61,third,53,doctor,no
97,third,93,university,no
99,third,35,primary,no
17,third,64,doctor,no
33,third,83,senior high,no
36,third,96,primary,no
79,male,95,master,no
17,male,81,senior high,no
28,third,68,senior high,yes
84,third,72,master,no
11,male,82,master,no
69,female,43,junior high,no
17,male,94,master,no
74,female,63,senior high,no
15,male,71,doctor,no
57,third,85,university,no
20,female,67,junior high,yes
70,male,77,primary,no
7,female,52,senior high,no
21,female,68,university,no
3,male,99,junior high,no
96,third,44,primary,no
33,third,35,senior high,yes
74,male,82,master,no
89,female,92,master,no
62,third,40,junior high,no
55,female,93,senior high,no
61,female,98,senior high,no
15,female,54,senior high,no
18,third,52,senior high,no
28,third,45,university,yes
26,third,61,junior high,yes
46,female,51,university,no
43,female,50,university,no
91,female,38,senior high,no
49,male,39,master,no
23,third,48,primary,no
6,third,90,senior high,no
71,female,70,master,no
83,third,58,doctor,no
48,third,84,university,no
26,female,57,senior high,no
90,female,57,junior high,no
7,female,95,primary,no
45,third,71,master,yes
97,third,65,senior high,no
58,male,51,senior high,no
50,third,65,junior high,no
54,female,96,master,no
77,third,80,junior high,no
19,male,75,master,no
35,male,88,university,no
22,female,59,doctor,yes
82,female,37,master,no
44,third,96,senior high,no
99,male,41,primary,no
83,third,42,senior high,no
28,third,93,master,no
41,female,73,doctor,no
68,third,93,primary,no
25,third,80,senior high,no
17,female,85,senior high,yes
58,female,40,university,no
79,third,74,master,no
62,female,64,doctor,no
42,female,90,senior high,no
40,female,75,university,no
16,male,84,primary,no
72,male,43,senior high,no
39,third,74,university,no
15,male,46,master,no
98,male,40,doctor,no
76,third,51,doctor,no
8,third,54,doctor,no
92,female,98,doctor,no
76,male,89,doctor,no
96,male,57,senior high,no
9,male,67,doctor,no
98,third,64,junior high,no
33,male,38,doctor,yes
42,female,35,university,no
69,third,44,university,no
22,male,71,university,no
73,female,67,master,no
32,male,75,senior high,yes
33,third,85,primary,no
82,third,49,senior high,no
90,third,66,senior high,no
72,male,35,senior high,no
8,third,81,junior high,no
65,female,62,university,no
98,female,54,junior high,no
36,female,53,university,no
24,third,43,doctor,yes
77,female,42,senior high,no
79,female,42,university,no
42,male,74,primary,no
83,male,36,university,no
11,female,40,senior high,yes
21,male,76,doctor,yes
19,male,85,primary,no
69,third,40,master,no
69,third,86,doctor,no
36,female,48,master,no
17,third,99,university,no
50,male,81,junior high,no
5,male,72,primary,no
77,third,38,university,no
20,female,67,primary,yes
18,female,72,doctor,yes
83,female,46,university,no
30,male,49,primary,no
63,female,81,master,no
56,third,72,doctor,no
20,third,38,senior high,no
10,male,87,primary,no
97,male,63,primary,no
13,male,53,senior high,no
50,male,95,senior high,no
87,male,56,doctor,no
52,male,56,junior high,no
79,female,80,junior high,no
90,female,58,master,no
41,female,48,primary,no
59,male,67,doctor,no
24,male,93,university,no
87,third,65,doctor,no
92,third,57,master,no
25,third,45,university,no
7,third,84,senior high,no
42,male,66,master,yes
11,female,39,primary,yes
15,male,93,master,no
74,third,53,junior high,no
89,female,88,senior high,no
90,third,68,master,no
98,third,99,master,no
8,female,35,junior high,no
54,female,89,university,no
71,third,42,university,no
35,third,64,doctor,no
61,female,53,senior high,no
74,male,39,doctor,no
24,third,73,senior high,yes
80,male,46,primary,no
46,male,59,master,yes
6,female,81,master,no
70,male,44,doctor,no
34,female,42,primary,no
75,female,52,university,no
2,third,36,junior high,no
63,male,77,senior high,no
32,female,85,senior high,yes
38,female,98,university,no
22,male,46,university,no
90,male,37,primary,no
50,male,67,senior high,no
35,female,36,junior high,no
97,female,60,senior high,no
58,female,60,junior high,no
77,male,65,doctor,no
12,third,77,university,no
66,female,98,doctor,no
85,female,96,senior high,no
58,third,56,junior high,no
65,male,98,primary,no
48,third,49,junior high,no
64,male,77,senior high,no
91,female,86,doctor,no
10,female,59,doctor,no
71,male,39,master,no
93,male,42,senior high,no
51,female,46,doctor,no
79,male,89,master,no
1,third,68,junior high,no
43,male,96,junior high,no
14,female,59,senior high,no
49,female,36,primary,no
63,third,36,junior high,no
72,female,96,junior high,no
48,male,45,master,no
28,male,75,senior high,no
44,third,56,doctor,no
12,male,37,doctor,yes
59,female,86,senior high,no
36,third,77,master,yes
15,female,54,doctor,no
94,male,43,senior high,no
13,female,78,senior high,no
50,female,81,university,no
96,third,39,primary,no
6,female,88,university,no
30,male,87,senior high,no
34,female,62,doctor,no
23,male,85,senior high,no
21,male,54,primary,yes
37,male,76,primary,no
91,female,80,junior high,no
78,male,91,master,no
6,third,45,master,no
90,male,58,master,no
33,female,83,junior high,no
32,female,78,junior high,yes
69,third,74,junior high,no
45,male,92,primary,no
28,male,60,senior high,no
83,third,56,university,no
94,female,97,senior high,no
3,female,36,master,no
67,male,41,university,no
84,female,87,junior high,no
14,third,63,university,no
31,third,79,master,yes
26,third,84,doctor,yes
17,female,44,doctor,yes
60,male,67,junior high,no
39,third,35,doctor,yes
16,female,89,junior high,yes
68,third,50,senior high,no
39,third,82,senior high,no
16,female,41,primary,yes
49,female,94,senior high,no
55,third,85,senior high,no
72,male,75,doctor,no
55,male,85,master,no
43,third,49,master,no
24,female,38,doctor,no
9,female,38,university,no
58,third,54,university,no
2,male,94,university,no
27,female,43,doctor,yes
36,female,51,junior high,no
38,male,67,university,no
66,male,55,senior high,no
54,female,73,senior high,no
31,male,78,university,yes
86,male,92,doctor,no
53,male,67,junior high,no
86,female,61,doctor,no
43,male,65,primary,no
19,male,47,senior high,no
36,female,41,master,yes
54,third,72,primary,no
69,male,83,doctor,no
39,female,38,university,no
85,female,92,junior high,no
84,female,41,senior high,no
24,third,48,junior high,no
11,male,78,primary,no
19,male,50,doctor,no
12,female,89,master,no
89,male,59,doctor,no
53,female,52,primary,no
93,male,78,university,no
21,male,69,junior high,yes
31,third,45,primary,no
7,male,76,primary,no
3,third,74,university,no
11,male,89,junior high,no
85,male,64,university,no
1,male,67,junior high,no
64,female,78,primary,no
5,male,39,master,no
28,third,74,junior high,no
95,female,72,university,no
98,male,83,junior high,no
15,male,39,senior high,no
81,third,79,junior high,no
83,third,99,university,no
56,female,73,university,no
19,male,47,primary,no
4,third,45,primary,no
88,female,57,junior high,no
8,female,62,senior high,no
54,male,56,university,no
64,third,43,primary,no
36,female,46,doctor,yes
75,female,89,university,no
54,male,64,doctor,no
49,male,54,primary,no
46,third,94,senior high,no
48,male,61,senior high,yes
22,female,88,master,yes
46,third,63,master,yes
42,female,52,university,no
51,female,72,doctor,no
77,female,78,university,no
30,third,48,university,no
72,male,74,junior high,no
59,third,86,primary,no
18,third,45,doctor,no
35,male,53,senior high,no
2,male,85,junior high,no
10,third,91,primary,no
41,female,97,university,no
33,third,42,junior high,no
34,male,61,master,yes
20,third,47,junior high,no
35,female,89,university,yes
37,female,39,senior high,no
11,female,87,university,no
77,female,62,primary,no
81,female,89,senior high,no
36,female,96,university,no
51,third,99,doctor,no
82,third,79,junior high,no
29,female,97,university,no
35,third,44,senior high,no
32,male,72,doctor,yes
86,male,40,master,no
58,third,79,primary,no
70,female,81,junior high,no
2,third,76,master,no
62,third,92,senior high,no
62,female,91,primary,no
13,female,52,junior high,no
93,third,52,junior high,no
52,male,99,primary,no
66,female,90,junior high,no
75,female,74,university,no
58,third,44,doctor,no
90,third,89,primary,no
32,male,59,junior high,no
87,male,98,university,no
22,female,38,junior high,yes
49,third,42,doctor,no
64,female,44,junior high,no
94,third,64,primary,no
84,male,49,junior high,no
64,female,75,master,no
14,male,58,doctor,no
11,female,52,university,no
84,male,36,university,no
39,male,66,primary,no
50,female,41,junior high,yes
89,male,48,university,no
50,male,51,junior high,yes
43,male,90,primary,no
12,third,84,master,no
15,female,70,university,no
43,male,91,university,no
61,male,76,junior high,no
39,male,78,university,no
69,third,91,junior high,no
35,female,86,master,yes
31,third,58,master,yes
82,male,70,junior high,no
81,female,87,senior high,no
33,third,79,doctor,yes
85,third,60,senior high,no
84,third,75,primary,no
73,female,49,senior high,no
20,male,68,university,no
33,third,59,master,no
8,female,52,doctor,no
96,third,75,master,no
41,male,61,senior high,no
80,male,99,university,no
50,female,37,primary,no
47,male,80,junior high,no
18,third,94,senior high,no
57,male,63,doctor,no
77,third,43,doctor,no
43,male,81,junior high,no
2,female,57,university,no
48,male,81,senior high,no
84,third,92,master,no
21,female,56,university,no
50,female,49,junior high,yes
14,female,79,master,no
77,male,94,senior high,no
38,male,43,junior high,no
16,female,37,primary,yes
74,female,57,junior high,no
84,female,56,junior high,no
30,male,84,junior high,yes
43,female,38,master,no
88,female,85,doctor,no
28,female,85,junior high,no
99,male,66,primary,no
80,third,86,junior high,no
6,male,55,junior high,no
