Age,Occupations,Blood group,Weight,Education,Choosed
66,programmer,B,60,primary,no
91,engineer,O,91,master,no
67,engineer,B,41,primary,no
11,chef,O,68,master,no
90,singer,B,61,junior high,no
71,singer,A,96,doctor,no
21,scientest,AB,77,master,no
10,scientest,B,60,senior high,no
9,chef,B,54,junior high,no
46,student,A,99,doctor,no
56,engineer,A,66,senior high,no
42,neet,AB,91,primary,no
41,neet,AB,67,senior high,no
91,singer,B,74,junior high,no
86,singer,B,47,senior high,no
21,chef,O,38,university,yes
42,engineer,B,62,master,yes
2,scientest,AB,68,doctor,no
27,scientest,B,69,doctor,yes
28,chef,O,70,junior high,yes
50,engineer,A,47,senior high,no
16,programmer,A,98,junior high,no
52,engineer,B,75,university,no
24,student,AB,81,university,no
44,engineer,B,59,master,yes
22,teacher,AB,85,primary,no
29,scientest,B,85,junior high,no
49,scientest,O,47,university,no
38,teacher,B,92,doctor,no
11,teacher,B,87,primary,no
55,teacher,O,90,junior high,no
79,singer,A,41,university,no
27,singer,A,67,senior high,no
33,scientest,AB,55,junior high,no
43,chef,O,36,doctor,yes
95,student,B,63,junior high,no
46,scientest,AB,79,junior high,no
84,student,B,62,senior high,no
20,scientest,AB,90,university,no
17,teacher,B,88,primary,no
42,programmer,A,95,master,yes
37,scientest,AB,96,senior high,no
46,singer,B,55,primary,no
39,salesman,B,84,university,no
21,salesman,B,91,junior high,no
12,salesman,AB,77,senior high,no
33,student,B,77,master,no
23,neet,AB,95,junior high,no
8,salesman,A,70,university,no
1,scientest,A,68,junior high,no
39,chef,O,90,university,yes
93,programmer,B,63,primary,no
61,neet,AB,68,university,no
38,scientest,AB,42,junior high,no
87,salesman,B,85,senior high,no
73,salesman,A,43,doctor,no
7,engineer,A,50,primary,no
26,programmer,AB,65,senior high,no
23,programmer,O,45,primary,yes
9,salesman,O,93,master,no
16,neet,A,79,doctor,no
32,neet,A,59,primary,no
97,student,AB,44,senior high,no
18,programmer,B,35,doctor,no
31,chef,O,77,primary,yes
55,teacher,A,91,university,no
40,salesman,AB,56,university,no
49,singer,A,79,junior high,no
57,engineer,AB,35,doctor,no
26,student,O,92,doctor,yes
68,engineer,B,50,junior high,no
76,chef,B,88,primary,no
65,scientest,B,55,university,no
87,neet,AB,44,primary,no
43,salesman,O,47,junior high,no
44,teacher,O,87,university,no
41,student,O,80,junior high,no
52,scientest,AB,40,master,no
92,engineer,A,40,doctor,no
11,teacher,A,38,university,yes
40,salesman,O,39,primary,yes
34,engineer,AB,99,university,no
50,singer,O,49,master,no
89,teacher,AB,79,senior high,no
27,student,B,79,senior high,no
58,salesman,AB,48,primary,no
51,programmer,AB,90,doctor,no
26,chef,AB,46,junior high,yes
68,neet,O,96,junior high,no
6,engineer,B,90,master,no
89,programmer,O,71,senior high,no
63,engineer,AB,62,doctor,no
33,singer,AB,57,university,no
35,singer,O,35,doctor,yes
72,singer,A,95,master,no
19,salesman,B,72,doctor,no
84,chef,B,97,master,no
73,scientest,B,58,doctor,no
35,teacher,O,36,primary,yes
5,programmer,AB,91,junior high,no
39,programmer,O,67,senior high,yes
14,singer,B,35,primary,no
91,teacher,AB,96,senior high,no
1,scientest,AB,79,primary,no
45,engineer,A,91,doctor,yes
44,singer,O,78,doctor,no
92,scientest,A,76,junior high,no
17,programmer,A,75,senior high,no
16,salesman,B,82,university,no
94,chef,O,40,university,no
96,teacher,A,59,master,no
56,singer,O,52,master,no
72,chef,B,84,junior high,no
11,singer,A,76,senior high,no
93,programmer,B,48,junior high,no
84,engineer,AB,42,primary,no
93,singer,O,99,master,no
83,teacher,O,46,senior high,no
7,programmer,AB,51,university,no
76,programmer,B,89,master,no
45,neet,B,84,senior high,no
32,teacher,AB,95,university,no
14,teacher,B,69,doctor,no
33,teacher,O,81,university,yes
55,neet,AB,57,senior high,no
86,chef,B,77,junior high,no
49,singer,A,50,doctor,no
8,teacher,B,37,university,no
13,chef,B,79,junior high,no
73,neet,B,42,junior high,no
70,chef,O,38,primary,no
95,teacher,O,82,primary,no
75,singer,A,52,senior high,no
0,singer,B,65,doctor,no
83,neet,A,50,junior high,no
85,chef,O,86,junior high,no
90,programmer,B,36,junior high,no
48,neet,AB,77,master,no
27,scientest,B,90,university,no
67,programmer,B,51,doctor,no
99,singer,O,76,master,no
32,neet,AB,89,master,no
77,scientest,O,66,doctor,no
66,programmer,B,42,primary,no
29,student,A,60,doctor,no
49,scientest,AB,60,university,no
11,student,AB,63,university,no
50,programmer,A,72,master,yes
28,programmer,B,84,primary,no
21,salesman,AB,35,master,no
71,salesman,AB,58,junior high,no
80,programmer,AB,50,primary,no
38,scientest,A,98,master,yes
73,chef,B,92,senior high,no
56,salesman,A,67,junior high,no
86,chef,O,50,primary,no
7,neet,AB,87,primary,no
70,neet,AB,99,master,no
59,programmer,O,53,university,no
29,chef,O,90,university,yes
38,singer,B,67,primary,no
64,teacher,O,61,doctor,no
64,chef,AB,36,primary,no
39,programmer,A,77,junior high,no
27,teacher,B,84,senior high,no
6,programmer,AB,96,senior high,no
49,chef,AB,42,university,yes
73,chef,O,59,primary,no
69,teacher,B,49,university,no
66,teacher,B,59,doctor,no
64,teacher,AB,38,doctor,no
65,chef,AB,99,doctor,no
56,singer,O,53,doctor,no
80,salesman,A,67,university,no
25,neet,O,72,doctor,yes
66,teacher,A,70,master,no
54,chef,A,47,master,no
55,teacher,O,79,university,no
7,teacher,B,88,senior high,no
25,neet,A,96,university,no
16,singer,O,68,doctor,yes
8,student,O,87,senior high,no
97,student,B,48,senior high,no
93,scientest,A,61,master,no
96,salesman,O,75,master,no
88,neet,AB,42,junior high,no
1,student,B,43,primary,no
35,singer,B,47,university,no
78,singer,AB,52,primary,no
30,neet,B,37,university,no
24,teacher,B,60,primary,no
59,student,B,90,primary,no
61,teacher,B,76,doctor,no
83,salesman,A,86,junior high,no
62,scientest,B,65,senior high,no
74,programmer,AB,72,senior high,no
47,chef,B,90,junior high,yes
42,chef,O,57,senior high,yes
72,singer,AB,57,doctor,no
38,engineer,O,50,master,yes
53,chef,A,99,master,no
64,teacher,AB,62,junior high,no
13,singer,B,51,primary,no
22,chef,B,71,master,yes
8,teacher,O,40,doctor,no
51,neet,B,40,senior high,no
90,student,O,52,junior high,no
60,student,A,76,doctor,no
3,teacher,B,95,master,no
85,chef,B,52,doctor,no
72,singer,A,65,junior high,no
67,salesman,B,93,master,no
24,chef,A,51,master,yes
91,engineer,AB,70,senior high,no
95,teacher,AB,73,junior high,no
54,programmer,O,78,university,no
60,student,B,87,senior high,no
15,salesman,O,52,senior high,no
15,programmer,AB,39,master,no
50,neet,AB,57,master,no
7,neet,A,48,university,no
61,chef,O,96,university,no
19,chef,AB,91,junior high,yes
50,teacher,B,40,master,no
27,student,O,39,doctor,yes
79,teacher,AB,58,senior high,no
39,salesman,A,83,junior high,no
9,salesman,AB,43,doctor,no
94,programmer,AB,77,junior high,no
25,singer,A,46,junior high,no
24,scientest,O,78,master,yes
23,singer,O,82,senior high,yes
96,singer,O,62,doctor,no
74,student,A,87,master,no
58,student,B,35,doctor,no
68,chef,O,90,master,no
94,salesman,A,60,doctor,no
41,student,B,37,junior high,no
13,scientest,B,52,doctor,no
27,scientest,AB,40,junior high,no
69,teacher,AB,43,master,no
97,teacher,O,38,primary,no
59,singer,AB,66,master,no
57,chef,B,35,university,no
86,teacher,A,36,master,no
41,salesman,A,56,university,no
94,programmer,B,47,master,no
90,salesman,A,87,doctor,no
78,singer,O,65,doctor,no
11,singer,B,62,master,no
41,programmer,A,60,senior high,no
64,programmer,AB,73,doctor,no
85,singer,AB,77,university,no
70,singer,AB,55,primary,no
48,neet,AB,36,doctor,no
58,singer,AB,99,senior high,no
78,teacher,O,47,university,no
16,programmer,O,86,university,yes
72,engineer,B,56,senior high,no
25,chef,O,43,university,yes
52,engineer,B,47,university,no
53,programmer,AB,85,senior high,no
86,programmer,A,54,university,no
26,student,B,56,senior high,no
68,engineer,O,55,master,no
17,student,B,46,senior high,no
12,singer,A,52,master,no
59,student,A,74,junior high,no
9,scientest,O,58,senior high,no
20,salesman,AB,88,university,no
33,chef,B,48,junior high,yes
51,engineer,A,93,university,no
97,salesman,B,97,senior high,no
0,programmer,A,94,junior high,no
0,chef,A,94,senior high,no
95,scientest,A,48,university,no
24,scientest,O,67,senior high,yes
28,teacher,A,65,senior high,no
17,chef,A,49,junior high,no
81,teacher,AB,52,master,no
42,salesman,O,43,junior high,no
19,scientest,O,43,master,yes
25,neet,A,92,university,no
37,teacher,A,72,senior high,no
39,neet,B,71,master,no
44,student,B,78,doctor,no
65,singer,O,54,senior high,no
95,programmer,AB,85,primary,no
10,neet,O,71,master,no
13,salesman,A,53,doctor,no
79,student,O,49,primary,no
82,programmer,A,86,senior high,no
33,singer,A,80,junior high,no
65,teacher,B,72,primary,no
6,chef,O,99,primary,no
58,programmer,AB,79,university,no
58,programmer,O,79,primary,no
35,chef,A,51,primary,yes
54,salesman,B,93,senior high,no
25,programmer,AB,62,university,no
30,engineer,AB,93,master,yes
58,teacher,A,85,senior high,no
1,neet,B,95,junior high,no
25,singer,A,97,doctor,no
78,engineer,O,36,senior high,no
40,chef,AB,88,junior high,yes
84,salesman,AB,36,master,no
51,scientest,A,99,senior high,no
95,student,O,80,primary,no
91,student,A,40,university,no
70,chef,B,44,primary,no
42,student,A,59,junior high,no
44,salesman,A,63,master,no
15,salesman,O,44,primary,yes
35,student,O,74,master,yes
49,student,AB,83,university,no
29,salesman,O,77,senior high,yes
97,singer,A,47,junior high,no
22,student,B,61,primary,no
86,chef,A,64,senior high,no
67,chef,A,46,doctor,no
59,student,O,98,doctor,no
6,engineer,B,75,junior high,no
52,neet,B,93,primary,no
83,neet,B,60,doctor,no
60,singer,AB,76,university,no
96,salesman,B,60,doctor,no
67,engineer,AB,40,master,no
0,scientest,A,98,senior high,no
10,chef,B,84,primary,no
31,engineer,AB,84,primary,no
8,chef,AB,82,master,no
76,neet,O,93,senior high,no
96,engineer,A,38,doctor,no
34,teacher,O,81,master,yes
64,salesman,A,46,senior high,no
61,neet,B,35,master,no
4,salesman,A,79,primary,no
4,engineer,O,51,doctor,no
28,engineer,A,67,senior high,no
57,scientest,B,79,junior high,no
11,chef,O,61,junior high,no
73,student,B,92,master,no
81,salesman,AB,83,primary,no
20,student,O,36,primary,yes
50,engineer,B,75,junior high,no
69,scientest,B,42,senior high,no
1,neet,A,63,doctor,no
35,salesman,B,51,doctor,no
97,teacher,AB,44,university,no
74,singer,O,36,senior high,no
73,scientest,AB,55,university,no
98,student,AB,92,junior high,no
32,programmer,A,87,university,no
30,salesman,AB,98,senior high,no
84,teacher,O,42,senior high,no
56,teacher,O,93,primary,no
71,chef,B,60,doctor,no
79,singer,AB,64,senior high,no
76,student,B,62,junior high,no
0,teacher,O,56,junior high,no
70,singer,O,62,senior high,no
91,chef,A,57,senior high,no
73,singer,A,81,primary,no
11,singer,A,52,doctor,no
4,neet,AB,96,primary,no
69,engineer,O,76,senior high,no
82,neet,A,82,university,no
23,scientest,AB,84,junior high,no
23,engineer,AB,66,master,yes
56,neet,A,86,university,no
99,student,O,65,doctor,no
45,teacher,O,37,doctor,no
44,engineer,B,61,doctor,yes
92,chef,AB,35,senior high,no
58,chef,B,51,primary,no
69,programmer,AB,81,primary,no
97,scientest,AB,35,senior high,no
17,programmer,A,38,senior high,yes
61,teacher,O,42,senior high,no
88,student,AB,78,senior high,no
21,neet,B,55,senior high,no
1,student,A,50,senior high,no
21,student,B,89,senior high,no
84,salesman,AB,92,junior high,no
95,scientest,O,73,master,no
76,engineer,AB,83,primary,no
33,scientest,O,51,primary,yes
87,chef,AB,43,master,no
80,neet,AB,40,university,no
20,programmer,AB,54,master,no
3,student,A,69,primary,no
80,scientest,O,62,junior high,no
38,programmer,B,37,master,yes
49,singer,AB,82,junior high,no
87,neet,B,56,doctor,no
67,programmer,A,84,senior high,no
25,singer,AB,99,doctor,no
23,student,AB,57,doctor,no
39,chef,O,86,master,yes
38,chef,O,87,master,yes
70,teacher,AB,91,master,no
12,engineer,AB,50,junior high,yes
99,programmer,A,37,junior high,no
99,singer,AB,81,senior high,no
91,student,A,39,doctor,no
74,student,A,62,junior high,no
62,teacher,B,49,primary,no
9,singer,O,78,senior high,no
49,scientest,AB,48,university,no
16,engineer,AB,74,junior high,no
98,teacher,A,62,junior high,no
49,scientest,B,45,university,no
11,scientest,B,41,senior high,yes
21,chef,A,92,master,yes
77,salesman,AB,99,master,no
35,student,B,81,senior high,no
0,teacher,O,82,doctor,no
22,salesman,B,97,junior high,no
38,teacher,O,73,doctor,yes
85,student,A,90,primary,no
52,programmer,A,66,doctor,no
10,salesman,A,82,primary,no
15,chef,O,68,university,no
37,student,AB,75,junior high,no
22,student,B,51,university,no
62,singer,O,79,doctor,no
61,engineer,O,57,university,no
80,chef,O,76,doctor,no
38,programmer,O,91,senior high,yes
20,neet,A,96,primary,no
95,neet,AB,88,senior high,no
2,programmer,A,93,senior high,no
75,teacher,B,76,university,no
27,neet,AB,38,senior high,no
15,programmer,AB,62,master,no
91,neet,B,38,master,no
7,singer,AB,73,primary,no
90,teacher,B,58,university,no
2,neet,B,90,primary,no
21,scientest,AB,46,junior high,no
79,salesman,O,56,junior high,no
27,singer,O,61,university,yes
51,student,O,51,senior high,no
21,student,O,74,senior high,yes
0,student,O,37,primary,no
31,singer,O,86,junior high,yes
64,neet,AB,44,primary,no
85,salesman,A,38,doctor,no
72,salesman,O,86,master,no
21,singer,B,63,master,no
20,engineer,A,93,senior high,no
60,engineer,O,77,junior high,no
72,student,A,68,master,no
27,engineer,O,92,master,yes
33,neet,O,50,doctor,yes
51,scientest,A,47,senior high,no
96,engineer,AB,55,doctor,no
8,salesman,O,49,doctor,yes
17,chef,O,85,senior high,yes
65,engineer,B,78,master,no
49,singer,B,94,primary,no
48,teacher,A,84,primary,no
20,scientest,O,56,primary,yes
10,student,B,44,primary,yes
17,teacher,AB,51,senior high,no
61,programmer,B,56,university,no
68,engineer,B,69,junior high,no
8,neet,AB,71,senior high,no
79,engineer,O,66,junior high,no
8,student,A,78,doctor,no
18,student,AB,86,primary,no
61,student,O,53,senior high,no
78,teacher,B,37,senior high,no
39,programmer,AB,78,primary,no
96,student,AB,93,junior high,no
40,neet,A,45,doctor,no
82,chef,A,82,university,no
66,programmer,O,94,master,no
42,salesman,A,41,junior high,no
54,student,A,93,university,no
8,engineer,O,50,master,yes
36,programmer,B,38,master,yes
14,engineer,AB,83,senior high,no
17,singer,O,91,primary,yes
97,programmer,A,49,master,no
7,scientest,B,83,master,no
23,programmer,AB,82,master,yes
80,engineer,AB,98,master,no
40,neet,AB,39,senior high,no
34,programmer,O,47,senior high,yes
43,scientest,A,59,primary,no
67,programmer,O,72,doctor,no
13,salesman,AB,45,primary,no
2,singer,AB,46,master,no
13,student,AB,88,master,no
1,chef,AB,71,master,no
88,teacher,O,92,primary,no
30,teacher,B,50,university,no
46,chef,B,47,master,yes
93,teacher,B,51,university,no
23,singer,B,87,senior high,no
29,salesman,O,87,master,yes
11,singer,AB,95,senior high,no
73,chef,O,67,senior high,no
54,neet,O,42,doctor,no
46,teacher,A,87,doctor,no
62,singer,O,65,doctor,no
19,salesman,AB,91,master,no
33,neet,AB,54,doctor,no
65,salesman,A,71,master,no
82,singer,AB,82,primary,no
66,programmer,AB,59,university,no
68,scientest,O,81,university,no
67,engineer,B,74,university,no
13,student,A,50,university,no
81,neet,B,84,doctor,no
98,engineer,A,93,master,no
35,programmer,O,87,university,yes
21,chef,A,50,master,yes
93,singer,A,52,senior high,no
34,salesman,A,82,master,no
20,singer,B,71,junior high,no
61,singer,O,39,senior high,no
63,neet,A,99,university,no
1,scientest,A,80,junior high,no
90,neet,AB,77,university,no
29,neet,B,74,senior high,no
2,singer,AB,78,university,no
19,salesman,B,55,senior high,no
46,salesman,B,69,junior high,no
83,singer,O,81,university,no
94,scientest,B,45,primary,no
20,scientest,AB,57,doctor,no
26,chef,A,70,doctor,yes
43,neet,O,42,junior high,no
70,chef,AB,51,senior high,no
47,salesman,AB,78,doctor,no
12,chef,B,75,junior high,no
46,scientest,AB,46,doctor,yes
48,singer,B,73,junior high,no
85,engineer,AB,56,primary,no
3,singer,AB,48,doctor,no
54,neet,O,98,senior high,no
99,salesman,B,65,primary,no
3,chef,AB,36,doctor,no
90,singer,B,81,doctor,no
48,engineer,O,98,primary,no
64,singer,AB,49,university,no
27,salesman,B,65,master,no
29,engineer,O,47,master,yes
46,scientest,B,79,senior high,no
96,teacher,AB,74,university,no
62,engineer,A,81,senior high,no
81,engineer,A,70,junior high,no
64,singer,A,89,university,no
39,singer,B,91,senior high,no
37,programmer,A,95,university,no
37,neet,A,88,senior high,no
65,student,O,96,senior high,no
17,salesman,AB,84,primary,no
95,teacher,A,64,junior high,no
96,chef,AB,65,doctor,no
35,scientest,O,99,master,yes
14,chef,A,73,university,no
69,salesman,A,51,senior high,no
75,teacher,A,96,junior high,no
78,singer,A,78,doctor,no
44,programmer,A,41,primary,no
69,scientest,B,43,master,no
70,singer,A,81,senior high,no
73,singer,B,70,junior high,no
8,teacher,B,40,university,no
41,programmer,O,74,primary,no
93,neet,A,91,master,no
0,salesman,AB,74,doctor,no
96,programmer,B,73,junior high,no
61,teacher,A,77,primary,no
2,teacher,A,98,senior high,no
9,programmer,B,62,doctor,no
94,salesman,AB,99,master,no
32,neet,B,54,primary,no
88,salesman,AB,97,doctor,no
90,neet,AB,72,senior high,no
92,programmer,AB,79,university,no
49,teacher,A,96,university,no
30,scientest,A,44,doctor,yes
88,chef,AB,66,junior high,no
13,singer,B,61,master,no
17,neet,A,62,junior high,no
40,salesman,AB,35,doctor,no
65,salesman,A,56,primary,no
42,teacher,AB,45,doctor,no
11,singer,AB,54,doctor,no
59,salesman,O,38,junior high,no
1,neet,B,58,doctor,no
54,scientest,O,86,doctor,no
26,student,A,79,senior high,no
28,engineer,AB,70,university,no
97,engineer,AB,91,master,no
28,student,AB,66,junior high,no
72,neet,A,75,junior high,no
25,programmer,O,50,master,yes
78,engineer,O,44,senior high,no
74,teacher,B,61,university,no
33,engineer,AB,48,primary,no
96,engineer,O,38,doctor,no
91,teacher,AB,91,junior high,no
40,student,AB,67,senior high,no
15,chef,B,42,doctor,no
86,teacher,AB,72,university,no
82,singer,O,97,master,no
74,engineer,A,46,university,no
25,salesman,B,65,doctor,no
34,student,O,37,doctor,yes
2,scientest,O,62,doctor,no
90,neet,AB,66,senior high,no
60,salesman,B,64,doctor,no
1,salesman,A,69,university,no
34,neet,O,38,doctor,yes
97,scientest,A,79,primary,no
64,programmer,AB,96,university,no
43,chef,O,83,primary,yes
43,scientest,AB,68,university,no
33,teacher,AB,84,doctor,no
90,teacher,O,57,doctor,no
72,teacher,AB,89,university,no
75,student,A,44,university,no
93,engineer,A,38,doctor,no
42,salesman,AB,47,university,no
25,neet,O,85,university,yes
72,engineer,AB,85,senior high,no
14,neet,B,79,university,no
99,programmer,B,66,senior high,no
32,programmer,A,94,primary,no
96,singer,B,51,junior high,no
85,neet,A,74,doctor,no
63,chef,A,45,university,no
23,student,O,88,doctor,yes
1,singer,B,53,university,no
48,programmer,A,92,junior high,no
75,singer,O,62,junior high,no
88,engineer,A,53,senior high,no
34,singer,O,58,master,yes
25,teacher,B,77,primary,no
6,singer,AB,97,senior high,no
91,scientest,O,53,master,no
47,student,A,79,junior high,no
83,salesman,A,51,master,no
6,scientest,O,85,senior high,no
1,scientest,AB,56,senior high,no
40,engineer,O,61,university,yes
82,engineer,AB,57,junior high,no
57,singer,O,86,junior high,no
44,chef,AB,37,doctor,yes
44,engineer,A,88,master,yes
49,engineer,B,67,senior high,no
60,teacher,AB,60,senior high,no
90,programmer,O,91,senior high,no
44,salesman,O,70,master,no
59,student,A,73,doctor,no
87,neet,A,71,primary,no
97,salesman,A,64,master,no
22,scientest,A,95,senior high,no
34,scientest,B,89,senior high,no
58,student,AB,77,university,no
77,student,AB,66,junior high,no
0,teacher,AB,68,university,no
9,singer,AB,37,doctor,yes
81,scientest,O,84,university,no
30,engineer,AB,65,doctor,yes
8,chef,A,46,doctor,no
2,student,AB,82,master,no
72,singer,A,58,university,no
86,chef,B,91,junior high,no
36,neet,A,44,master,no
62,teacher,B,58,doctor,no
14,chef,B,38,junior high,no
8,student,A,63,junior high,no
5,programmer,O,41,junior high,no
40,programmer,O,62,university,yes
38,chef,O,66,university,yes
42,student,A,89,master,no
90,scientest,B,77,doctor,no
76,programmer,AB,40,master,no
21,scientest,O,53,university,yes
35,engineer,O,37,primary,yes
5,salesman,AB,69,university,no
82,programmer,A,77,primary,no
17,programmer,AB,45,junior high,yes
71,singer,B,67,senior high,no
96,teacher,A,37,senior high,no
31,teacher,B,62,university,no
93,singer,A,93,primary,no
8,programmer,AB,39,junior high,no
91,chef,O,90,master,no
64,neet,A,85,junior high,no
85,singer,A,45,university,no
99,salesman,A,42,master,no
88,neet,A,84,junior high,no
11,engineer,O,93,junior high,no
94,neet,AB,73,master,no
2,teacher,A,37,doctor,no
54,teacher,B,88,master,no
52,programmer,AB,37,university,no
96,chef,AB,82,doctor,no
30,teacher,AB,96,master,no
32,chef,AB,52,primary,yes
69,salesman,A,93,primary,no
43,salesman,AB,92,university,no
25,chef,A,99,senior high,yes
58,chef,B,50,doctor,no
4,student,B,92,doctor,no
36,chef,AB,84,doctor,yes
82,salesman,B,50,senior high,no
45,teacher,O,81,master,no
85,scientest,O,64,doctor,no
21,programmer,B,71,master,no
36,teacher,O,83,primary,yes
52,singer,O,91,doctor,no
82,singer,A,76,junior high,no
52,student,A,60,doctor,no
50,neet,B,36,doctor,no
61,teacher,O,89,master,no
31,chef,O,38,primary,yes
22,singer,AB,69,junior high,no
28,student,AB,91,primary,no
16,scientest,A,83,primary,no
76,programmer,AB,35,doctor,no
60,chef,B,48,senior high,no
61,programmer,B,78,junior high,no
51,singer,B,50,master,no
17,salesman,B,82,junior high,no
60,singer,O,93,junior high,no
12,engineer,AB,49,primary,no
55,engineer,A,54,senior high,no
62,teacher,AB,49,doctor,no
49,engineer,A,97,university,no
41,scientest,B,86,primary,no
61,chef,B,53,doctor,no
97,engineer,B,93,university,no
99,singer,AB,35,primary,no
17,student,B,64,doctor,no
33,salesman,B,83,senior high,no
36,engineer,AB,96,primary,no
79,engineer,O,95,master,no
17,teacher,B,81,senior high,no
28,singer,O,68,senior high,yes
84,teacher,A,72,master,no
11,singer,AB,82,master,no
69,salesman,AB,43,junior high,no
17,student,B,94,master,no
74,student,B,63,senior high,no
15,chef,O,71,doctor,no
57,singer,A,85,university,no
20,student,O,67,junior high,yes
70,salesman,A,77,primary,no
7,singer,A,52,senior high,no
21,teacher,AB,68,university,no
3,scientest,A,99,junior high,no
96,scientest,AB,44,primary,no
33,engineer,O,35,senior high,yes
74,engineer,AB,82,master,no
89,salesman,A,92,master,no
62,salesman,B,40,junior high,no
55,chef,O,93,senior high,no
61,engineer,A,98,senior high,no
15,engineer,AB,54,senior high,no
18,salesman,B,52,senior high,no
28,engineer,O,45,university,yes
26,student,O,61,junior high,yes
46,engineer,O,51,university,no
43,singer,O,50,university,no
91,teacher,B,38,senior high,no
49,singer,AB,39,master,no
23,salesman,B,48,primary,no
6,teacher,A,90,senior high,no
71,engineer,AB,70,master,no
83,engineer,AB,58,doctor,no
48,teacher,O,84,university,no
26,neet,B,57,senior high,no
90,salesman,A,57,junior high,no
7,engineer,O,95,primary,no
45,chef,A,71,master,yes
97,programmer,B,65,senior high,no
58,singer,O,51,senior high,no
50,engineer,O,65,junior high,no
54,chef,O,96,master,no
77,teacher,B,80,junior high,no
19,student,B,75,master,no
35,student,B,88,university,no
22,chef,O,59,doctor,yes
82,teacher,O,37,master,no
44,engineer,AB,96,senior high,no
99,neet,AB,41,primary,no
83,student,O,42,senior high,no
28,student,AB,93,master,no
41,teacher,O,73,doctor,no
68,student,A,93,primary,no
25,student,B,80,senior high,no
17,engineer,O,85,senior high,yes
58,singer,O,40,university,no
79,programmer,A,74,master,no
62,scientest,O,64,doctor,no
42,neet,B,90,senior high,no
40,student,A,75,university,no
16,student,A,84,primary,no
72,neet,O,43,senior high,no
39,neet,AB,74,university,no
15,scientest,O,46,master,no
98,chef,A,40,doctor,no
76,engineer,O,51,doctor,no
8,chef,B,54,doctor,no
92,salesman,B,98,doctor,no
76,salesman,AB,89,doctor,no
96,programmer,O,57,senior high,no
9,salesman,B,67,doctor,no
98,teacher,O,64,junior high,no
