Gender,Occupations,Blood group,Weight,Education,Choosed
third,scientest,B,97,senior high,no
third,scientest,A,42,senior high,no
female,student,AB,58,university,no
third,teacher,AB,79,doctor,no
male,scientest,AB,61,doctor,no
female,scientest,AB,91,university,no
female,neet,O,81,junior high,no
third,programmer,B,65,master,no
male,teacher,A,36,master,no
male,singer,O,68,junior high,no
male,chef,AB,81,university,yes
third,teacher,B,65,junior high,no
female,singer,AB,94,master,no
male,neet,O,54,doctor,no
female,teacher,AB,98,doctor,no
third,chef,B,38,senior high,yes
male,engineer,AB,93,doctor,no
male,student,AB,81,doctor,no
female,programmer,AB,85,primary,no
third,teacher,O,45,senior high,yes
male,neet,O,79,primary,no
male,chef,A,76,university,yes
third,neet,AB,85,junior high,no
female,programmer,A,70,primary,no
male,neet,O,76,university,no
female,singer,A,47,university,no
third,chef,A,38,doctor,no
female,student,B,77,university,no
male,teacher,AB,73,primary,no
third,neet,AB,38,master,no
male,chef,AB,88,junior high,no
third,neet,B,77,master,no
third,teacher,O,90,junior high,yes
male,teacher,O,47,doctor,no
female,teacher,AB,70,primary,no
male,engineer,B,52,junior high,no
male,engineer,AB,76,primary,no
female,student,O,84,primary,no
third,teacher,A,58,doctor,no
third,programmer,B,60,primary,no
third,engineer,O,91,master,no
third,engineer,B,41,primary,no
third,chef,O,68,master,no
third,singer,B,61,junior high,no
male,singer,A,96,doctor,no
male,scientest,AB,77,master,no
male,scientest,B,60,senior high,no
female,chef,B,54,junior high,no
third,student,A,99,doctor,no
female,engineer,A,66,senior high,no
female,neet,AB,91,primary,no
female,neet,AB,67,senior high,no
female,singer,B,74,junior high,no
female,singer,B,47,senior high,no
male,chef,O,38,university,yes
male,engineer,B,62,master,yes
female,scientest,AB,68,doctor,no
female,scientest,B,69,doctor,yes
male,chef,O,70,junior high,yes
female,engineer,A,47,senior high,no
female,programmer,A,98,junior high,no
third,engineer,B,75,university,no
third,student,AB,81,university,no
male,engineer,B,59,master,yes
male,teacher,AB,85,primary,no
male,scientest,B,85,junior high,no
male,scientest,O,47,university,no
male,teacher,B,92,doctor,no
male,teacher,B,87,primary,no
third,teacher,O,90,junior high,no
female,singer,A,41,university,no
male,singer,A,67,senior high,no
male,scientest,AB,55,junior high,no
third,chef,O,36,doctor,yes
male,student,B,63,junior high,no
male,scientest,AB,79,junior high,no
third,student,B,62,senior high,no
third,scientest,AB,90,university,no
third,teacher,B,88,primary,no
third,programmer,A,95,master,yes
third,scientest,AB,96,senior high,no
male,singer,B,55,primary,no
male,salesman,B,84,university,no
third,salesman,B,91,junior high,no
female,salesman,AB,77,senior high,no
third,student,B,77,master,no
female,neet,AB,95,junior high,no
third,salesman,A,70,university,no
female,scientest,A,68,junior high,no
male,chef,O,90,university,yes
male,programmer,B,63,primary,no
third,neet,AB,68,university,no
male,scientest,AB,42,junior high,no
third,salesman,B,85,senior high,no
male,salesman,A,43,doctor,no
female,engineer,A,50,primary,no
female,programmer,AB,65,senior high,no
male,programmer,O,45,primary,yes
female,salesman,O,93,master,no
male,neet,A,79,doctor,no
female,neet,A,59,primary,no
male,student,AB,44,senior high,no
male,programmer,B,35,doctor,no
third,chef,O,77,primary,yes
female,teacher,A,91,university,no
male,salesman,AB,56,university,no
third,singer,A,79,junior high,no
male,engineer,AB,35,doctor,no
male,student,O,92,doctor,yes
male,engineer,B,50,junior high,no
third,chef,B,88,primary,no
male,scientest,B,55,university,no
third,neet,AB,44,primary,no
third,salesman,O,47,junior high,no
third,teacher,O,87,university,no
male,student,O,80,junior high,no
male,scientest,AB,40,master,no
male,engineer,A,40,doctor,no
male,teacher,A,38,university,yes
third,salesman,O,39,primary,yes
third,engineer,AB,99,university,no
female,singer,O,49,master,no
third,teacher,AB,79,senior high,no
female,student,B,79,senior high,no
male,salesman,AB,48,primary,no
third,programmer,AB,90,doctor,no
third,chef,AB,46,junior high,yes
third,neet,O,96,junior high,no
male,engineer,B,90,master,no
third,programmer,O,71,senior high,no
third,engineer,AB,62,doctor,no
female,singer,AB,57,university,no
female,singer,O,35,doctor,yes
male,singer,A,95,master,no
male,salesman,B,72,doctor,no
third,chef,B,97,master,no
female,scientest,B,58,doctor,no
female,teacher,O,36,primary,yes
female,programmer,AB,91,junior high,no
third,programmer,O,67,senior high,yes
male,singer,B,35,primary,no
female,teacher,AB,96,senior high,no
female,scientest,AB,79,primary,no
male,engineer,A,91,doctor,yes
male,singer,O,78,doctor,no
male,scientest,A,76,junior high,no
female,programmer,A,75,senior high,no
male,salesman,B,82,university,no
third,chef,O,40,university,no
third,teacher,A,59,master,no
female,singer,O,52,master,no
third,chef,B,84,junior high,no
female,singer,A,76,senior high,no
female,programmer,B,48,junior high,no
third,engineer,AB,42,primary,no
female,singer,O,99,master,no
female,teacher,O,46,senior high,no
third,programmer,AB,51,university,no
male,programmer,B,89,master,no
male,neet,B,84,senior high,no
female,teacher,AB,95,university,no
female,teacher,B,69,doctor,no
third,teacher,O,81,university,yes
third,neet,AB,57,senior high,no
female,chef,B,77,junior high,no
female,singer,A,50,doctor,no
female,teacher,B,37,university,no
male,chef,B,79,junior high,no
female,neet,B,42,junior high,no
third,chef,O,38,primary,no
third,teacher,O,82,primary,no
male,singer,A,52,senior high,no
third,singer,B,65,doctor,no
third,neet,A,50,junior high,no
female,chef,O,86,junior high,no
third,programmer,B,36,junior high,no
third,neet,AB,77,master,no
male,scientest,B,90,university,no
third,programmer,B,51,doctor,no
female,singer,O,76,master,no
female,neet,AB,89,master,no
male,scientest,O,66,doctor,no
third,programmer,B,42,primary,no
male,student,A,60,doctor,no
male,scientest,AB,60,university,no
third,student,AB,63,university,no
male,programmer,A,72,master,yes
male,programmer,B,84,primary,no
female,salesman,AB,35,master,no
male,salesman,AB,58,junior high,no
female,programmer,AB,50,primary,no
female,scientest,A,98,master,yes
female,chef,B,92,senior high,no
male,salesman,A,67,junior high,no
female,chef,O,50,primary,no
male,neet,AB,87,primary,no
third,neet,AB,99,master,no
female,programmer,O,53,university,no
female,chef,O,90,university,yes
male,singer,B,67,primary,no
female,teacher,O,61,doctor,no
female,chef,AB,36,primary,no
female,programmer,A,77,junior high,no
female,teacher,B,84,senior high,no
female,programmer,AB,96,senior high,no
male,chef,AB,42,university,yes
male,chef,O,59,primary,no
male,teacher,B,49,university,no
third,teacher,B,59,doctor,no
male,teacher,AB,38,doctor,no
male,chef,AB,99,doctor,no
third,singer,O,53,doctor,no
female,salesman,A,67,university,no
male,neet,O,72,doctor,yes
male,teacher,A,70,master,no
male,chef,A,47,master,no
third,teacher,O,79,university,no
male,teacher,B,88,senior high,no
female,neet,A,96,university,no
male,singer,O,68,doctor,yes
female,student,O,87,senior high,no
female,student,B,48,senior high,no
male,scientest,A,61,master,no
third,salesman,O,75,master,no
female,neet,AB,42,junior high,no
female,student,B,43,primary,no
female,singer,B,47,university,no
female,singer,AB,52,primary,no
female,neet,B,37,university,no
third,teacher,B,60,primary,no
third,student,B,90,primary,no
female,teacher,B,76,doctor,no
male,salesman,A,86,junior high,no
female,scientest,B,65,senior high,no
female,programmer,AB,72,senior high,no
female,chef,B,90,junior high,yes
third,chef,O,57,senior high,yes
female,singer,AB,57,doctor,no
female,engineer,O,50,master,yes
third,chef,A,99,master,no
female,teacher,AB,62,junior high,no
male,singer,B,51,primary,no
male,chef,B,71,master,yes
third,teacher,O,40,doctor,no
third,neet,B,40,senior high,no
third,student,O,52,junior high,no
third,student,A,76,doctor,no
female,teacher,B,95,master,no
female,chef,B,52,doctor,no
female,singer,A,65,junior high,no
third,salesman,B,93,master,no
male,chef,A,51,master,yes
male,engineer,AB,70,senior high,no
male,teacher,AB,73,junior high,no
male,programmer,O,78,university,no
third,student,B,87,senior high,no
male,salesman,O,52,senior high,no
third,programmer,AB,39,master,no
third,neet,AB,57,master,no
male,neet,A,48,university,no
female,chef,O,96,university,no
male,chef,AB,91,junior high,yes
third,teacher,B,40,master,no
third,student,O,39,doctor,yes
third,teacher,AB,58,senior high,no
third,salesman,A,83,junior high,no
female,salesman,AB,43,doctor,no
male,programmer,AB,77,junior high,no
male,singer,A,46,junior high,no
female,scientest,O,78,master,yes
third,singer,O,82,senior high,yes
female,singer,O,62,doctor,no
male,student,A,87,master,no
male,student,B,35,doctor,no
male,chef,O,90,master,no
third,salesman,A,60,doctor,no
third,student,B,37,junior high,no
female,scientest,B,52,doctor,no
female,scientest,AB,40,junior high,no
male,teacher,AB,43,master,no
male,teacher,O,38,primary,no
female,singer,AB,66,master,no
male,chef,B,35,university,no
male,teacher,A,36,master,no
male,salesman,A,56,university,no
male,programmer,B,47,master,no
female,salesman,A,87,doctor,no
male,singer,O,65,doctor,no
third,singer,B,62,master,no
third,programmer,A,60,senior high,no
male,programmer,AB,73,doctor,no
third,singer,AB,77,university,no
male,singer,AB,55,primary,no
female,neet,AB,36,doctor,no
male,singer,AB,99,senior high,no
third,teacher,O,47,university,no
male,programmer,O,86,university,yes
female,engineer,B,56,senior high,no
male,chef,O,43,university,yes
female,engineer,B,47,university,no
third,programmer,AB,85,senior high,no
third,programmer,A,54,university,no
third,student,B,56,senior high,no
female,engineer,O,55,master,no
third,student,B,46,senior high,no
male,singer,A,52,master,no
female,student,A,74,junior high,no
male,scientest,O,58,senior high,no
third,salesman,AB,88,university,no
male,chef,B,48,junior high,yes
third,engineer,A,93,university,no
female,salesman,B,97,senior high,no
third,programmer,A,94,junior high,no
third,chef,A,94,senior high,no
third,scientest,A,48,university,no
third,scientest,O,67,senior high,yes
female,teacher,A,65,senior high,no
male,chef,A,49,junior high,no
male,teacher,AB,52,master,no
female,salesman,O,43,junior high,no
female,scientest,O,43,master,yes
male,neet,A,92,university,no
third,teacher,A,72,senior high,no
third,neet,B,71,master,no
male,student,B,78,doctor,no
female,singer,O,54,senior high,no
male,programmer,AB,85,primary,no
third,neet,O,71,master,no
female,salesman,A,53,doctor,no
female,student,O,49,primary,no
male,programmer,A,86,senior high,no
female,singer,A,80,junior high,no
male,teacher,B,72,primary,no
third,chef,O,99,primary,no
third,programmer,AB,79,university,no
male,programmer,O,79,primary,no
female,chef,A,51,primary,yes
third,salesman,B,93,senior high,no
third,programmer,AB,62,university,no
male,engineer,AB,93,master,yes
third,teacher,A,85,senior high,no
third,neet,B,95,junior high,no
female,singer,A,97,doctor,no
female,engineer,O,36,senior high,no
female,chef,AB,88,junior high,yes
third,salesman,AB,36,master,no
female,scientest,A,99,senior high,no
female,student,O,80,primary,no
male,student,A,40,university,no
female,chef,B,44,primary,no
male,student,A,59,junior high,no
female,salesman,A,63,master,no
female,salesman,O,44,primary,yes
male,student,O,74,master,yes
third,student,AB,83,university,no
male,salesman,O,77,senior high,yes
female,singer,A,47,junior high,no
third,student,B,61,primary,no
female,chef,A,64,senior high,no
male,chef,A,46,doctor,no
female,student,O,98,doctor,no
female,engineer,B,75,junior high,no
third,neet,B,93,primary,no
third,neet,B,60,doctor,no
female,singer,AB,76,university,no
third,salesman,B,60,doctor,no
male,engineer,AB,40,master,no
male,scientest,A,98,senior high,no
female,chef,B,84,primary,no
female,engineer,AB,84,primary,no
male,chef,AB,82,master,no
third,neet,O,93,senior high,no
third,engineer,A,38,doctor,no
male,teacher,O,81,master,yes
third,salesman,A,46,senior high,no
female,neet,B,35,master,no
third,salesman,A,79,primary,no
male,engineer,O,51,doctor,no
female,engineer,A,67,senior high,no
third,scientest,B,79,junior high,no
male,chef,O,61,junior high,no
third,student,B,92,master,no
male,salesman,AB,83,primary,no
male,student,O,36,primary,yes
female,engineer,B,75,junior high,no
female,scientest,B,42,senior high,no
female,neet,A,63,doctor,no
third,salesman,B,51,doctor,no
female,teacher,AB,44,university,no
male,singer,O,36,senior high,no
third,scientest,AB,55,university,no
male,student,AB,92,junior high,no
third,programmer,A,87,university,no
male,salesman,AB,98,senior high,no
male,teacher,O,42,senior high,no
male,teacher,O,93,primary,no
third,chef,B,60,doctor,no
female,singer,AB,64,senior high,no
male,student,B,62,junior high,no
male,teacher,O,56,junior high,no
third,singer,O,62,senior high,no
female,chef,A,57,senior high,no
female,singer,A,81,primary,no
female,singer,A,52,doctor,no
female,neet,AB,96,primary,no
male,engineer,O,76,senior high,no
female,neet,A,82,university,no
third,scientest,AB,84,junior high,no
male,engineer,AB,66,master,yes
female,neet,A,86,university,no
male,student,O,65,doctor,no
third,teacher,O,37,doctor,no
female,engineer,B,61,doctor,yes
male,chef,AB,35,senior high,no
female,chef,B,51,primary,no
male,programmer,AB,81,primary,no
female,scientest,AB,35,senior high,no
female,programmer,A,38,senior high,yes
third,teacher,O,42,senior high,no
female,student,AB,78,senior high,no
female,neet,B,55,senior high,no
third,student,A,50,senior high,no
third,student,B,89,senior high,no
male,salesman,AB,92,junior high,no
third,scientest,O,73,master,no
female,engineer,AB,83,primary,no
male,scientest,O,51,primary,yes
male,chef,AB,43,master,no
male,neet,AB,40,university,no
male,programmer,AB,54,master,no
male,student,A,69,primary,no
male,scientest,O,62,junior high,no
third,programmer,B,37,master,yes
third,singer,AB,82,junior high,no
third,neet,B,56,doctor,no
male,programmer,A,84,senior high,no
male,singer,AB,99,doctor,no
female,student,AB,57,doctor,no
female,chef,O,86,master,yes
third,chef,O,87,master,yes
female,teacher,AB,91,master,no
male,engineer,AB,50,junior high,yes
male,programmer,A,37,junior high,no
female,singer,AB,81,senior high,no
male,student,A,39,doctor,no
female,student,A,62,junior high,no
male,teacher,B,49,primary,no
male,singer,O,78,senior high,no
male,scientest,AB,48,university,no
female,engineer,AB,74,junior high,no
third,teacher,A,62,junior high,no
male,scientest,B,45,university,no
female,scientest,B,41,senior high,yes
female,chef,A,92,master,yes
female,salesman,AB,99,master,no
female,student,B,81,senior high,no
third,teacher,O,82,doctor,no
male,salesman,B,97,junior high,no
third,teacher,O,73,doctor,yes
male,student,A,90,primary,no
male,programmer,A,66,doctor,no
male,salesman,A,82,primary,no
female,chef,O,68,university,no
female,student,AB,75,junior high,no
third,student,B,51,university,no
male,singer,O,79,doctor,no
third,engineer,O,57,university,no
male,chef,O,76,doctor,no
male,programmer,O,91,senior high,yes
third,neet,A,96,primary,no
female,neet,AB,88,senior high,no
female,programmer,A,93,senior high,no
male,teacher,B,76,university,no
third,neet,AB,38,senior high,no
male,programmer,AB,62,master,no
third,neet,B,38,master,no
male,singer,AB,73,primary,no
female,teacher,B,58,university,no
male,neet,B,90,primary,no
male,scientest,AB,46,junior high,no
female,salesman,O,56,junior high,no
female,singer,O,61,university,yes
third,student,O,51,senior high,no
male,student,O,74,senior high,yes
female,student,O,37,primary,no
male,singer,O,86,junior high,yes
third,neet,AB,44,primary,no
female,salesman,A,38,doctor,no
male,salesman,O,86,master,no
female,singer,B,63,master,no
female,engineer,A,93,senior high,no
third,engineer,O,77,junior high,no
male,student,A,68,master,no
third,engineer,O,92,master,yes
third,neet,O,50,doctor,yes
female,scientest,A,47,senior high,no
third,engineer,AB,55,doctor,no
male,salesman,O,49,doctor,yes
third,chef,O,85,senior high,yes
third,engineer,B,78,master,no
female,singer,B,94,primary,no
female,teacher,A,84,primary,no
female,scientest,O,56,primary,yes
female,student,B,44,primary,yes
female,teacher,AB,51,senior high,no
male,programmer,B,56,university,no
female,engineer,B,69,junior high,no
male,neet,AB,71,senior high,no
female,engineer,O,66,junior high,no
male,student,A,78,doctor,no
male,student,AB,86,primary,no
third,student,O,53,senior high,no
male,teacher,B,37,senior high,no
male,programmer,AB,78,primary,no
female,student,AB,93,junior high,no
male,neet,A,45,doctor,no
male,chef,A,82,university,no
third,programmer,O,94,master,no
female,salesman,A,41,junior high,no
male,student,A,93,university,no
male,engineer,O,50,master,yes
male,programmer,B,38,master,yes
female,engineer,AB,83,senior high,no
third,singer,O,91,primary,yes
male,programmer,A,49,master,no
female,scientest,B,83,master,no
male,programmer,AB,82,master,yes
male,engineer,AB,98,master,no
third,neet,AB,39,senior high,no
female,programmer,O,47,senior high,yes
female,scientest,A,59,primary,no
third,programmer,O,72,doctor,no
third,salesman,AB,45,primary,no
third,singer,AB,46,master,no
male,student,AB,88,master,no
male,chef,AB,71,master,no
male,teacher,O,92,primary,no
male,teacher,B,50,university,no
third,chef,B,47,master,yes
third,teacher,B,51,university,no
male,singer,B,87,senior high,no
female,salesman,O,87,master,yes
third,singer,AB,95,senior high,no
third,chef,O,67,senior high,no
male,neet,O,42,doctor,no
male,teacher,A,87,doctor,no
male,singer,O,65,doctor,no
female,salesman,AB,91,master,no
male,neet,AB,54,doctor,no
male,salesman,A,71,master,no
female,singer,AB,82,primary,no
third,programmer,AB,59,university,no
male,scientest,O,81,university,no
female,engineer,B,74,university,no
third,student,A,50,university,no
female,neet,B,84,doctor,no
male,engineer,A,93,master,no
female,programmer,O,87,university,yes
female,chef,A,50,master,yes
third,singer,A,52,senior high,no
male,salesman,A,82,master,no
female,singer,B,71,junior high,no
male,singer,O,39,senior high,no
male,neet,A,99,university,no
male,scientest,A,80,junior high,no
female,neet,AB,77,university,no
male,neet,B,74,senior high,no
third,singer,AB,78,university,no
male,salesman,B,55,senior high,no
male,salesman,B,69,junior high,no
third,singer,O,81,university,no
third,scientest,B,45,primary,no
male,scientest,AB,57,doctor,no
third,chef,A,70,doctor,yes
male,neet,O,42,junior high,no
female,chef,AB,51,senior high,no
male,salesman,AB,78,doctor,no
third,chef,B,75,junior high,no
male,scientest,AB,46,doctor,yes
third,singer,B,73,junior high,no
female,engineer,AB,56,primary,no
male,singer,AB,48,doctor,no
third,neet,O,98,senior high,no
male,salesman,B,65,primary,no
male,chef,AB,36,doctor,no
female,singer,B,81,doctor,no
female,engineer,O,98,primary,no
male,singer,AB,49,university,no
third,salesman,B,65,master,no
male,engineer,O,47,master,yes
male,scientest,B,79,senior high,no
male,teacher,AB,74,university,no
male,engineer,A,81,senior high,no
female,engineer,A,70,junior high,no
female,singer,A,89,university,no
third,singer,B,91,senior high,no
third,programmer,A,95,university,no
female,neet,A,88,senior high,no
third,student,O,96,senior high,no
third,salesman,AB,84,primary,no
female,teacher,A,64,junior high,no
female,chef,AB,65,doctor,no
third,scientest,O,99,master,yes
female,chef,A,73,university,no
female,salesman,A,51,senior high,no
third,teacher,A,96,junior high,no
female,singer,A,78,doctor,no
female,programmer,A,41,primary,no
male,scientest,B,43,master,no
female,singer,A,81,senior high,no
female,singer,B,70,junior high,no
third,teacher,B,40,university,no
male,programmer,O,74,primary,no
female,neet,A,91,master,no
female,salesman,AB,74,doctor,no
third,programmer,B,73,junior high,no
male,teacher,A,77,primary,no
female,teacher,A,98,senior high,no
third,programmer,B,62,doctor,no
male,salesman,AB,99,master,no
male,neet,B,54,primary,no
third,salesman,AB,97,doctor,no
third,neet,AB,72,senior high,no
female,programmer,AB,79,university,no
third,teacher,A,96,university,no
male,scientest,A,44,doctor,yes
third,chef,AB,66,junior high,no
male,singer,B,61,master,no
male,neet,A,62,junior high,no
third,salesman,AB,35,doctor,no
third,salesman,A,56,primary,no
third,teacher,AB,45,doctor,no
female,singer,AB,54,doctor,no
female,salesman,O,38,junior high,no
female,neet,B,58,doctor,no
female,scientest,O,86,doctor,no
third,student,A,79,senior high,no
female,engineer,AB,70,university,no
female,engineer,AB,91,master,no
male,student,AB,66,junior high,no
male,neet,A,75,junior high,no
female,programmer,O,50,master,yes
male,engineer,O,44,senior high,no
third,teacher,B,61,university,no
third,engineer,AB,48,primary,no
female,engineer,O,38,doctor,no
female,teacher,AB,91,junior high,no
male,student,AB,67,senior high,no
third,chef,B,42,doctor,no
female,teacher,AB,72,university,no
third,singer,O,97,master,no
female,engineer,A,46,university,no
third,salesman,B,65,doctor,no
male,student,O,37,doctor,yes
male,scientest,O,62,doctor,no
female,neet,AB,66,senior high,no
third,salesman,B,64,doctor,no
male,salesman,A,69,university,no
male,neet,O,38,doctor,yes
female,scientest,A,79,primary,no
third,programmer,AB,96,university,no
female,chef,O,83,primary,yes
third,scientest,AB,68,university,no
female,teacher,AB,84,doctor,no
third,teacher,O,57,doctor,no
female,teacher,AB,89,university,no
female,student,A,44,university,no
female,engineer,A,38,doctor,no
third,salesman,AB,47,university,no
third,neet,O,85,university,yes
third,engineer,AB,85,senior high,no
third,neet,B,79,university,no
female,programmer,B,66,senior high,no
third,programmer,A,94,primary,no
female,singer,B,51,junior high,no
female,neet,A,74,doctor,no
female,chef,A,45,university,no
male,student,O,88,doctor,yes
third,singer,B,53,university,no
third,programmer,A,92,junior high,no
female,singer,O,62,junior high,no
female,engineer,A,53,senior high,no
male,singer,O,58,master,yes
third,teacher,B,77,primary,no
female,singer,AB,97,senior high,no
third,scientest,O,53,master,no
third,student,A,79,junior high,no
female,salesman,A,51,master,no
female,scientest,O,85,senior high,no
male,scientest,AB,56,senior high,no
female,engineer,O,61,university,yes
third,engineer,AB,57,junior high,no
third,singer,O,86,junior high,no
male,chef,AB,37,doctor,yes
female,engineer,A,88,master,yes
male,engineer,B,67,senior high,no
female,teacher,AB,60,senior high,no
female,programmer,O,91,senior high,no
third,salesman,O,70,master,no
female,student,A,73,doctor,no
male,neet,A,71,primary,no
third,salesman,A,64,master,no
third,scientest,A,95,senior high,no
male,scientest,B,89,senior high,no
third,student,AB,77,university,no
male,student,AB,66,junior high,no
male,teacher,AB,68,university,no
male,singer,AB,37,doctor,yes
third,scientest,O,84,university,no
male,engineer,AB,65,doctor,yes
third,chef,A,46,doctor,no
female,student,AB,82,master,no
male,singer,A,58,university,no
male,chef,B,91,junior high,no
male,neet,A,44,master,no
female,teacher,B,58,doctor,no
male,chef,B,38,junior high,no
third,student,A,63,junior high,no
third,programmer,O,41,junior high,no
male,programmer,O,62,university,yes
third,chef,O,66,university,yes
female,student,A,89,master,no
third,scientest,B,77,doctor,no
third,programmer,AB,40,master,no
female,scientest,O,53,university,yes
male,engineer,O,37,primary,yes
female,salesman,AB,69,university,no
male,programmer,A,77,primary,no
female,programmer,AB,45,junior high,yes
third,singer,B,67,senior high,no
female,teacher,A,37,senior high,no
male,teacher,B,62,university,no
third,singer,A,93,primary,no
third,programmer,AB,39,junior high,no
third,chef,O,90,master,no
female,neet,A,85,junior high,no
male,singer,A,45,university,no
third,salesman,A,42,master,no
third,neet,A,84,junior high,no
third,engineer,O,93,junior high,no
male,neet,AB,73,master,no
third,teacher,A,37,doctor,no
male,teacher,B,88,master,no
third,programmer,AB,37,university,no
male,chef,AB,82,doctor,no
male,teacher,AB,96,master,no
female,chef,AB,52,primary,yes
female,salesman,A,93,primary,no
male,salesman,AB,92,university,no
female,chef,A,99,senior high,yes
male,chef,B,50,doctor,no
female,student,B,92,doctor,no
male,chef,AB,84,doctor,yes
third,salesman,B,50,senior high,no
third,teacher,O,81,master,no
third,scientest,O,64,doctor,no
female,programmer,B,71,master,no
female,teacher,O,83,primary,yes
male,singer,O,91,doctor,no
male,singer,A,76,junior high,no
female,student,A,60,doctor,no
female,neet,B,36,doctor,no
male,teacher,O,89,master,no
female,chef,O,38,primary,yes
male,singer,AB,69,junior high,no
third,student,AB,91,primary,no
male,scientest,A,83,primary,no
female,programmer,AB,35,doctor,no
female,chef,B,48,senior high,no
male,programmer,B,78,junior high,no
third,singer,B,50,master,no
female,salesman,B,82,junior high,no
male,singer,O,93,junior high,no
third,engineer,AB,49,primary,no
third,engineer,A,54,senior high,no
male,teacher,AB,49,doctor,no
male,engineer,A,97,university,no
third,scientest,B,86,primary,no
third,chef,B,53,doctor,no
third,engineer,B,93,university,no
third,singer,AB,35,primary,no
third,student,B,64,doctor,no
third,salesman,B,83,senior high,no
third,engineer,AB,96,primary,no
male,engineer,O,95,master,no
male,teacher,B,81,senior high,no
third,singer,O,68,senior high,yes
third,teacher,A,72,master,no
male,singer,AB,82,master,no
female,salesman,AB,43,junior high,no
male,student,B,94,master,no
female,student,B,63,senior high,no
male,chef,O,71,doctor,no
third,singer,A,85,university,no
female,student,O,67,junior high,yes
male,salesman,A,77,primary,no
female,singer,A,52,senior high,no
female,teacher,AB,68,university,no
male,scientest,A,99,junior high,no
third,scientest,AB,44,primary,no
third,engineer,O,35,senior high,yes
male,engineer,AB,82,master,no
female,salesman,A,92,master,no
third,salesman,B,40,junior high,no
female,chef,O,93,senior high,no
female,engineer,A,98,senior high,no
female,engineer,AB,54,senior high,no
third,salesman,B,52,senior high,no
third,engineer,O,45,university,yes
third,student,O,61,junior high,yes
female,engineer,O,51,university,no
female,singer,O,50,university,no
female,teacher,B,38,senior high,no
male,singer,AB,39,master,no
third,salesman,B,48,primary,no
third,teacher,A,90,senior high,no
female,engineer,AB,70,master,no
third,engineer,AB,58,doctor,no
third,teacher,O,84,university,no
female,neet,B,57,senior high,no
female,salesman,A,57,junior high,no
female,engineer,O,95,primary,no
third,chef,A,71,master,yes
third,programmer,B,65,senior high,no
male,singer,O,51,senior high,no
third,engineer,O,65,junior high,no
female,chef,O,96,master,no
third,teacher,B,80,junior high,no
male,student,B,75,master,no
male,student,B,88,university,no
female,chef,O,59,doctor,yes
female,teacher,O,37,master,no
third,engineer,AB,96,senior high,no
male,neet,AB,41,primary,no
third,student,O,42,senior high,no
third,student,AB,93,master,no
female,teacher,O,73,doctor,no
third,student,A,93,primary,no
third,student,B,80,senior high,no
female,engineer,O,85,senior high,yes
female,singer,O,40,university,no
third,programmer,A,74,master,no
female,scientest,O,64,doctor,no
female,neet,B,90,senior high,no
female,student,A,75,university,no
male,student,A,84,primary,no
male,neet,O,43,senior high,no
third,neet,AB,74,university,no
male,scientest,O,46,master,no
male,chef,A,40,doctor,no
third,engineer,O,51,doctor,no
third,chef,B,54,doctor,no
female,salesman,B,98,doctor,no
male,salesman,AB,89,doctor,no
male,programmer,O,57,senior high,no
male,salesman,B,67,doctor,no
third,teacher,O,64,junior high,no
